"series","country-year"
"id","gdp-usd-2005"
"type","simple"
"parent",
"name","Gross domestic product (2005 US$)"
"columns","id, year, value"
"description","GDP (constant 2005 US$)"
"default-scale","log"
"themes",
"map-theme",
"theme-order",
"global-picture-color-ramp",
"uom","USD"
"uom_display","USD"
"source","World Bank World Development Indicators"
"calculation",
"format",
"highorlow","highisbetter"
"range",
"interpolated",
"missing-donor","NA"
"missing-recipient","NA"
"laymans-decription",
"laymans-heading",
"source-link",
