id,region,aid-type,year,value
IT,Europe,bilateral,2013,25123010.92
IT,North Africa,bilateral,2013,30249362.13
IT,Sub-Saharan Africa,bilateral,2013,140812293.66
IT,North & Central America,bilateral,2013,16521551.22
IT,South America,bilateral,2013,25356494.70
IT,Far East Asia,bilateral,2013,20970993.55
IT,South & Central Asia,bilateral,2013,92446095.81
IT,Middle East,bilateral,2013,59152137.92
IT,Oceania,bilateral,2013,1431238.75
IT,Unspecified,bilateral,2013,491888134.72
JP,Europe,bilateral,2013,239184482.68
JP,North Africa,bilateral,2013,356581626.40
JP,Sub-Saharan Africa,bilateral,2013,3543624953.53
JP,North & Central America,bilateral,2013,183260637.59
JP,South America,bilateral,2013,292908223.85
JP,Far East Asia,bilateral,2013,5464182828.46
JP,South & Central Asia,bilateral,2013,10945299366.69
JP,Middle East,bilateral,2013,1222838968.70
JP,Oceania,bilateral,2013,173881956.66
JP,Unspecified,bilateral,2013,1615748948.62
KR,Europe,bilateral,2013,3148724.57
KR,North Africa,bilateral,2013,18369022.99
KR,Sub-Saharan Africa,bilateral,2013,244952669.09
KR,North & Central America,bilateral,2013,28175093.94
KR,South America,bilateral,2013,67851405.72
KR,Far East Asia,bilateral,2013,446339405.06
KR,South & Central Asia,bilateral,2013,309951415.30
KR,Middle East,bilateral,2013,40317296.73
KR,Oceania,bilateral,2013,4252698.13
KR,Unspecified,bilateral,2013,156629847.90
LU,Europe,bilateral,2013,14778719.48
LU,North Africa,bilateral,2013,1825037.35
LU,Sub-Saharan Africa,bilateral,2013,115701416.49
LU,North & Central America,bilateral,2013,26142214.66
LU,South America,bilateral,2013,6490998.40
LU,Far East Asia,bilateral,2013,35536361.54
LU,South & Central Asia,bilateral,2013,11936961.08
LU,Middle East,bilateral,2013,13432631.07
LU,Oceania,bilateral,2013,318830.24
LU,Unspecified,bilateral,2013,57079990.79
NL,Europe,bilateral,2013,22992898.90
NL,North Africa,bilateral,2013,9587508.77
NL,Sub-Saharan Africa,bilateral,2013,814277038.34
NL,North & Central America,bilateral,2013,34279259.94
NL,South America,bilateral,2013,43450465.45
NL,Far East Asia,bilateral,2013,50862106.08
NL,South & Central Asia,bilateral,2013,187647353.28
NL,Middle East,bilateral,2013,97966640.38
NL,Oceania,bilateral,2013,0.00
NL,Unspecified,bilateral,2013,2384712513.41
NZ,Europe,bilateral,2013,0.00
NZ,North Africa,bilateral,2013,41131.64
NZ,Sub-Saharan Africa,bilateral,2013,4246841.51
NZ,North & Central America,bilateral,2013,655240.84
NZ,South America,bilateral,2013,1474291.89
NZ,Far East Asia,bilateral,2013,50755292.40
NZ,South & Central Asia,bilateral,2013,11413915.71
NZ,Middle East,bilateral,2013,3605409.18
NZ,Oceania,bilateral,2013,214254118.88
NZ,Unspecified,bilateral,2013,51330411.12
NO,Europe,bilateral,2013,100919123.55
NO,North Africa,bilateral,2013,5444994.86
NO,Sub-Saharan Africa,bilateral,2013,1080541152.35
NO,North & Central America,bilateral,2013,85132150.29
NO,South America,bilateral,2013,732979066.51
NO,Far East Asia,bilateral,2013,144232903.75
NO,South & Central Asia,bilateral,2013,322219366.08
NO,Middle East,bilateral,2013,296826685.90
NO,Oceania,bilateral,2013,1576551.45
NO,Unspecified,bilateral,2013,1599287501.87
PL,Europe,bilateral,2013,37347538.48
PL,North Africa,bilateral,2013,578433.74
PL,Sub-Saharan Africa,bilateral,2013,42505239.33
PL,North & Central America,bilateral,2013,96405.62
PL,South America,bilateral,2013,308497.99
PL,Far East Asia,bilateral,2013,30078554.48
PL,South & Central Asia,bilateral,2013,10276839.45
PL,Middle East,bilateral,2013,3200666.70
PL,Oceania,bilateral,2013,19281.12
PL,Unspecified,bilateral,2013,10999881.62
PT,Europe,bilateral,2013,1528192.26
PT,North Africa,bilateral,2013,382168.25
PT,Sub-Saharan Africa,bilateral,2013,272954120.35
PT,North & Central America,bilateral,2013,471873.24
PT,South America,bilateral,2013,6376338.34
PT,Far East Asia,bilateral,2013,28978345.78
PT,South & Central Asia,bilateral,2013,735442.53
PT,Middle East,bilateral,2013,401150.47
PT,Oceania,bilateral,2013,0.00
PT,Unspecified,bilateral,2013,15539805.07
SK,Europe,bilateral,2013,4318034.80
SK,North Africa,bilateral,2013,382126.97
SK,Sub-Saharan Africa,bilateral,2013,2388293.59
SK,North & Central America,bilateral,2013,9553.17
SK,South America,bilateral,2013,76425.39
SK,Far East Asia,bilateral,2013,287295.95
SK,South & Central Asia,bilateral,2013,3198561.60
SK,Middle East,bilateral,2013,430943.93
SK,Oceania,bilateral,2013,0.00
SK,Unspecified,bilateral,2013,4365800.68
SI,North Africa,bilateral,2013,96428.16
SI,Sub-Saharan Africa,bilateral,2013,993210.10
SI,North & Central America,bilateral,2013,57856.90
SI,South America,bilateral,2013,9642.82
SI,Far East Asia,bilateral,2013,86785.35
SI,South & Central Asia,bilateral,2013,318212.94
SI,Middle East,bilateral,2013,298927.31
SI,Oceania,bilateral,2013,0.00
SI,Unspecified,bilateral,2013,7916752.33
ES,Europe,bilateral,2013,3967494.71
ES,North Africa,bilateral,2013,82062606.37
ES,Sub-Saharan Africa,bilateral,2013,382460896.51
ES,North & Central America,bilateral,2013,152425631.74
ES,South America,bilateral,2013,170334385.83
ES,Far East Asia,bilateral,2013,23910640.03
ES,South & Central Asia,bilateral,2013,25889584.12
ES,Middle East,bilateral,2013,45698238.10
ES,Oceania,bilateral,2013,48032.62
ES,Unspecified,bilateral,2013,241402359.71
SE,Europe,bilateral,2013,148062410.70
SE,North Africa,bilateral,2013,30451961.63
SE,Sub-Saharan Africa,bilateral,2013,1113758687.34
SE,North & Central America,bilateral,2013,51689484.73
SE,South America,bilateral,2013,82440448.88
SE,Far East Asia,bilateral,2013,112678264.86
SE,South & Central Asia,bilateral,2013,277703449.69
SE,Middle East,bilateral,2013,228921189.10
SE,Oceania,bilateral,2013,38197.33
SE,Unspecified,bilateral,2013,1757172795.39
CH,Europe,bilateral,2013,204525699.45
CH,North Africa,bilateral,2013,69455374.91
CH,Sub-Saharan Africa,bilateral,2013,490687259.33
CH,North & Central America,bilateral,2013,102927959.24
CH,South America,bilateral,2013,98276619.24
CH,Far East Asia,bilateral,2013,166183639.92
CH,South & Central Asia,bilateral,2013,274677212.18
CH,Middle East,bilateral,2013,109278882.08
CH,Oceania,bilateral,2013,217454.35
CH,Unspecified,bilateral,2013,985601952.19
GB,Europe,bilateral,2013,38922545.69
GB,North Africa,bilateral,2013,92311532.47
GB,Sub-Saharan Africa,bilateral,2013,4040369190.24
GB,North & Central America,bilateral,2013,200279105.43
GB,South America,bilateral,2013,56996935.75
GB,Far East Asia,bilateral,2013,226936052.05
GB,South & Central Asia,bilateral,2013,2118897559.67
GB,Middle East,bilateral,2013,822868705.74
GB,Oceania,bilateral,2013,9422830.58
GB,Unspecified,bilateral,2013,3275173352.53
US,Europe,bilateral,2013,474829391.78
US,North Africa,bilateral,2013,610677910.32
US,Sub-Saharan Africa,bilateral,2013,8635928157.61
