id,bundle,year,value
adaptation-fund,mixed-project-aid,2014,13089776
AE,cash-grant,2014,326153025
AE,cash-loan-equity,2014,109026864
AE,commodities-food,2014,2068590090
AE,gpgs-nngos,2014,25641203
AE,mixed-project-aid,2014,2393493944
AE,non-transfer,2014,75365733
AE,technical-ooperation,2014,17005535
afdb,cash-grant,2014,911079
afdb,mixed-project-aid,2014,11962791
afdb,non-transfer,2014,123105264
afdb,technical-ooperation,2014,167787
afdf,cash-grant,2014,709968325
afdf,cash-loan-equity,2014,1250683061
afdf,commodities-food,2014,0
afdf,mixed-project-aid,2014,30365097
afdf,non-transfer,2014,219135
afdf,technical-ooperation,2014,55806
arab-fund-afesd,cash-grant,2014,15067757
arab-fund-afesd,cash-loan-equity,2014,849436841
arab-fund-afesd,gpgs-nngos,2014,649291
arab-fund-afesd,mixed-project-aid,2014,11399286
arab-fund-afesd,technical-ooperation,2014,
asdb-special-funds,cash-grant,2014,394381779
asdb-special-funds,cash-loan-equity,2014,2204395987
asdb-special-funds,mixed-project-aid,2014,36254394
asdb-special-funds,non-transfer,2014,6063385
asdb-special-funds,technical-ooperation,2014,130117224
AT,cash-grant,2014,53363680
AT,cash-loan-equity,2014,11051345
AT,commodities-food,2014,2086616
AT,gpgs-nngos,2014,8191148
AT,mixed-project-aid,2014,22987101
AT,non-transfer,2014,394678661
AT,technical-ooperation,2014,109797259
AU,cash-grant,2014,1497185034
AU,cash-loan-equity,2014,23675983
AU,commodities-food,2014,128973848
AU,gpgs-nngos,2014,516398956
AU,mixed-project-aid,2014,177220877
AU,non-transfer,2014,665977014
AU,technical-ooperation,2014,970119377
badea,cash-loan-equity,2014,118159139
badea,technical-ooperation,2014,6640531
BE,cash-grant,2014,296841632
BE,cash-loan-equity,2014,4537252
BE,commodities-food,2014,6614053
BE,gpgs-nngos,2014,146136269
BE,mixed-project-aid,2014,35440393
BE,non-transfer,2014,440648098
BE,technical-ooperation,2014,368796022
CA,cash-grant,2014,1336087151
CA,cash-loan-equity,2014,193960877
CA,commodities-food,2014,251845107
CA,gpgs-nngos,2014,46180097
CA,mixed-project-aid,2014,168237966
CA,non-transfer,2014,687761573
CA,technical-ooperation,2014,876667908
ceb,cash-loan-equity,2014,76184471
ceb,mixed-project-aid,2014,105143
ceb,technical-ooperation,2014,165324
CH,cash-grant,2014,525774916
CH,cash-loan-equity,2014,85301878
CH,commodities-food,2014,74421485
CH,gpgs-nngos,2014,278105888
CH,mixed-project-aid,2014,836191773
CH,non-transfer,2014,655417361
CH,technical-ooperation,2014,355451074
cif,cash-grant,2014,2852548
cif,cash-loan-equity,2014,323342153
cif,mixed-project-aid,2014,13660832
cif,technical-ooperation,2014,7063382
CZ,cash-grant,2014,14332553
CZ,commodities-food,2014,534838
CZ,gpgs-nngos,2014,2102005
CZ,mixed-project-aid,2014,15156892
CZ,non-transfer,2014,23114658
CZ,technical-ooperation,2014,8771951
DE,cash-grant,2014,788876142
DE,cash-loan-equity,2014,4362267814
DE,commodities-food,2014,225788049
DE,gpgs-nngos,2014,181324802
DE,mixed-project-aid,2014,1075719430
DE,non-transfer,2014,2838873204
DE,technical-ooperation,2014,3926177383
DK,cash-grant,2014,622529216
DK,cash-loan-equity,2014,42913754
DK,commodities-food,2014,6755770
DK,gpgs-nngos,2014,471906425
DK,mixed-project-aid,2014,466500828
DK,non-transfer,2014,491469204
DK,technical-ooperation,2014,53427873
EE,cash-grant,2014,1759380
EE,commodities-food,2014,97003
EE,gpgs-nngos,2014,2496596
EE,mixed-project-aid,2014,5114437
EE,non-transfer,2014,2047962
EE,technical-ooperation,2014,2194676
ES,cash-grant,2014,111443024
ES,cash-loan-equity,2014,25979702
ES,commodities-food,2014,16799500
ES,gpgs-nngos,2014,27919368
ES,mixed-project-aid,2014,250296375
ES,non-transfer,2014,178920500
ES,technical-ooperation,2014,71452639
EU,cash-grant,2014,7375253918
EU,cash-loan-equity,2014,4799280670
EU,commodities-food,2014,387222882
EU,gpgs-nngos,2014,183730263
EU,mixed-project-aid,2014,2206991603
EU,non-transfer,2014,980857684
EU,technical-ooperation,2014,1563638264
FI,cash-grant,2014,239336193
FI,cash-loan-equity,2014,43533564
FI,commodities-food,2014,29772441
FI,gpgs-nngos,2014,80505835
FI,mixed-project-aid,2014,173739842
FI,non-transfer,2014,120770696
FI,technical-ooperation,2014,183550287
FR,cash-grant,2014,722343611
FR,cash-loan-equity,2014,3538338788
FR,commodities-food,2014,54986959
FR,gpgs-nngos,2014,34266056
FR,mixed-project-aid,2014,497074927
FR,non-transfer,2014,2100059287
FR,technical-ooperation,2014,993420966
gavi,cash-grant,2014,152896531
gavi,commodities-food,2014,1137379455
gavi,mixed-project-aid,2014,15023840
gavi,non-transfer,2014,96096550
GB,cash-grant,2014,3171030952
GB,cash-loan-equity,2014,412915243
GB,commodities-food,2014,367390240
GB,gpgs-nngos,2014,2008435713
GB,mixed-project-aid,2014,2529748123
GB,non-transfer,2014,644626384
GB,technical-ooperation,2014,1852788172
gef,cash-grant,2014,14204279
