id,year,destination-institution-type,creditor-type,creditor-institution,financing-type,value
AE,2000,png,private,private,bonds,
AE,2000,png,private,private,commercial-banking,
AE,2000,ppg,official,bilateral,concessional,
AE,2000,ppg,official,bilateral,non-concessional,
AE,2000,ppg,official,multilateral,concessional,
AE,2000,ppg,official,multilateral,non-concessional,
AE,2000,ppg,private,private,bonds,
AE,2000,ppg,private,private,commercial-banking,
AE,2000,ppg,private,private,other-private,
AF,2000,png,private,private,bonds,
AF,2000,png,private,private,commercial-banking,
AF,2000,ppg,official,bilateral,concessional,
AF,2000,ppg,official,bilateral,non-concessional,
AF,2000,ppg,official,multilateral,concessional,
AF,2000,ppg,official,multilateral,non-concessional,
AF,2000,ppg,private,private,bonds,
AF,2000,ppg,private,private,commercial-banking,
AF,2000,ppg,private,private,other-private,
AG,2000,png,private,private,bonds,
AG,2000,png,private,private,commercial-banking,
AG,2000,ppg,official,bilateral,concessional,
AG,2000,ppg,official,bilateral,non-concessional,
AG,2000,ppg,official,multilateral,concessional,
AG,2000,ppg,official,multilateral,non-concessional,
AG,2000,ppg,private,private,bonds,
AG,2000,ppg,private,private,commercial-banking,
AG,2000,ppg,private,private,other-private,
AL,2000,png,private,private,bonds,0
AL,2000,png,private,private,commercial-banking,0
AL,2000,ppg,official,bilateral,concessional,18891661.47
AL,2000,ppg,official,bilateral,non-concessional,16184589.34
AL,2000,ppg,official,multilateral,concessional,129769788.1
AL,2000,ppg,official,multilateral,non-concessional,64273681.89
AL,2000,ppg,private,private,bonds,0
AL,2000,ppg,private,private,commercial-banking,624708.9525
AL,2000,ppg,private,private,other-private,0
AM,2000,png,private,private,bonds,0
AM,2000,png,private,private,commercial-banking,0
AM,2000,ppg,official,bilateral,concessional,9212783.337
AM,2000,ppg,official,bilateral,non-concessional,0
AM,2000,ppg,official,multilateral,concessional,121369346
AM,2000,ppg,official,multilateral,non-concessional,4228287.287
AM,2000,ppg,private,private,bonds,0
AM,2000,ppg,private,private,commercial-banking,0
AM,2000,ppg,private,private,other-private,1218576.408
AO,2000,png,private,private,bonds,0
AO,2000,png,private,private,commercial-banking,0
AO,2000,ppg,official,bilateral,concessional,40865411.62
AO,2000,ppg,official,bilateral,non-concessional,0
AO,2000,ppg,official,multilateral,concessional,93851114.82
AO,2000,ppg,official,multilateral,non-concessional,0
AO,2000,ppg,private,private,bonds,0
AO,2000,ppg,private,private,commercial-banking,3999252896
AO,2000,ppg,private,private,other-private,1056864.094
AR,2000,png,private,private,bonds,1547545063
AR,2000,png,private,private,commercial-banking,3380097617
AR,2000,ppg,official,bilateral,concessional,23454248.77
AR,2000,ppg,official,bilateral,non-concessional,5020884.697
AR,2000,ppg,official,multilateral,concessional,6066398.458
AR,2000,ppg,official,multilateral,non-concessional,2132774414
AR,2000,ppg,private,private,bonds,13564775879
AR,2000,ppg,private,private,commercial-banking,2255935.055
