"id","destination-institution-type.2000","creditor-type.2000","creditor-institution.2000","financing-type.2000","value.2000","destination-institution-type.2001","creditor-type.2001","creditor-institution.2001","financing-type.2001","value.2001","destination-institution-type.2002","creditor-type.2002","creditor-institution.2002","financing-type.2002","value.2002","destination-institution-type.2003","creditor-type.2003","creditor-institution.2003","financing-type.2003","value.2003","destination-institution-type.2004","creditor-type.2004","creditor-institution.2004","financing-type.2004","value.2004","destination-institution-type.2005","creditor-type.2005","creditor-institution.2005","financing-type.2005","value.2005","destination-institution-type.2006","creditor-type.2006","creditor-institution.2006","financing-type.2006","value.2006","destination-institution-type.2007","creditor-type.2007","creditor-institution.2007","financing-type.2007","value.2007","destination-institution-type.2008","creditor-type.2008","creditor-institution.2008","financing-type.2008","value.2008","destination-institution-type.2009","creditor-type.2009","creditor-institution.2009","financing-type.2009","value.2009","destination-institution-type.2010","creditor-type.2010","creditor-institution.2010","financing-type.2010","value.2010","destination-institution-type.2011","creditor-type.2011","creditor-institution.2011","financing-type.2011","value.2011","destination-institution-type.2012","creditor-type.2012","creditor-institution.2012","financing-type.2012","value.2012","destination-institution-type.2013","creditor-type.2013","creditor-institution.2013","financing-type.2013","value.2013"
"AE","png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",
"AF","png","private","private","bonds",,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0
"AG","png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",
"AL","png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0
"AM","png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0
"AO","png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0
"AR","png","private","private","bonds",1547545063,"png","private","private","bonds",187786460.9,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",1871051317,"png","private","private","bonds",1012001187,"png","private","private","bonds",4955775212,"png","private","private","bonds",3323288852,"png","private","private","bonds",0,"png","private","private","bonds",633717512.3,"png","private","private","bonds",2422567074,"png","private","private","bonds",1414288310,"png","private","private","bonds",210548000,"png","private","private","bonds",381706906.2
"AT","png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",
"AU","png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",
"AZ","png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0
