"id","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"AD",,,,,,,,,,,78619206,89409820,113408232,150820103,186558696,220127246,227281025,254020153,308008898,411578334,446416106,388958731,375895956,327861833,330070689,346737965,482000594,611316399,721425939,795449332,1029048482,1106928583,1210013652,1007025755,1017549124,1178738991,1223945357,1180597273,1211932398,1239876305,1401695228,1484017897,1717485413,2373927765,2916786690,3248215396,3536632794,4010990966,4001201113,3650083356,3346516556,3427022519,3146151869,3248924588,,
"AE",,,,,,,,,,,,,,,,14720672507,19213022691,24871775165,23775831783,31225463218,43598748449,49333424135,46622718605,42803323345,41807954236,40603650232,33943612095,36384908744,36275674203,41464995914,50701443748,51552165622,54239171888,55625170253,59305093980,65743666576,73571233996,78839008445,75674336283,84445473111,104337372362,103311640572,109816201498,124346358067,147824370320,180617018380,222105922396,257916133424,315474615739,253547358747,286049336038,348526072158,373431994554,388598502383,401958066712,370296255956
"AF",537777811,548888896,546666678,751111191,800000044,1006666638,1399999967,1673333418,1373333367,1408888922,1748886596,1831108971,1595555476,1733333264,2155555498,2366666616,2555555567,2953333418,3300000109,3697940410,3641723322,3478787909,,,,,,,,,,,,,,,,,,,,2461665938,4128820723,4583644246,5285465686,6275073572,7057598407,9843842455,10190529882,12486943506,15936800636,17930239400,20536542737,20046334304,20050189882,19331286549
"AG",,,,,,,,,,,,,,,,,,66144444,74855556,92240741,110066667,124462963,137951852,153270370,173511111,201862963,245896296,286474074,338696296,373403704,391570370,410388889,423762963,456537037,500088889,494185185,541074074,579851852,620037037,651851852,783837852,773765185,802529333,839996370,898356148,997374111,1135143593,1289254333,1347349852,1206410370,1135539037,1129918370,1204713111,1200587519,1220976000,1259259259
"AL",,,,,,,,,,,,,,,,,,,,,,,,,1924242453,1965384586,2173750013,2156624900,2.126e+09,2335124988,2101624963,1139166646,709452584,1228071038,1985673798,2424499009,3314898291,2359903108,2707123772,3414760915,3632043908,4060758804,4435078648,5746945913,7314865176,8158548717,8992642349,10701011897,12881352688,12044212904,11926953259,12890867539,12319784787,12781029644,13219857459,11398392444
"AM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2256838858,2068526522,1272577522,1201313196,1315158670,1468317350,1596968913,1639492424,1893726437,1845482181,1911563665,2118467913,2376335048,2807061009,3576615240,4900469515,6384451606,9206301700,11662040714,8647936748,9260284938,10142111334,10619320049,11121465767,11609512940,10529182498
"AO",,,,,,,,,,,,,,,,,,,,,,,,,,6688963211,6688963211,6688963211,6688963211,10033444816,10033444816,,,,6.202e+09,4879285714,7526963964,7649716157,6445427699,6152936539,9129634978,8936063723,12497346670,14188949191,19640848729,28233712831,41789478661,60448921272,84178032716,75492384801,82470913121,104115923083,115398371428,124912063308,126776874217,102626929545
"AR",,,,,,,,,,,,16646599770,27786400318,47289600372,65193099976,48505749703,51169498444,56780999756,58082870734,69252330274,76961921891,78676840049,84307484568,103979107312,7.9092e+10,88416666667,110934444444,111106190476,126206818182,76636898126,141352368724,189719984268,228788617202,236741715015,2.5744e+11,258031750000,272149750000,2.92859e+11,298948250000,2.83523e+11,284203750000,268696750000,97724004252,127586973492,164657930461,199495534688,233581686065,288833322724,363137495040,334490355492,425916078732,533200293250,548934618736,554155198994,529726189461,583168571071
"AS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AT",6592693841,7311749633,7756110210,8374175258,9169983886,9994070616,10887682273,11579431669,12440625313,13582798556,15335972268,17815464919,22006470861,29444365310,35104529078,39962704274,42856485618,51421585630,61902774946,73759181884,81861232823,70863106877,71103585384,71947277233,67821568599,69219621907,98797587382,123869321397,133018182771,132785154342,166062376740,173375508073,194608183696,189921096652,203044926876,240457622492,236720496491,212323463750,217683626056,216725261027,196421706283,196953628635,212970685112,260721478555,299857238639,314648986444,334309371472,386458951547,427611527757,397594276188,390235099338,429010675563,407451583084,428248420485,438376178526,376950249529
