"di_id","entity_name","colour","detail","source_title","source_link"
"DZ","Algeria","red","Less than 2","World Bank Statistical Capacity Indicators","http://databank.worldbank.org/data/reports.aspx?source=Statistical-capacity-indicators#"
"AO","Angola","red","Less than 2","World Bank Statistical Capacity Indicators","http://databank.worldbank.org/data/reports.aspx?source=Statistical-capacity-indicators#"
"BJ","Benin","red","More than 2","World Bank Statistical Capacity Indicators","http://databank.worldbank.org/data/reports.aspx?source=Statistical-capacity-indicators#"
"BW","Botswana","orange","2","World Bank Statistical Capacity Indicators","http://databank.worldbank.org/data/reports.aspx?source=Statistical-capacity-indicators#"
"BF","Burkina Faso","green","More than 2","World Bank Statistical Capacity Indicators","http://databank.worldbank.org/data/reports.aspx?source=Statistical-capacity-indicators#"
"BI","Burundi","red","Less than 2","World Bank Statistical Capacity Indicators","http://databank.worldbank.org/data/reports.aspx?source=Statistical-capacity-indicators#"
"CM","Cameroon","red","Less than 2","World Bank Statistical Capacity Indicators","http://databank.worldbank.org/data/reports.aspx?source=Statistical-capacity-indicators#"
"CV","Cape Verde","red","Less than 2","World Bank Statistical Capacity Indicators","http://databank.worldbank.org/data/reports.aspx?source=Statistical-capacity-indicators#"
"CF","CAR","green","More than 2","World Bank Statistical Capacity Indicators","http://databank.worldbank.org/data/reports.aspx?source=Statistical-capacity-indicators#"
"TD","Chad","orange","2","World Bank Statistical Capacity Indicators","http://databank.worldbank.org/data/reports.aspx?source=Statistical-capacity-indicators#"
"KM","Comoros","red","Less than 2","World Bank Statistical Capacity Indicators","http://databank.worldbank.org/data/reports.aspx?source=Statistical-capacity-indicators#"
"CG","Congo","orange","2","World Bank Statistical Capacity Indicators","http://databank.worldbank.org/data/reports.aspx?source=Statistical-capacity-indicators#"
"CI","Côte d'Ivoire","red","Less than 2","World Bank Statistical Capacity Indicators","http://databank.worldbank.org/data/reports.aspx?source=Statistical-capacity-indicators#"
"DJ","Djibouti","red","Less than 2","World Bank Statistical Capacity Indicators","http://databank.worldbank.org/data/reports.aspx?source=Statistical-capacity-indicators#"
"CD","DRC","orange","2","World Bank Statistical Capacity Indicators","http://databank.worldbank.org/data/reports.aspx?source=Statistical-capacity-indicators#"
"EG","Egypt","green","More than 2","World Bank Statistical Capacity Indicators","http://databank.worldbank.org/data/reports.aspx?source=Statistical-capacity-indicators#"
"GQ","Equatorial Guinea","red","Less than 2","World Bank Statistical Capacity Indicators","http://databank.worldbank.org/data/reports.aspx?source=Statistical-capacity-indicators#"
"ER","Eritrea","red","Less than 2","World Bank Statistical Capacity Indicators","http://databank.worldbank.org/data/reports.aspx?source=Statistical-capacity-indicators#"
"ET","Ethiopia","orange","2","World Bank Statistical Capacity Indicators","http://databank.worldbank.org/data/reports.aspx?source=Statistical-capacity-indicators#"
"GA","Gabon","red","Less than 2","World Bank Statistical Capacity Indicators","http://databank.worldbank.org/data/reports.aspx?source=Statistical-capacity-indicators#"
"GM","Gambia","orange","2","World Bank Statistical Capacity Indicators","http://databank.worldbank.org/data/reports.aspx?source=Statistical-capacity-indicators#"
"GH","Ghana","red","Less than 2","World Bank Statistical Capacity Indicators","http://databank.worldbank.org/data/reports.aspx?source=Statistical-capacity-indicators#"
"GN","Guinea","orange","2","World Bank Statistical Capacity Indicators","http://databank.worldbank.org/data/reports.aspx?source=Statistical-capacity-indicators#"
"GW","Guinea-Bissau","red","Less than 2","World Bank Statistical Capacity Indicators","http://databank.worldbank.org/data/reports.aspx?source=Statistical-capacity-indicators#"
"KE","Kenya","orange","2","World Bank Statistical Capacity Indicators","http://databank.worldbank.org/data/reports.aspx?source=Statistical-capacity-indicators#"
"LS","Lesotho","orange","2","World Bank Statistical Capacity Indicators","http://databank.worldbank.org/data/reports.aspx?source=Statistical-capacity-indicators#"
"LR","Liberia","orange","2","World Bank Statistical Capacity Indicators","http://databank.worldbank.org/data/reports.aspx?source=Statistical-capacity-indicators#"
"LY","Libya","red","Less than 2","World Bank Statistical Capacity Indicators","http://databank.worldbank.org/data/reports.aspx?source=Statistical-capacity-indicators#"
"MG","Madagascar","green","More than 2","World Bank Statistical Capacity Indicators","http://databank.worldbank.org/data/reports.aspx?source=Statistical-capacity-indicators#"
"MW","Malawi","green","More than 2","World Bank Statistical Capacity Indicators","http://databank.worldbank.org/data/reports.aspx?source=Statistical-capacity-indicators#"
"ML","Mali","green","More than 2","World Bank Statistical Capacity Indicators","http://databank.worldbank.org/data/reports.aspx?source=Statistical-capacity-indicators#"
"MR","Mauritania","orange","2","World Bank Statistical Capacity Indicators","http://databank.worldbank.org/data/reports.aspx?source=Statistical-capacity-indicators#"
"MU","Mauritius","green","More than 2","World Bank Statistical Capacity Indicators","http://databank.worldbank.org/data/reports.aspx?source=Statistical-capacity-indicators#"
"MA","Morocco","orange","2","World Bank Statistical Capacity Indicators","http://databank.worldbank.org/data/reports.aspx?source=Statistical-capacity-indicators#"
