"district_id","2010","2011","2012","2013","2014","2015","2016"
"d314",60,65,,63,66,59.5,66
"d301",49,60,,59,58,51.6,45
"d322",53,63,,56,52,46,42
"d323",55,56,,46,47,46.2,33
"d315",44,54,,49,45,43.4,36
"d324",59,60,,55,54,43.4,55
"d216",57,61,,51,53,47,36
"d316",46,57,,51,52,44.5,40
"d302",50,61,,55,52,48.9,44
"d303",57,61,,56,54,49.4,40
"d217",53,59,,53,51,43.9,34
"d218",44,56,,43,49,39.5,37
"d201",49,55,,42,39,41.6,30
"d420",69,65,,61,63,60.5,66
"d117",55,64,,55,55,55.1,50
"d219",49,55,,57,60,54.2,51
"d118",56,56,,52,54,52.8,45
"d220",41,55,,38,34,27.5,32
"d225",44,52,,38,38,32.4,33
"d416",56,61,,53,56,47.5,49
"d401",49,60,,59,66,67.9,78
"d402",69,73,,70,73,68.2,72
"d202",64,66,,61,60,54.7,45
"d221",48,53,,52,49,42.9,32
"d119",49,53,,50,54,48.3,42
"d120",61,56,,49,50,42.6,42
"d226",41,51,,40,41,39.9,24
"d317",50,57,,52,49,44.3,38
"d121",49,56,,48,51,55.9,39
"d304",56,64,,61,61,58.4,46
"d403",54,62,,54,54,49.2,39
"d417",63,67,,61,61,58.3,59
"d203",43,60,,45,46,45,34
"d418",59,65,,59,62,56.2,55
"d204",57,65,,57,56,53.6,42
"d318",55,57,,61,59,59,58
"d404",58,61,,59,59,55.6,46
"d405",69,72,,78,77,71.9,78
"d213",74,59,,56,56,48.1,45
"d101",56,65,,67,65,65.3,72
"d222",43,55,,39,44,41.2,32
"d122",56,61,,54,58,54.6,50
"d102",75,78,,75,75,72.4,74
"d205",47,55,,48,48,51,35
"d413",58,64,,59,61,55.3,53
"d414",68,69,,63,61,54.1,57
"d206",42,56,,45,41,37.6,33
"d406",57,61,,58,58,54.9,48
"d207",61,62,,52,55,52.5,49
"d112",51,54,,45,46,42.3,35
"d407",54,58,,52,51,45,41
"d103",45,56,,48,50,45.7,40
"d227",50,57,,55,53,52.6,36
"d419",69,71,,68,68,61.9,64
"d421",58,65,,62,61,56.3,55
"d408",58,62,,55,56,51.6,49
"d305",52,62,,51,50,46.6,44
"d319",58,64,,60,57,49.1,45
"d325",50,58,,54,54,52.3,48
"d306",63,62,,62,60,58,69
"d208",59,62,,54,52,46.2,43
"d228",42,48,,34,30,27.3,24
"d123",45,55,,46,46,43.5,34
"d422",56,63,,61,57,53.3,49
"d415",56,58,,62,66,64.9,74
"d326",49,59,,53,53,48.9,52
"d307",55,69,,61,62,57.2,46
"d229",43,50,,39,39,37.5,27
"d104",58,63,,56,55,56.4,48
"d124",56,59,,54,57,53.8,47
"d114",63,67,,66,70,62.9,63
"d223",42,52,,46,44,42.5,38
"d320",57,60,,57,57,48.8,45
"d105",56,69,,64,64,62.6,45
"d409",58,70,,68,67,62.3,59
"d214",48,55,,46,44,40.7,28
"d209",56,65,,54,54,48.4,33
"d410",74,75,,75,75,72,73
"d423",69,70,,69,71,65.3,74
"d115",52,62,,52,54,50.3,48
"d308",65,64,,62,62,63.6,68
"d309",64,67,,64,63,53.4,48
"d106",49,62,,58,57,55.3,53
"d107",50,59,,51,52,46.4,38
"d108",61,69,,62,65,65.4,53
"d311",59,61,,60,61,55.4,62
"d116",51,60,,53,53,51.2,46
"d109",57,63,,51,52,46.6,39
"d230",49,57,,49,50,46.3,38
"d224",43,54,,42,48,42.8,31
"d327",65,64,,61,62,59.4,68
"d310",52,57,,55,52,46.6,41
"d231",59,60,,52,50,45.2,36
"d424",49,60,,65,68,57.6,67
"d411",65,69,,67,68,60.3,57
"d328",46,54,,49,50,46.6,39
"d329",55,58,,54,52,46.6,40
"d321",53,61,,56,55,50.2,45
"d312",53,59,,51,50,43.6,39
"d210",50,56,,46,45,37.9,31
"d110",48,61,,55,56,55.5,53
"d425",69,70,,69,74,69.7,75
"d412",70,70,,68,70,62.2,61
"d111",52,60,,55,55,53.7,48
"d232",53,54,,46,43,37.2,27
"d426",69,72,,71,69,66.3,72
"d215",44,56,,47,46,37.8,36
"d211",53,62,,51,55,49.5,38
"d212",48,55,,49,48,42.4,28
"d113",68,73,,69,70,67.7,68
"d313",50,57,,51,49,45,38
"d330",52,59,,53,54,43.8,35
