"district_id","2010","2011","2012","2013","2014","2015","2016"
"d314",50,,43,55,63,37,73
"d301",20,,20,34,27,28,25
"d322",24,,26,76,40,51,33
"d323",15,,13,20,30,20,21
"d315",12,,16,33,41,40,22
"d324",18,,8,44,17,14,29
"d216",33,,26,41,24,34,28
"d316",23,,26,114,66,173,55
"d302",16,,13,19,15,25,18
"d303",21,,22,33,31,28,24
"d217",31,,32,48,66,49,91
"d218",72,,58,93,66,87,74
"d201",66,,47,55,53,38,35
"d420",26,,24,39,34,32,20
"d117",46,,50,58,83,45,49
"d219",62,,36,48,41,38,35
"d118",41,,16,45,53,39,50
"d220",41,,41,22,45,40,39
"d225",71,,41,73,81,69,62
"d416",58,,23,83,24,71,38
"d401",23,,35,40,29,43,41
"d402",21,,21,51,42,33,37
"d202",53,,49,80,45,39,45
"d221",33,,45,64,49,59,36
"d119",31,,16,35,39,27,25
"d120",14,,32,34,37,23,72
"d226",46,,40,53,57,66,39
"d317",13,,13,33,22,29,37
"d121",28,,35,56,35,66,38
"d304",46,,27,35,33,29,34
"d403",23,,28,49,34,34,35
"d417",26,,27,42,28,28,29
"d203",58,,35,45,47,49,51
"d418",27,,28,46,30,29,33
"d204",38,,26,42,34,29,29
"d318",72,,13,32,19,16,19
"d404",33,,38,53,35,32,38
"d405",27,,49,50,53,44,42
"d213",25,,30,43,33,35,27
"d101",8,,8,14,10,14,10
"d222",45,,38,66,51,86,59
"d122",30,,24,45,35,30,30
"d102",53,,60,81,56,61,67
"d205",41,,33,60,41,46,44
"d413",25,,25,40,48,35,34
"d414",20,,17,36,31,23,31
"d206",43,,28,42,74,26,50
"d406",40,,39,53,42,57,47
"d207",22,,29,25,64,44,35
"d112",28,,26,49,42,40,28
"d407",33,,28,34,31,31,29
"d103",38,,39,35,54,44,43
"d227",111,,37,55,84,41,71
"d419",27,,17,43,25,36,22
"d421",40,,45,50,44,28,37
"d408",20,,26,40,28,34,23
"d305",27,,16,23,25,27,34
"d319",27,,23,46,32,25,27
"d325",25,,34,74,40,36,73
"d306",23,,27,262,75,71,70
"d208",31,,31,44,53,40,43
"d228",32,,26,93,42,71,45
"d123",28,,28,29,28,31,26
"d422",43,,46,30,32,31,29
"d415",31,,32,56,46,61,45
"d326",26,,21,95,83,47,44
"d307",22,,11,33,23,28,27
"d229",45,,35,53,76,41,49
"d104",37,,39,65,40,46,42
"d124",45,,57,66,67,74,72
"d114",58,,65,54,43,40,29
"d223",42,,52,61,59,40,53
"d320",26,,19,26,23,20,21
"d105",29,,28,32,24,42,28
"d409",33,,20,45,27,28,37
"d214",30,,61,78,112,61,53
"d209",64,,62,89,59,57,71
"d410",22,,17,33,35,28,29
"d423",21,,18,42,43,48,36
"d115",25,,34,58,28,50,50
"d308",34,,37,104,34,23,43
"d309",21,,19,18,16,35,14
"d106",26,,23,40,35,32,32
"d107",44,,41,57,44,43,41
"d108",44,,38,66,56,58,37
"d311",32,,39,34,28,,116
"d116",41,,37,44,28,37,31
"d109",33,,31,28,29,24,37
"d230",37,,30,123,64,58,57
"d224",55,,44,35,36,33,47
"d327",20,,20,183,43,25,22
"d310",29,,31,49,34,31,31
"d231",28,,29,57,71,42,23
"d424",67,,41,29,66,68,50
"d411",14,,27,44,37,33,24
"d328",33,,26,23,19,23,27
"d329",30,,38,24,23,23,34
"d321",21,,20,29,19,24,20
"d312",15,,12,26,25,25,28
"d210",37,,42,57,44,48,50
"d110",26,,26,55,35,38,35
"d425",21,,40,72,42,30,24
"d412",23,,26,41,30,30,28
"d111",27,,35,33,49,37,41
"d232",35,,35,44,36,31,35
"d426",24,,20,59,24,21,25
"d215",32,,28,27,27,31,25
"d211",29,,38,57,35,64,49
"d212",27,,23,44,36,32,25
"d113",32,,25,80,34,47,34
"d313",32,,42,48,40,32,41
"d330",26,,23,56,22,24,27
