"series","country-year"
"id","income-share-bottom-20pc"
"type","embedded"
"parent","income-share-by-quintile"
"name","Share of income of bottom 20% of population"
"columns","id, year, value"
"description","Share of income of bottom 20% of population"
"default-scale","lin"
"themes",
"map-theme",
"theme-order",
"global-picture-color-ramp",
"uom","percent"
"uom_display","%"
"source","World Bank World Development Indicators"
"calculation",
"format",
"highorlow","highisbetter"
"range",
"interpolated",
"missing-donor","NA"
"missing-recipient","NA"
"laymans-decription",
"laymans-heading",
