"id","entity-name","year","urban","rural"
"d101",,2014,9,91
"d102",,2014,100,0
"d103",,2014,22,78
"d104",,2014,21,79
"d105",,2014,35,65
"d106",,2014,18,82
"d107",,2014,7,93
"d108",,2014,27,73
"d109",,2014,14,86
"d110",,2014,7,93
"d111",,2014,7,93
"d112",,2014,7,93
"d113",,2014,32,68
"d114",,2014,14,86
"d115",,2014,14,86
"d116",,2014,20,80
"d117",,2014,33,67
"d118",,2014,6,94
"d119",,2014,15,85
"d120",,2014,11,89
"d121",,2014,8,92
"d122",,2014,18,82
"d123",,2014,11,89
"d124",,2014,11,89
"d201",,2014,7,93
"d202",,2014,17,83
"d203",,2014,12,88
"d204",,2014,36,64
"d205",,2014,4,96
"d206",,2014,12,88
"d207",,2014,4,96
"d208",,2014,4,96
"d209",,2014,25,75
"d210",,2014,8,92
"d211",,2014,17,83
"d212",,2014,14,86
"d213",,2014,2,98
"d214",,2014,4,96
"d215",,2014,15,85
"d216",,2014,3,97
"d217",,2014,11,89
"d218",,2014,3,97
"d219",,2014,3,97
"d220",,2014,9,91
"d221",,2014,15,85
"d222",,2014,7,93
"d223",,2014,6,94
"d224",,2014,7,93
"d225",,2014,9,91
"d226",,2014,7,93
"d227",,2014,4,96
"d228",,2014,4,96
"d229",,2014,4,96
"d230",,2014,7,93
"d231",,2014,11,89
"d232",,2014,4,96
"d301",,2014,18,82
"d302",,2014,6,94
"d303",,2014,8,92
"d304",,2014,34,66
"d305",,2014,22,78
"d306",,2014,8,92
"d307",,2014,24,76
"d308",,2014,14,86
"d309",,2014,8,92
"d310",,2014,15,85
"d311",,2014,2,98
"d312",,2014,8,92
"d313",,2014,7,93
"d314",,2014,16,84
"d315",,2014,15,85
"d316",,2014,5,95
"d317",,2014,11,89
"d318",,2014,7,93
"d319",,2014,18,82
"d320",,2014,5,95
"d321",,2014,3,97
"d322",,2014,13,87
"d323",,2014,3,97
"d324",,2014,10,90
"d325",,2014,4,96
"d326",,2014,13,87
"d327",,2014,11,89
"d328",,2014,11,89
"d329",,2014,6,94
"d330",,2014,19,81
"d401",,2014,16,84
"d402",,2014,17,83
"d403",,2014,19,81
"d404",,2014,14,86
"d405",,2014,26,74
"d406",,2014,25,75
"d407",,2014,8,92
"d408",,2014,6,94
"d409",,2014,32,68
"d410",,2014,41,59
"d411",,2014,12,88
"d412",,2014,11,89
"d413",,2014,5,95
"d414",,2014,21,79
"d415",,2014,15,85
"d416",,2014,6,94
"d417",,2014,26,74
"d418",,2014,11,89
"d419",,2014,8,92
"d420",,2014,2,98
"d421",,2014,21,79
"d422",,2014,7,93
"d423",,2014,6,94
"d424",,2014,35,65
"d425",,2014,13,87
"d426",,2014,27,73
