"id","value.2000","original-value.2000","value.2001","original-value.2001","value.2002","original-value.2002","value.2003","original-value.2003","value.2004","original-value.2004","value.2005","original-value.2005","value.2006","original-value.2006","value.2007","original-value.2007","value.2008","original-value.2008","value.2009","original-value.2009","value.2010","original-value.2010","value.2011","original-value.2011","value.2012","original-value.2012","value.2013","original-value.2013"
"AD",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AE",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AF",,,,,,,1.27942,1.27942,1.29312,1.29312,1.816776,,2.340432,,2.864088,,3.387744,,3.9114,3.9114,3.82767,,3.74394,3.74394,,,,
"AG",,,,,,,,,,,,,,,,,,,14.81005,14.81005,16.23196,16.23196,14.36836,14.36836,23.48624,23.48624,,
"AL",13.76232,13.76232,14.01383,14.01383,14.73868,14.73868,15.81263,15.81263,20.00498,20.00498,24.52325,24.52325,28.78627,28.78627,31.79338,31.79338,32.32131,32.32131,33.1062,33.1062,43.56153,43.56153,47.74272,47.74272,55.50096,55.50096,,
"AM",34.85656,34.85656,32.81435,32.81435,35.23941,35.23941,36.20652,36.20652,36.80103,36.80103,38.36914,38.36914,41.76502,41.76502,44.32213,44.32213,46.58058,46.58058,49.11955,49.11955,50.62447,50.62447,51.00142,51.00142,46.04359,46.04359,,
"AO",,,,,0.86361,0.86361,3.19307,3.19307,2.39667,2.39667,2.96268,2.96268,2.89827,2.89827,3.817624,,4.736978,,5.656332,,6.575686,,7.49504,7.49504,,,,
"AR",53.0705,53.0705,58.27672,58.27672,62.22986,62.22986,64.86005,64.86005,65.35837,65.35837,63.98481,63.98481,67.09057,67.09057,66.72804,66.72804,68.6869,68.6869,71.25094,71.25094,74.82966,74.82966,78.62611,78.62611,,,,
"AS",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AT",57.09374,57.09374,56.82897,56.82897,46.12931,46.12931,45.70464,45.70464,46.33501,46.33501,46.94947,46.94947,48.81463,48.81463,50.90288,50.90288,56.0321,56.0321,60.69051,60.69051,68.72152,68.72152,70.49385,70.49385,72.43606,72.43606,,
"AU",65.02531,65.02531,65.19178,65.19178,74.02367,74.02367,71.98739,71.98739,70.53541,70.53541,71.24206,71.24206,70.464,70.464,71.45716,71.45716,71.83235,71.83235,75.63,75.63,79.77163,79.77163,83.24341,83.24341,86.33409,86.33409,,
"AW",29.65608,29.65608,29.05586,29.05586,26.69797,26.69797,26.75628,26.75628,26.30441,26.30441,31.68347,31.68347,30.90319,30.90319,33.92613,33.92613,35.24049,35.24049,35.36232,35.36232,37.35172,37.35172,38.73762,38.73762,37.76113,37.76113,,
"AZ",,,,,,,,,,,,,19.78946,19.78946,19.3646,19.3646,19.04789,19.04789,19.05771,19.05771,19.26004,19.26004,19.64731,19.64731,20.4372,20.4372,,
"BA",21.37211,21.37211,23.10346,23.10346,23.21736,23.21736,25.0706,25.0706,27.01843,27.01843,29.35978,29.35978,31.52315,31.52315,34.07957,34.07957,35.91553,35.91553,36.36577,36.36577,36.52696,36.52696,37.65749,37.65749,37.74196,37.74196,,
"BB",40.63208,40.63208,40.28374,40.28374,42.9919766667,,45.7002133333,,48.40845,,51.1166866667,,53.8249233333,,56.53316,56.53316,63.49184,,70.45052,70.45052,64.81191,64.81191,60.84252,60.84252,,,,
"BD",5.43114,5.43114,6.40931,6.40931,6.11266,6.11266,6.15993,6.15993,5.67942,5.67942,6.2199,6.2199,7.10346,7.10346,7.65622,7.65622,8.60208,8.60208,10.46633,10.46633,11.809575,,13.15282,13.15282,,,,
"BE",57.52317,57.52317,58.24527,58.24527,59.24444,59.24444,60.17912,60.17912,61.74322,61.74322,61.98516,61.98516,62.46943,62.46943,61.61449,61.61449,62.19873,62.19873,65.16407,65.16407,67.52088,67.52088,69.26048,69.26048,70.82755,70.82755,,
"BF",,,1.15666,1.15666,1.41163,1.41163,1.60085,1.60085,1.95396,,2.30707,2.30707,2.44097,2.44097,2.6123,2.6123,3.1813,3.1813,3.53401,3.53401,3.57959,3.57959,4.14664,4.14664,4.56077,4.56077,,
"BG",44.4913,44.4913,43.01794,43.01794,40.86433,40.86433,41.51951,41.51951,41.93789,41.93789,44.27244,44.27244,45.81989,45.81989,49.53498,49.53498,51.35084,51.35084,54.0999,54.0999,57.99295,57.99295,59.62523,59.62523,62.69648,62.69648,,
"BH",,,,,,,27.6243,27.6243,24.12136,24.12136,22.73287,22.73287,21.51467,21.51467,25.353955,,29.19324,,33.032525,,36.87181,36.87181,36.55164,36.55164,33.45658,33.45658,,
"BI",1.15888,1.15888,1.12819,1.12819,1.76393,1.76393,1.8572,1.8572,2.28567,2.28567,2.30867,2.30867,2.31221,2.31221,2.36324,2.36324,2.55527,2.55527,2.72363,2.72363,3.16599,3.16599,,,,,,
"BJ",3.68104,3.68104,4.46439,4.46439,5.26469,5.26469,5.81991,5.81991,5.87204,5.87204,5.78435,5.78435,5.63397,5.63397,7.0460333333,,8.4580966667,,9.87016,9.87016,11.11764,,12.36512,12.36512,,,,
"BM",,,,,,,,,,,,,30.01988,30.01988,26.17433,26.17433,25.92593,25.92593,32.11095,32.11095,29.81673,29.81673,31.16544,31.16544,30.8026,30.8026,,
"BN",12.68911,12.68911,14.24664,14.24664,14.53481,14.53481,15.48998,15.48998,17.1869,17.1869,17.6941,17.6941,17.76584,17.76584,17.94593,17.94593,18.31874,18.31874,19.19414,19.19414,17.60385,17.60385,19.72259,19.72259,24.33869,24.33869,,
"BO",34.89121,34.89121,36.97282,36.97282,37.24976,37.24976,39.59124,39.59124,39.6282,39.6282,38.9817,,38.3352,,37.6887,37.6887,,,,,,,,,,,,
"BR",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BS",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BT",,,,,,,,,,,4.74113,4.74113,4.98818,4.98818,5.39997,5.39997,6.46172,6.46172,6.27684,6.27684,7.0034,7.0034,8.74412,8.74412,9.45071,9.45071,,
"BW",5.59222,5.59222,6.0309,6.0309,6.51705,6.51705,7.50668,7.50668,7.39334,7.39334,7.26756,7.26756,7.43282,7.43282,,,,,,,,,,,,,,
"BY",54.47493,54.47493,56.79771,56.79771,59.25915,59.25915,61.87503,61.87503,63.83589,63.83589,66.16838,66.16838,68.08551,68.08551,70.15585,70.15585,70.03213,70.03213,73.59158,73.59158,78.99414,78.99414,85.69712,85.69712,91.45247,91.45247,,
"BZ",,,15.04481,15.04481,16.80434,16.80434,16.01254,16.01254,15.48362,15.48362,16.03972,16.03972,17.01107,17.01107,18.21641,18.21641,19.28214,19.28214,22.86576,22.86576,22.5795,22.5795,22.86338,22.86338,25.78797,25.78797,,
"CA",58.88373,58.88373,,,,,,,,,,,,,,,,,,,,,,,,,,
"CD",,,,,,,,,,,,,4.53075,4.53075,4.55632,4.55632,5.72721,5.72721,6.77371,6.77371,7.449505,,8.1253,8.1253,8.23363,8.23363,,
"CF",1.86962,1.86962,1.8310675,,1.792515,,1.7539625,,1.71541,1.71541,1.428405,,1.1414,1.1414,1.72785,,2.3143,2.3143,2.49129,2.49129,2.61204,2.61204,3.05465,3.05465,2.84086,2.84086,,
"CG",5.22164,5.22164,4.36318,4.36318,3.88885,3.88885,3.88115,3.88115,4.320955,,4.76076,,5.200565,,5.64037,,6.080175,,6.51998,6.51998,7.792305,,9.06463,9.06463,10.36444,10.36444,,
"CH",37.69381,37.69381,39.68128,39.68128,40.85155,40.85155,43.94383,43.94383,45.51139,45.51139,45.71889,45.71889,46.44491,46.44491,47.12323,47.12323,48.68194,48.68194,49.9725,49.9725,52.75723,52.75723,54.33827,54.33827,55.5619,55.5619,,
"CI",,,,,,,,,,,,,,,9.55895,9.55895,9.293835,,9.02872,9.02872,8.35915,8.35915,6.41153,,4.46391,4.46391,,
"CL",37.18506,37.18506,38.77548,,40.3659,40.3659,42.71669,42.71669,42.67269,42.67269,47.66431,47.66431,46.5433,46.5433,52.11396,52.11396,54.85674,54.85674,59.0127,59.0127,65.93443,65.93443,70.51935,70.51935,74.39199,74.39199,,
"CM",4.6146,4.6146,4.62893,4.62893,5.05544,5.05544,5.08996,5.08996,5.05736,5.05736,5.80576,5.80576,6.75413,6.75413,7.19805,7.19805,7.80835,7.80835,8.95189,8.95189,11.02242,11.02242,11.90675,11.90675,,,,
"CN",7.75683,7.75683,9.83335,9.83335,12.41981,12.41981,14.96737,14.96737,17.01648,17.01648,18.34087,18.34087,19.51878,19.51878,19.9669,19.9669,20.18727,20.18727,21.82372,21.82372,23.32153,23.32153,24.32841,24.32841,26.7,26.7,,
"CO",23.91613,23.91613,24.78947,24.78947,24.87423,24.87423,24.5713,24.5713,27.45562,27.45562,29.9112,29.9112,31.86716,31.86716,32.96354,32.96354,35.36916,35.36916,36.95747,36.95747,38.99175,38.99175,42.74132,42.74132,45.01903,45.01903,,
"CR",,,,,,,,,25.63912,25.63912,25.48399,25.48399,28.6450333333,,31.8060766667,,34.96712,,38.1281633333,,41.2892066667,,44.45025,44.45025,46.74096,46.74096,,
"CU",22.04292,22.04292,25.14311,25.14311,26.87868,26.87868,32.58655,32.58655,53.51187,53.51187,61.85089,61.85089,86.18538,86.18538,105.78393,105.78393,117.89144,117.89144,114.78403,114.78403,95.00228,95.00228,80.29585,80.29585,62.4513,62.4513,,
"CV",1.88196,1.88196,1.60763,1.60763,3.87481,3.87481,4.54182,4.54182,5.98368,5.98368,7.43982,7.43982,8.4248,8.4248,9.59665,9.59665,11.95719,11.95719,15.10609,15.10609,17.97689,17.97689,20.6206,20.6206,20.60955,20.60955,,
"CW",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CY",19.56232,19.56232,21.61252,21.61252,25.10229,25.10229,31.96361,31.96361,35.86369,35.86369,33.22082,33.22082,33.41991,33.41991,36.17381,36.17381,42.618,42.618,52.00389,52.00389,48.31158,48.31158,46.53973,46.53973,45.86359,45.86359,,
"CZ",28.42699,28.42699,30.07788,30.07788,34.60981,34.60981,37.30648,37.30648,44.20706,44.20706,48.90877,48.90877,50.64701,50.64701,54.48956,54.48956,58.05345,58.05345,60.6826,60.6826,63.21222,63.21222,64.58364,64.58364,64.17338,64.17338,,
"DE",,,,,,,,,,,,,,,,,,,,,,,56.52802,56.52802,61.65019,61.65019,,
"DJ",0.26718,0.26718,0.69048,0.69048,1.01653,1.01653,1.27423,1.27423,1.58877,1.58877,2.32128,2.32128,2.53621,2.53621,2.73832,2.73832,2.73736,2.73736,3.40972,3.40972,3.40697,3.40697,4.91985,4.91985,,,,
"DK",57.2493,57.2493,60.02826,60.02826,63.5351,63.5351,67.53728,67.53728,74.44244,74.44244,80.42934,80.42934,79.06494,79.06494,78.57612,78.57612,75.67538,75.67538,74.25672,74.25672,73.58181,73.58181,76.80115,76.80115,79.59763,79.59763,,
"DM",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DO",,,,,,,33.32915,33.32915,,,,,,,,,,,,,,,,,,,,
"DZ",,,15.24848,15.24848,16.74901,16.74901,17.744,17.744,18.18056,18.18056,19.76258,19.76258,20.21485,20.21485,22.28536,22.28536,25.441035,,28.59671,28.59671,28.75825,28.75825,30.27547,30.27547,31.46411,31.46411,,
"EC",,,,,,,,,,,,,,,,,38.92361,38.92361,,,,,,,,,,
"EE",56.3511,56.3511,60.37787,60.37787,62.84376,62.84376,65.28051,65.28051,66.76598,66.76598,68.44583,68.44583,68.61673,68.61673,68.81517,68.81517,68.21029,68.21029,69.20874,69.20874,71.65114,71.65114,74.16762,,76.6841,76.6841,,
"EG",,,31.16712,31.16712,32.27221,32.27221,28.98658,28.98658,30.32905,30.32905,31.61872,31.61872,31.44335,31.44335,31.85237,31.85237,31.64919,31.64919,32.36041,32.36041,33.46806,33.46806,28.7532,28.7532,30.05602,30.05602,,
