"id","year","out-oda-gross","capital-repayment","interest-repayment"
"DK",2002,2916550000,98350000,15750000
"FI",2002,736540000,8920000,990000
"FR",2002,10659520000,1775140000,0
"DE",2002,10076760000,2022500000,511530000
"GR",2002,471860000,0,0
"IS",2002,15530000,0,0
"IE",2002,577900000,0,0
"IT",2002,4187460000,329920000,0
"JP",2002,16821500000,4052950000,2320440000
"KR",2002,399710000,16350000,12740000
"LU",2002,291710000,0,0
"NL",2002,5478070000,224310000,63880000
"NZ",2002,271340000,0,0
"NO",2002,3797060000,11340000,0
"PL",2002,23260000,0,0
"PT",2002,518890000,0,1190000
"SK",2002,16070000,0,0
"SI",2002,0,0,0
"ES",2002,3183030000,270990000,1820000
"SE",2002,3386630000,1220000,160000
"CH",2002,1724940000,7500000,0
"GB",2002,6752580000,143780000,2450000
"US",2002,17480240000,1073130000,463940000
"BG",2002,0,0,0
"HR",2002,0,0,0
"CY",2002,0,0,0
"EE",2002,2680000,0,0
"HU",2002,0,0,0
"IL",2002,188520000,0,0
"KW",2002,489440000,458460000,0
"LV",2002,2300000,0,0
"LI",2002,0,0,0
"LT",2002,2500000,0,0
"MT",2002,0,0,0
"RO",2002,0,0,0
"RU",2002,0,0,0
"SA",2002,3979980000,213700000,0
"TW",2002,0,0,0
"TH",2002,0,0,0
"TR",2002,153280000,0,0
"AE",2002,904460000,56200000,0
"AU",2003,2678470000,0,0
"AT",2003,724440000,50950000,2440000
"BE",2003,2579050000,45160000,3850000
"CA",2003,4107050000,584400000,2850000
"CZ",2003,145020000,0,0
"DK",2003,2659320000,199010000,6460000
"FI",2003,740540000,2120000,750000
"FR",2003,11919380000,2313150000,796170000
"DE",2003,10008670000,1540820000,498760000
"GR",2003,496700000,0,0
"IS",2003,18040000,0,0
"IE",2003,588480000,0,0
"IT",2003,3571930000,316830000,0
"JP",2003,16804070000,5300290000,2630060000
"KR",2003,479900000,17490000,21390000
"LU",2003,303470000,0,0
"NL",2003,5284330000,180810000,46520000
"NZ",2003,289090000,0,0
"NO",2003,3943390000,13230000,0
"PL",2003,42100000,0,0
"PT",2003,418590000,2340000,1110000
"SK",2003,28030000,0,0
"SI",2003,0,0,0
"ES",2003,3018930000,347830000,45710000
"SE",2003,3299590000,0,0
"CH",2003,2045020000,8220000,0
"GB",2003,7754120000,203730000,67830000
"US",2003,22086160000,2333880000,497310000
"BG",2003,0,0,0
"HR",2003,0,0,0
"CY",2003,0,0,0
"EE",2003,1880000,0,0
"HU",2003,29440000,0,0
"IL",2003,155340000,0,0
"KW",2003,635680000,452390000,0
"LV",2003,1170000,0,0
"LI",2003,0,0,0
