"id","out-oda-gross.2000","capital-repayment.2000","interest-repayment.2000","out-oda-gross.2001","capital-repayment.2001","interest-repayment.2001","out-oda-gross.2002","capital-repayment.2002","interest-repayment.2002","out-oda-gross.2003","capital-repayment.2003","interest-repayment.2003","out-oda-gross.2004","capital-repayment.2004","interest-repayment.2004","out-oda-gross.2005","capital-repayment.2005","interest-repayment.2005","out-oda-gross.2006","capital-repayment.2006","interest-repayment.2006","out-oda-gross.2007","capital-repayment.2007","interest-repayment.2007","out-oda-gross.2008","capital-repayment.2008","interest-repayment.2008","out-oda-gross.2009","capital-repayment.2009","interest-repayment.2009","out-oda-gross.2010","capital-repayment.2010","interest-repayment.2010","out-oda-gross.2011","capital-repayment.2011","interest-repayment.2011","out-oda-gross.2012","capital-repayment.2012","interest-repayment.2012","out-oda-gross.2013","capital-repayment.2013","interest-repayment.2013"
"AU",2654330000,0,0,2544700000,0,0,2660620000,0,0,2678470000,0,0,2728330000,0,0,2902570000,0,0,3532970000,0,0,3843080000,0,0,4048860000,0,0,3992960000,0,0,4459300000,0,0,4967350000,0,12710000,5514610000,111880000,0,5235820000,79430000,0
"AT",751360000,1480000,2330000,1103840000,11830000,2850000,846440000,6260000,3130000,724440000,50950000,2440000,841850000,33090000,1560000,1854650000,14010000,1020000,1713880000,10110000,5e+06,1876020000,26950000,730000,1676800000,43770000,270000,1122640000,9930000,210000,1222150000,4550000,140000,1049970000,4260000,90000,1113480000,7680000,140000,1117840000,4730000,1e+05
"BE",1497030000,38190000,3380000,1587620000,31140000,4050000,1855340000,63980000,4510000,2579050000,45160000,3850000,1878080000,96540000,4440000,2387590000,53660000,1700000,2322840000,49100000,3600000,2074920000,65510000,2990000,2332710000,49230000,2490000,2604350000,47620000,2390000,3080730000,48120000,0,2844980000,199220000,2870000,2359230000,44320000,20000,2246250000,55620000,-20000
"CA",3458270000,47810000,3270000,3120980000,45560000,3130000,4087390000,58940000,2990000,4107050000,584400000,2850000,4105990000,48860000,2780000,5319220000,28570000,43010000,4781870000,53900000,0,4850880000,46520000,0,5484100000,44090000,0,4971550000,50260000,2420000,5689420000,46500000,2360000,5540640000,47080000,2290000,5697890000,52480000,2250000,5087680000,43620000,2230000
"CZ",38520000,0,0,59340000,0,0,85490000,0,0,145020000,0,0,152190000,0,0,177730000,0,0,198450000,0,0,191820000,0,0,224190000,0,0,206770000,0,0,223800000,0,0,230260000,0,0,219620000,0,0,207860000,0,0
"DK",3102620000,32600000,0,3116670000,90270000,0,2916550000,98350000,15750000,2659320000,199010000,6460000,2629800000,78850000,14720000,2650060000,79330000,4220000,2738220000,92860000,10210000,2823640000,109620000,2280000,2765980000,61080000,640000,2822200000,35510000,810000,2948380000,77360000,0,2840610000,67690000,0,2812370000,119780000,0,2959070000,167370000,0
"FI",634020000,11250000,1970000,666470000,13920000,2010000,736540000,8920000,990000,740540000,2120000,750000,823970000,10450000,690000,1080550000,6490000,330000,979630000,3850000,0,1021580000,0,1e+05,1120760000,1850000,0,1263950000,0,40000,1368130000,0,20000,1356520000,19050000,20000,1322430000,6450000,0,1366540000,0,0
"FR",8447640000,1359010000,0,8690520000,1377550000,0,10659520000,1775140000,0,11919380000,2313150000,796170000,11358910000,1321720000,430470000,13144710000,1493610000,0,13588130000,1646230000,417800000,11396040000,1444190000,477180000,11503220000,1.338e+09,507350000,13419820000,1342980000,406480000,14253900000,1365310000,407110000,13303380000,1104920000,306120000,13506690000,1478490000,336730000,12242060000,1420860000,0
"DE",9198840000,1217070000,712140000,9446180000,1389800000,576680000,10076760000,2022500000,511530000,10008670000,1540820000,498760000,10049520000,1588420000,423820000,12935170000,1687570000,325700000,13269400000,1777970000,348270000,13598940000,1386960000,325730000,14935480000,1853140000,460690000,12781490000,1209920000,294600000,14340770000,1396640000,291410000,14629300000,1.41e+09,302810000,14569650000,1630150000,335240000,15376850000,1889680000,313830000
"GR",416200000,0,0,374740000,0,0,471860000,0,0,496700000,0,0,388650000,0,0,456840000,210000,0,487260000,0,0,510630000,0,0,649800000,0,0,568240000,0,0,493930000,0,0,389590000,0,0,327390000,0,0,236740000,0,0
