"id","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"AD",,,,,,,,,,,,,3970,4990,6300,7300,7570,7880,8570,10360,12550,12410,10780,8890,8050,7640,8700,11020,14080,15360,16880,18260,20140,18730,17880,17830,18990,20180,19410,19250,19930,21000,22590,27150,33610,40040,42740,44250,43760,44190,41670,40580,41010,43270,,
"AE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32820,31710,33560,37000,38390,40360,40630,41010,36040,34140,35250,40110,43750,44410,43090
"AF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220,250,280,340,370,470,520,580,700,690,660,610
"AG",,,,,,,,,,,,,,,,,,,,1290,1620,1810,1850,2050,2440,2840,3130,3960,5050,5430,5740,6160,6370,6810,7180,6920,7130,7620,7730,8000,8620,8890,9290,10140,10990,11920,13400,14750,14990,13420,12620,12370,12830,13030,13310,13270
"AL",,,,,,,,,,,,,,,,,,,,,,,,,,,720,760,760,790,680,420,300,320,400,660,920,830,900,1010,1170,1330,1410,1690,2150,2670,3090,3480,4050,4280,4360,4390,4360,4480,4440,4280
"AM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,310,330,400,450,520,560,590,610,660,710,800,950,1160,1520,1990,2710,3520,3250,3370,3420,3760,3980,4010,3880
"AO",,,,,,,,,,,,,,,,,,,,,,,,,,,,750,750,520,550,1210,1580,,700,490,400,430,430,360,390,430,510,620,880,1170,1630,2360,3020,3510,3570,3740,4140,4720,4800,4180
"AR",,,,,,,,,,,,2070,1320,1230,2110,2460,2220,2150,2170,2600,2940,2810,2570,2800,2820,2650,3010,3600,3900,2910,3170,3950,6280,7070,7540,7330,7700,8110,7990,7540,7440,6960,3930,3550,3560,4600,5500,6530,7680,7790,9240,10710,11870,12850,12330,12460
"AS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AT",,,1060,1140,1240,1340,1470,1560,1680,1850,2050,2300,2750,3560,4640,5520,5960,6630,7510,9580,11420,11130,10350,9570,9240,9330,10780,13760,18010,19230,20560,21730,24430,24780,26040,28090,30050,29550,27920,27210,26690,25270,24950,27940,33620,38500,41260,44200,48790,48710,49350,50310,49830,50500,50150,47410
"AU",,,1840,1940,2070,2230,2320,2520,2710,2970,3250,3450,3840,4580,5890,7120,7740,8000,8430,9540,10730,11700,12100,11510,11920,11860,12190,12430,13980,15470,17220,18210,18620,18850,18750,19290,20500,21950,21770,21430,21110,20110,19960,21110,25490,30310,34140,37310,42360,44010,46530,50130,59810,65500,64620,60070
"AW",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AZ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,590,440,400,400,450,510,570,610,660,720,820,950,1270,1890,2710,3870,4800,5370,5530,6290,7350,7600,6560
"BA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,750,1000,1310,1380,1470,1590,1740,2020,2520,3070,3380,3840,4620,4840,4780,4780,4690,4870,4820,4670
"BB",,,,,,,,,,,,,,,,,,,,,,,4270,4380,4820,5170,5870,6660,7400,7870,7520,7520,7480,7730,8090,8500,8950,9360,9700,10110,11110,10990,11030,11740,12650,13640,14630,15660,15980,15810,15850,15100,15190,14890,14720,14510
"BD",,,,,,,,,,,,,,120,160,210,200,170,160,190,230,260,240,220,210,220,240,270,280,290,310,310,320,320,320,330,360,390,400,410,420,430,420,450,490,540,560,590,650,710,780,870,950,1010,1080,1190
"BE",,,1450,1530,1670,1800,1950,2100,2270,2510,2800,3090,3660,4710,6020,6940,7620,8260,9610,11790,14050,13260,11240,9470,8910,8870,10210,13160,17090,18120,19400,20680,23280,23520,25210,27200,28760,28650,26720,26180,26040,24530,24130,27120,32970,37850,40030,42760,46700,46250,47810,47010,47080,47290,47270,44250
"BF",,,80,80,80,80,80,90,90,90,90,90,90,110,140,160,170,170,200,250,300,300,280,240,210,210,240,270,330,330,330,360,320,280,230,230,250,250,250,250,250,240,240,280,340,410,430,450,510,540,590,620,670,700,680,640
"BG",,,,,,,,,,,,,,,,,,,,,,,2360,2090,2010,1950,2190,2720,3110,2830,2250,1620,1430,1250,1240,1360,1300,1330,1390,1490,1660,1760,1960,2350,3020,3760,4230,4860,6100,6640,6910,7190,7420,7610,7720,7480
"BH",,,,,,,,,,,,,,,,,,,,,,,8310,8730,9210,8090,7450,7830,7570,7310,7220,9800,9890,10040,9690,10380,10770,10260,10000,9800,10900,11540,12260,13240,14970,16970,18220,19840,20840,18650,18660,17770,19410,20900,20610,19840
"BI",,,70,80,80,70,60,60,50,50,70,70,70,80,100,110,120,140,150,180,220,250,240,230,220,240,240,250,250,220,210,210,200,170,160,150,140,140,140,130,130,120,120,110,120,130,140,160,170,180,200,220,240,250,270,260
"BJ",,,90,100,110,110,110,120,120,120,120,120,130,160,190,200,210,230,250,310,390,410,360,290,270,260,270,310,360,340,360,380,360,380,330,350,340,370,370,370,390,380,380,430,520,590,610,650,730,770,760,770,790,860,900,840
"BM",,,2170,2160,2360,2460,2830,3210,3240,3340,3570,4010,4550,5430,6490,7570,8290,8960,9680,10700,12790,14120,13710,14820,16510,17870,21170,24040,26620,26500,27060,27400,29000,30890,31730,34290,,,,,,,,,,,,117640,120490,111580,110440,107530,106080,106140,,
"BN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12170,12550,13680,15270,15130,15190,15790,16330,16330,14530,14140,14800,16210,17310,18000,20200,23290,27730,30970,34030,32190,32910,35010,41690,44540,42310,38010
"BO",,,,,,,,,,,240,250,290,310,390,490,580,620,700,810,870,1030,860,870,850,820,740,720,710,720,720,740,770,800,820,850,910,960,1000,980,990,960,930,920,970,1030,1120,1240,1490,1640,1810,2010,2280,2620,2870,3000
"BR",,,,,,,,,,,,,,,,,,,,,,,4080,2060,1400,1550,1740,2010,2230,2730,2710,3250,3140,3070,3010,3680,4470,5030,4820,4100,3840,3290,3040,2920,3280,3910,4710,5980,7330,7990,9650,11010,12020,12180,11790,9850
"BS",,,1550,1650,1760,1900,2040,2230,2450,2760,2920,3110,3190,3740,3840,4640,3120,3360,3720,5200,6050,5790,6360,6640,7700,8510,9400,10790,11710,12430,11860,11320,11550,11310,11600,14260,15940,13660,15790,19020,20330,20870,21230,21640,22780,23510,23610,23860,23800,22280,21660,21320,21710,21470,21080,20740
"BT",,,,,,,,,,,,,,,,,,,,,,,280,270,300,300,350,490,540,560,580,500,480,450,490,510,560,610,580,620,780,820,860,950,1070,1220,1340,1630,1750,1830,1990,2170,2320,2330,2370,2380
"BW",,,70,80,80,90,90,100,110,130,150,180,230,310,400,470,490,530,620,800,1000,1210,1160,1050,980,970,1050,1230,1830,2160,2540,2870,3050,3100,2750,3040,2970,3110,3010,2970,3000,3100,2790,3230,3770,4760,5270,5570,5590,5180,5480,6510,7160,7330,7030,6460
"BY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1670,1590,1460,1370,1450,1530,1550,1400,1380,1300,1380,1630,2180,2820,3520,4310,5470,5590,5990,6130,6400,6790,7340,6460
"BZ",,,330,340,350,370,390,420,420,420,420,450,520,600,730,840,800,850,930,1120,1430,1420,1270,1130,1130,1180,1340,1580,1820,2020,2230,2380,2660,2780,2790,2860,2890,2890,2790,2880,3150,3140,3230,3450,3590,3680,3780,3740,3940,4130,3990,4150,4260,4340,4430,4490
"CA",,,2340,2360,2470,2670,2920,3080,3370,3680,3960,4380,5040,6050,7180,7980,8680,9030,9690,10530,11510,12280,11810,12090,13000,13760,14380,16110,18430,19660,20420,20730,21140,21000,20660,20670,20640,21140,20750,21250,22520,22860,23320,25230,29230,33960,37640,41220,44600,43080,44400,47090,51150,52560,51620,47540
"CD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,380,180,130,120,120,100,130,140,190,160,190,200,220,250,270,290,300,310,350,370,400,410
"CF",,,80,80,80,90,90,100,100,110,110,110,120,140,160,180,200,240,270,300,340,340,330,260,270,280,330,400,470,470,460,460,450,430,360,340,290,290,270,270,250,250,250,260,300,340,350,380,420,450,470,480,490,310,320,330
"CG",,,150,150,160,170,170,190,200,210,220,230,270,340,420,500,480,440,480,600,820,1080,1210,1060,1050,980,970,1040,920,930,920,950,1050,790,680,430,470,590,580,490,570,640,680,710,790,980,1230,1410,1870,1980,2230,2230,2510,2620,2720,2540
"CH",,,,,,,,,,,,,,,,,,,,,,,19100,17730,17960,18060,20340,25630,33620,35220,36900,37510,40880,40780,41860,45400,48350,48040,44960,43130,43490,40950,39730,45630,53810,61550,63900,62680,63020,70230,77360,79290,84580,88090,86200,84630
"CI",,,170,190,220,210,230,230,260,280,290,300,310,370,460,580,660,760,930,1100,1130,1100,930,700,640,620,720,800,890,810,760,740,760,740,670,690,710,760,750,730,640,590,570,620,780,940,950,980,1090,1180,1210,1150,1260,1360,1450,1420
"CL",,,580,630,670,660,740,750,770,800,860,1030,1110,1320,1620,1120,980,1070,1310,1740,2230,2640,2180,1780,1600,1410,1410,1560,1830,2100,2260,2510,3050,3380,3670,4400,5020,5480,5350,5000,5020,4850,4630,4650,5310,6340,7360,8740,10140,10030,10800,12350,14360,15270,14980,14100
"CM",,,,,,,,110,130,150,160,170,180,200,270,340,330,330,500,600,610,810,820,760,760,780,900,1010,1100,1040,920,870,870,870,790,730,650,640,630,630,600,580,570,660,800,900,960,990,1090,1160,1170,1210,1230,1290,1350,1320
"CN",,,70,80,90,100,110,100,90,110,120,130,130,160,180,200,190,190,200,210,220,220,220,220,250,290,310,320,330,320,330,350,390,420,470,540,650,750,800,860,940,1010,1110,1280,1510,1760,2060,2510,3100,3690,4340,5060,5940,6800,7520,7930
"CO",,,270,280,300,300,310,290,300,310,320,340,380,450,530,580,610,670,830,1030,1220,1310,1280,1240,1240,1170,1190,1210,1260,1220,1220,1190,1280,1390,1740,2140,2470,2590,2510,2280,2320,2300,2330,2340,2580,2920,3430,4070,4660,5090,5540,6180,7140,7760,7970,7140
"CR",,,360,350,340,370,390,410,440,470,520,570,630,760,880,970,1040,1240,1480,1740,1950,1420,1020,1020,1280,1560,1820,2070,2190,2210,2320,2350,2580,2740,2980,3170,3230,3330,3360,3140,3580,3690,3780,4040,4390,4650,5060,5690,6410,6530,7230,8060,9220,9800,10110,10400
"CU",,,,,,,,,,,,,850,1040,1240,1500,1550,1600,1790,2000,2150,2430,2340,2180,2310,2310,2390,2490,2780,2750,2660,2340,2130,1870,2140,2550,2700,2500,2240,2400,2620,2760,2820,3100,3490,3960,4520,4980,5430,5490,5570,5880,,,,
"CV",,,,,,,,,,,,,,,,,,,,,,,500,460,450,450,510,640,830,890,890,900,1040,1180,1290,1400,1330,1340,1300,1340,1370,1310,1270,1480,1850,2110,2250,2780,3280,3480,3410,3540,3470,3530,3440,3280
"CW",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CY",,,,,,,,,,,,,,,,,,1530,1820,2410,3410,4070,4510,4220,4360,4480,5090,6450,8090,8770,9510,9670,11230,11190,11900,13140,14160,14580,15800,14780,14860,14690,14980,17130,20920,24450,26290,29030,32090,32560,31330,31500,28920,27010,26500,25990
