"district_id","2013","2014","2015","2016","2017","2018"
"d314",62588.68,207483,139792.17,106633.99,,
"d301",91804.82,136615.79,137128.9,104602.44,70949.56,65722.21
"d322",87219.61,184351.43,162296.98,88081.72,,
"d323",122581.29,314068.09,205972.29,157116.44,90574.64,
"d315",56410.02,169409.66,140266.1,106995.51,144127.56,
"d324",9263.51,75264.99,40578.14,32651.84,34592.05,
"d216",74838.57,208099.89,182889.07,140567.88,138105.7,
"d316",131365.87,255845.8,154805.53,118032.2,107698.57,
"d302",80567.84,183954,152662.58,113749.7,92021.32,
"d303",574519.89,1123357.05,1016717.94,758799.94,914385.15,264667.32
"d217",103905.66,186102.42,94941.25,72421.54,57642.95,53502.47
"d218",77077.02,137077.82,111878.3,85341.19,78338.41,42846.27
"d201",244503.71,238637.11,196635.08,149993.98,38630.28,
"d420",27240.44,63226.27,72143.87,53441.82,,
"d117",265564.59,1769548.53,1651631,1254558.96,1039883.56,1365015.33
"d219",98018.39,359486.34,309723.69,168108.01,43381.77,
"d118",34314.29,58112.35,37146.24,31577.57,,
"d220",33001.93,91293.38,73933.68,41003.93,,
"d225",49175.48,83451.8,51738.45,48322.82,51165.85,
"d416",121881.69,214690.15,182184.55,141672.96,62123.98,
"d401",60447.37,241472.57,66000.18,50345.19,56166.88,
"d402",290797.55,595808.2,472197.06,358503.39,229900.9,225094.66
"d202",429631.61,692259.99,637595.46,503941.7,58798.51,56669.05
"d221",95807.25,171099.9,141665.57,108063.03,58798.51,56669.05
"d119",35114.15,46767.1,54306.79,41425.43,24182.31,
"d120",47485.34,114669.23,127473.97,83249.65,78927.4,99217.6
"d226",19029.23,55886.08,103454.23,78915.27,63800.79,72978.83
"d317",44599.23,46195.98,38248.88,29176.39,35159.87,52356.41
"d121",74947.34,106207.34,185299.08,136542.06,129607.62,127012.96
"d304",,299093.38,337220.67,1417521.75,148953.26,116162.35
"d403",906426.29,446852.51,812261.65,845428.84,462328.34,469989.29
"d417",76452.17,417057.52,340784.69,259459.82,438190.36,156841.55
"d203",216661.7,107163.9,382063.44,310514.53,76951,
"d418",226143.19,556396.26,336115.19,256390.2,289144.45,115577.07
"d204",3289496.88,4002891.31,1527224.1,2474791.17,2974244.03,2760604.71
"d318",58135.07,140832.62,120206.02,86509.48,51165.85,
"d404",908265.92,693125.85,1476379.31,1254688.65,696890.57,767869.53
"d405",613206.78,1280319.44,1371247.92,909296.46,1086146.25,911285.19
"d213",81608.96,203328.21,165991.34,127985.71,36284.05,
"d101",112617.28,234884.88,239816.27,182932.75,225208.93,209032.22
"d222",153161.26,140599.47,121339.13,92448.25,104436.11,109794.05
"d122",56981.16,87020.51,205919.16,169884.5,169308.78,172296.51
"d205",124674.26,139073.08,422882.8,308266.28,281563.84,256381.14
"d413",,224421.75,178825.27,143409.19,161318.74,151980.61
"d414",376205.73,357231.83,320153.98,192539.07,150939.13,129575.07
"d206",177038.88,143313,102320.41,68628.09,34118.87,21959.64
"d406",535209.5,1893466.37,1675714.85,1185224.06,366507.12,346901.33
"d207",213620.27,321626.89,245653.93,243910.16,64825.85,
"d112",367685.23,300712.18,269649.23,205527.34,295829.51,252639.68
"d407",235603.2,678667.07,573096.76,433760.3,271471.13,255204.1
"d103",407009.05,373503.63,318620.27,243044.74,226982.12,203784.79
"d227",31492.18,51291.51,42467.83,32394.62,17929.59,16641.71
"d419",537687.41,558891.62,477153.11,269169.89,348452.76,321053.44
"d421",42807.04,440133.91,393618.34,281530.78,287819.54,263627.13
"d408",147748,232463.1,404932.02,311258.9,277035.24,269992.65
"d305",183232.31,530843.34,439522.31,335269.27,78819.81,
"d319",62035.45,488255.85,432316.71,329772.81,125733.26,116701.86
"d325",114737.56,194543.34,161076.03,122869.4,88841.8,82460.31
"d306",265591.9,132971.37,47106.5,45605.79,99246.8,123559.28
"d208",90056.05,86073.36,104717.32,79878.77,171199.76,158902.52
"d228",59086.22,105823.6,97256.34,74187.5,48898.31,45385.96
"d123",96778.54,101196.95,173783.51,132562.71,75876.87,
"d422",123156.45,304736.92,235795.69,179865.84,54868.87,50927.19
"d415",96895.81,88527.22,343604.87,289122.02,226486.52,99338.49
"d326",73003.42,109368.78,77925.22,59441.65,,
"d307",399209.19,639928.49,917125.26,453518.16,546989.45,604785.21
"d229",22827.56,34914.04,28907.78,1419965.34,22316.48,31113.35
"d104",141495.04,163298.96,135206.63,103142.88,99048.82,91934.16
"d124",467502.07,104175.72,244990.51,165234.81,206746.39,191727.1
"d114",47060.57,46890.73,217857.66,175369.89,177877.84,165100.92
"d223",160115.61,304023.35,191359.89,158939.13,,
"d320",98179.97,148232.7,86724.39,55346.12,63521.61,48556.93
"d105",1108538.33,862091.03,861455.13,665849.95,646839.68,600377.33
"d409",363688.62,498712.99,718338.03,547950.95,378192.7,354725.67
"d214",145554.76,268770.49,244941.63,186842.39,161841.98,150216.9
"d209",1305740.66,457194.15,1686863.47,1397136.51,170485.75,273816.87
"d410",990325.61,381283.6,1885237.34,1424166.79,1722864.83,1421986.27
"d423",78055.02,170495.42,138564.85,105697.79,74594.55,69236.44
"d115",157562.5,116541.28,464049.98,316785.08,346545.09,337236.55
"d308",398668.49,329723.01,198022.15,144893.07,65688.28,
"d309",165164.97,232030.6,313538.84,169464.9,191320.18,161793.56
"d106",187127.32,551295.6,370440.54,282723.12,258297.76,255428.09
"d107",175282.06,588035.92,510494.12,387800.02,297828.08,236610.3
"d108",1435027.43,1624735.66,1404122.09,1122733.59,370228.56,366079.03
"d311",93567.91,185305,153426.96,117034.66,62022.62,57567.55
"d116",198227.33,587419.46,486365.64,407332,,
"d109",,,192067.95,216307.08,,
"d230",67081.23,231385.05,169736.71,129475.8,37356.42,
"d224",37327.98,38020.3,116188.27,88628.85,105341.63,97774.96
"d327",43286.86,109326.86,116235.38,61645.85,49808.57,
"d310",146667.49,729319.87,603854.91,460622.79,138075.82,105011.01
"d231",63060.9,229098.46,201729.61,153880.11,157164.7,118309.31
"d424",49689.77,119655.23,126852.34,96765.6,,
"d411",125512.62,894853.66,733494.13,558751.77,513871.24,482944.79
"d328",62909.16,263693.36,234942.4,179214.95,,
"d329",40660.8,38862.21,44392.58,31849.11,28654.62,
"d321",379468.28,259043.6,365044.22,263731.79,175313.95,193365.52
"d312",163345.04,226846.52,243390.21,185658.96,,
"d210",137188.69,126232.23,247001.33,189160.35,83956.82,
"d110",480139.14,961376.99,704825.09,537643.23,490085.65,132148.51
"d425",25513.6,110745.02,90058.17,68696.71,73869.09,86209.17
"d412",286236.06,329508.25,419568.14,289265.22,135605.06,127946.59
"d111",71615.86,86526.4,178228.43,113156.09,80237.61,
"d232",136263.95,322064.96,266660.09,203409.32,239975.93,229229.78
"d426",114158.82,204902.51,174116.11,132816.42,90348.01,129900.07
"d215",137140.79,165517.96,309357.45,221591.17,109578.84,92644.03
"d211",390448.33,604726.11,191119.03,317592.41,616512.24,522981.61
"d212",293590.12,725929.13,1021080.69,890479.94,728428.11,647075.32
"d113",3509541.09,4634684.76,5509891.63,4258437.54,4290582.81,4095043.43
"d313",37867.78,190376.14,182778.56,139559.26,145439.27,134992.4
"d330",85973.5,85853.04,290665.31,221720.59,340870.15,242377.13
