"id","value.2005","value.2006","value.2007","value.2008","value.2009","value.2010","value.2011","value.2012"
"AF",49.31,49.28,49.25,49.17,48.96,48.6,48.08,47.42
"AG",28.33,27.98,27.58,27.14,26.68,26.23,25.79,25.36
"AL",26.53,25.75,25.01,24.29,23.57,22.83,22.08,21.33
"AM",21.9,21.42,21.06,20.82,20.65,20.51,20.41,20.34
"AO",47.78,47.82,47.85,47.87,47.86,47.81,47.71,47.58
"AR",26.32,26.01,25.7,25.41,25.13,24.88,24.64,24.42
"AZ",26.01,25.13,24.34,23.67,23.11,22.69,22.41,22.25
"BA",18.9,18.65,18.4,18.13,17.8,17.4,16.9,16.35
"BD",34.3,33.78,33.25,32.73,32.2,31.66,31.12,30.57
"BF",46.5,46.42,46.34,46.25,46.13,46,45.84,45.66
"BI",45.42,44.89,44.46,44.16,43.98,43.93,44.01,44.2
"BJ",44.52,44.31,44.09,43.87,43.65,43.42,43.19,42.95
"BO",38.32,37.9,37.44,36.97,36.49,36.04,35.63,35.23
"BR",27.57,27.17,26.77,26.36,25.93,25.49,25.04,24.57
"BT",33.99,32.94,32.02,31.2,30.45,29.76,29.12,28.53
"BW",35.75,35.38,35.06,34.78,34.51,34.25,34,33.75
"BY",15.54,15.19,14.96,14.84,14.81,14.85,14.95,15.1
"BZ",37.91,37.44,36.96,36.47,35.97,35.45,34.93,34.4
"CD",46.23,46.11,45.97,45.81,45.64,45.46,45.29,45.11
"CF",41.86,41.68,41.45,41.2,40.93,40.65,40.36,40.07
"CG",42.21,42.23,42.22,42.2,42.2,42.23,42.29,42.37
"CI",42.32,42.28,42.21,42.09,41.96,41.81,41.65,41.48
"CL",24.89,24.29,23.7,23.13,22.61,22.14,21.73,21.38
"CM",44.31,44.13,43.94,43.76,43.58,43.41,43.24,43.08
"CN",20.51,19.76,19.17,18.71,18.38,18.14,18.01,17.98
"CO",30.78,30.36,29.95,29.54,29.15,28.76,28.39,28.03
"CR",27.91,27.25,26.62,26.02,25.45,24.92,24.41,23.94
"CU",19.45,19,18.56,18.13,17.71,17.31,16.93,16.58
"DJ",37.26,36.47,35.74,35.09,34.55,34.14,33.87,33.72
"DM",,,,,,,,
"DO",33.06,32.68,32.29,31.9,31.53,31.17,30.84,30.53
"DZ",28.88,28.21,27.7,27.35,27.16,27.12,27.21,27.42
"EC",32.65,32.3,31.96,31.62,31.29,30.95,30.62,30.29
"EG",32.51,32.18,31.94,31.77,31.64,31.51,31.38,31.25
"ER",43.52,43.22,43.06,43.01,43.01,43.02,43.06,43.1
"ET",46.21,45.98,45.69,45.33,44.91,44.43,43.89,43.29
"FJ",30.62,30.03,29.62,29.36,29.17,29.04,28.94,28.88
"FM",38.8,38.49,38.16,37.79,37.37,36.9,36.38,35.81
"GA",39.51,39.3,39.1,38.91,38.75,38.63,38.55,38.49
"GD",30.04,29.31,28.71,28.24,27.85,27.51,27.21,26.96
"GE",18.35,17.88,17.55,17.36,17.28,17.3,17.41,17.62
"GH",40.19,39.93,39.67,39.41,39.17,38.96,38.77,38.59
"GM",45.99,46.01,46.02,46.01,46,45.97,45.94,45.9
"GN",43.62,43.49,43.34,43.19,43.02,42.84,42.65,42.46
"GQ",40.6,40.27,39.98,39.74,39.52,39.32,39.13,38.95
"GT",43.16,42.88,42.57,42.23,41.88,41.52,41.16,40.8
"GW",42.87,42.69,42.5,42.29,42.09,41.9,41.72,41.55
"GY",36.59,36.91,37.24,37.51,37.64,37.56,37.26,36.77
"HN",39.81,39.22,38.6,37.98,37.38,36.8,36.24,35.72
"HT",38.07,37.67,37.29,36.91,36.54,36.15,35.76,35.35
"ID",30,30,30.02,30.02,29.97,29.83,29.59,29.27
"IN",32.22,31.81,31.39,30.97,30.57,30.17,29.8,29.43
"IQ",41.94,41.84,41.75,41.64,41.47,41.23,40.9,40.51
"IR",25.82,24.85,24.23,23.88,23.7,23.62,23.61,23.68
"JM",31.12,30.77,30.41,30.01,29.56,29.04,28.44,27.78
"JO",37.9,37.37,36.79,36.19,35.61,35.09,34.59,34.13
"KE",42.77,42.68,42.64,42.63,42.61,42.57,42.48,42.37
"KG",31.27,30.78,30.43,30.2,30.08,30.05,30.09,30.21
"KH",36.07,35.1,34.13,33.21,32.43,31.84,31.45,31.23
"KI",37.06,36.38,35.68,34.96,34.26,33.59,32.96,32.36
"KM",41.53,41.67,41.84,42,42.13,42.2,42.21,42.17
"KN",,,,,,,,
"KP",24.72,24.34,23.93,23.49,23.06,22.67,22.31,21.98
"KZ",24.68,24.47,24.43,24.52,24.69,24.91,25.17,25.46
"LA",40.38,39.63,38.87,38.13,37.42,36.77,36.16,35.61
"LB",27.91,27.35,26.62,25.73,24.74,23.71,22.66,21.64
"LC",28.46,27.73,27.04,26.4,25.8,25.25,24.76,24.31
"LK",25.42,25.29,25.21,25.15,25.13,25.12,25.13,25.15
"LR",43.32,43.37,43.42,43.44,43.42,43.35,43.23,43.06
"LS",39.68,39.3,38.91,38.5,38.07,37.64,37.2,36.75
"LY",30.63,30.27,29.97,29.72,29.55,29.45,29.42,29.45
"MA",30.79,30.15,29.53,28.95,28.47,28.12,27.92,27.85
"MD",18.97,18.24,17.66,17.21,16.89,16.67,16.54,16.52
"ME",20.13,19.99,19.87,19.76,19.63,19.47,19.26,19.01
"MG",44.82,44.58,44.32,44.04,43.73,43.41,43.07,42.72
"MH",,,,,,,,
"ML",46.29,46.36,46.44,46.54,46.66,46.8,46.96,47.14
"MM",28.09,27.66,27.24,26.85,26.46,26.07,25.68,25.28
"MN",28.93,28.18,27.64,27.27,27.06,26.95,26.95,27.05
"MU",24.15,23.63,23.03,22.38,21.74,21.16,20.64,20.17
"MV",34.33,33.2,32.2,31.34,30.61,29.97,29.45,29.03
"MW",46.12,46.11,46.08,46.03,45.94,45.81,45.65,45.44
"MX",32.28,31.87,31.44,31,30.53,30.04,29.54,29.01
"MY",30.24,29.69,29.17,28.68,28.19,27.68,27.17,26.65
"MZ",44.78,44.95,45.09,45.2,45.29,45.34,45.38,45.38
"NA",39.81,39.51,39.13,38.68,38.19,37.68,37.14,36.59
"NE",49.01,49.21,49.39,49.56,49.71,49.83,49.92,49.99
"NG",43.56,43.64,43.72,43.82,43.92,44.02,44.12,44.22
"NI",37.78,37.11,36.44,35.77,35.13,34.51,33.92,33.37
"NP",39.45,39.13,38.74,38.28,37.74,37.11,36.38,35.58
"PA",30.73,30.46,30.19,29.92,29.63,29.32,28.99,28.65
"PE",32.01,31.61,31.2,30.8,30.4,29.99,29.59,29.18
"PG",39.96,39.85,39.72,39.54,39.32,39.06,38.74,38.37
"PH",37.07,36.74,36.39,36.03,35.66,35.28,34.91,34.53
"PK",38.16,37.57,37.02,36.49,35.97,35.44,34.88,34.32
"PS",45.82,45.17,44.42,43.62,42.83,42.07,41.36,40.7
"PW",,,,,,,,
"PY",35.82,35.35,34.87,34.41,33.96,33.54,33.15,32.78
"RS",18.14,17.82,17.55,17.31,17.09,16.87,16.66,16.45
"RW",44.24,44.24,44.45,44.72,44.84,44.69,44.24,43.56
"SB",41.31,41.21,41.12,41.02,40.9,40.75,40.58,40.37
"SC",24.34,23.76,23.26,22.85,22.54,22.31,22.18,22.15
"SD",43.21,43.03,42.81,42.58,42.32,42.05,41.77,41.48
"SL",42.67,42.61,42.53,42.44,42.31,42.16,41.96,41.74
"SN",44.09,43.96,43.85,43.76,43.69,43.64,43.59,43.54
"SO",47.72,47.77,47.81,47.82,47.78,47.69,47.54,47.35
"SR",29.88,29.7,29.49,29.25,28.97,28.64,28.26,27.83
"SS",44.04,43.83,43.6,43.36,43.1,42.84,42.56,42.28
"ST",42,41.82,41.7,41.63,41.59,41.58,41.59,41.6
"SV",35.67,35,34.29,33.57,32.83,32.09,31.35,30.62
"SY",38.63,38,37.33,36.68,36.14,35.73,35.49,35.35
"SZ",41.83,41.2,40.56,39.93,39.35,38.84,38.41,38.05
"TD",49.24,49.21,49.16,49.07,48.97,48.84,48.69,48.52
"TG",42.85,42.65,42.47,42.31,42.18,42.07,41.97,41.89
"TH",22.34,21.81,21.19,20.53,19.89,19.33,18.86,18.47
"TJ",38.35,37.62,37.01,36.52,36.16,35.91,35.78,35.75
"TL",47.98,47.76,47.69,47.68,47.58,47.33,46.89,46.33
"TM",32.68,31.9,31.12,30.38,29.74,29.23,28.88,28.65
"TN",25.78,25.15,24.6,24.14,23.77,23.49,23.32,23.22
"TO",38.09,38,37.87,37.72,37.59,37.47,37.39,37.32
"TR",28.5,28.12,27.76,27.4,27.05,26.7,26.35,26
"TV",,,,,,,,
"TZ",44.63,44.66,44.71,44.76,44.81,44.84,44.85,44.85
"UA",14.67,14.32,14.08,13.93,13.87,13.9,14,14.18
"UG",49.35,49.3,49.22,49.12,49,48.86,48.71,48.54
"UY",23.77,23.54,23.29,23.02,22.76,22.51,22.27,22.05
"UZ",33.24,32.44,31.68,30.97,30.33,29.77,29.3,28.9
"VC",28.52,28.05,27.64,27.26,26.89,26.51,26.11,25.7
"VE",31.32,30.91,30.52,30.16,29.81,29.47,29.15,28.84
"VN",27.12,26.26,25.43,24.67,24.01,23.49,23.12,22.87
"VU",39.66,39.36,39.09,38.83,38.54,38.2,37.81,37.37
"WS",39.57,39.29,39.02,38.76,38.51,38.28,38.07,37.88
"XK",,,,,,27.48,,
"YE",45.67,44.94,44.18,43.4,42.65,41.95,41.31,40.72
"ZA",30.83,30.52,30.26,30.04,29.86,29.71,29.6,29.53
"ZM",46.72,46.84,46.92,46.96,46.95,46.91,46.84,46.73
"ZW",41.48,41.5,41.55,41.57,41.48,41.23,40.81,40.24
