Year,Country,district,finance_source,Unit_measure,"ug_dist_ed_budget_$perchild
",,District_name
2014,UG,47,G,$Spend per child,51.89627663,,Abim
2014,UG,37,G,$Spend per child,9.170007714,,Adjumani
2014,UG,45,G,$Spend per child,14.17113546,,Agago
2014,UG,86,G,$Spend per child,22.51903581,,Alebtong
2014,UG,106,G,$Spend per child,19.87560138,,Amolatar
2014,UG,70,G,$Spend per child,6.229847412,,Amudat
2014,UG,28,G,$Spend per child,13.27781468,,Amuria
2014,UG,48,G,$Spend per child,20.50333399,,Amuru
2014,UG,107,G,$Spend per child,22.97743986,,Apac
2014,UG,38,G,$Spend per child,23.99860461,,Arua
2014,UG,29,G,$Spend per child,28.35695648,,Budaka
2014,UG,30,G,$Spend per child,24.74572136,,Bududa
2014,UG,16,G,$Spend per child,17.52297352,,Bugiri
2014,UG,76,G,$Spend per child,24.8568586,,Buhweju
2014,UG,83,G,$Spend per child,19.39283213,,Buikwe
2014,UG,31,G,$Spend per child,30.62118645,,Bukedea
2014,UG,82,G,$Spend per child,29.6217455,,Bukomansimbi
2014,UG,32,G,$Spend per child,36.88435975,,Bukwa
2014,UG,97,G,$Spend per child,26.97628929,,Bulambuli
2014,UG,108,G,$Spend per child,27.24043504,,Buliisa
2014,UG,54,G,$Spend per child,20.21648722,,Bundibugyo
2014,UG,75,G,$Spend per child,26.42695238,,Bushenyi
2014,UG,17,G,$Spend per child,23.64305225,,Busia
2014,UG,33,G,$Spend per child,27.84476709,,Butaleja
2014,UG,92,G,$Spend per child,52.01608341,,Butambala
2014,UG,101,G,$Spend per child,11.05743014,,Buvuma
2014,UG,96,G,$Spend per child,19.09094944,,Buyende
2014,UG,49,G,$Spend per child,23.10800899,,Dokolo
2014,UG,104,G,$Spend per child,31.96173945,,Gomba
2014,UG,39,G,$Spend per child,24.61643992,,Gulu
2014,UG,55,G,$Spend per child,12.2542198,,Hoima
2014,UG,67,G,$Spend per child,25.60576454,,Ibanda
2014,UG,18,G,$Spend per child,27.59284463,,Iganga
2014,UG,68,G,$Spend per child,18.7888111,,Isingiro
2014,UG,19,G,$Spend per child,21.32508772,,Jinja
2014,UG,50,G,$Spend per child,12.27908791,,Kaabong
2014,UG,56,G,$Spend per child,35.60033334,,Kabale
2014,UG,57,G,$Spend per child,21.18637194,,Kabarole
2014,UG,26,G,$Spend per child,22.60014151,,Kaberamaido
2014,UG,1,G,$Spend per child,32.63039216,,Kalangala 
2014,UG,34,G,$Spend per child,28.70647759,,Kaliro
2014,UG,80,G,$Spend per child,35.8375823,,Kalungu
2014,UG,2,G,$Spend per child,0,,Kampala
2014,UG,95,G,$Spend per child,23.64422529,,Kamuli
2014,UG,64,G,$Spend per child,21.56440379,,Kamwenge
2014,UG,65,G,$Spend per child,29.57656799,,Kanungu
2014,UG,112,G,$Spend per child,35.23288994,,Kapchorwa
2014,UG,58,G,$Spend per child,19.62735382,,Kasese
2014,UG,20,G,$Spend per child,23.44335292,,Katakwi
2014,UG,11,G,$Spend per child,23.78449517,,Kayunga
2014,UG,59,G,$Spend per child,15.09420223,,Kibaale
2014,UG,3,G,$Spend per child,24.94314876,,Kiboga
2014,UG,90,G,$Spend per child,24.5016422,,Kibuku
2014,UG,69,G,$Spend per child,15.71443312,,Kiruhura
2014,UG,110,G,$Spend per child,12.3752833,,Kiryandongo
2014,UG,60,G,$Spend per child,27.88776388,,Kisoro
2014,UG,40,G,$Spend per child,29.17410186,,Kitgum
2014,UG,51,G,$Spend per child,17.95601296,,Koboko
2014,UG,88,G,$Spend per child,23.02210458,,Kole
2014,UG,41,G,$Spend per child,8.097695575,,Kotido
2014,UG,21,G,$Spend per child,20.2042438,,Kumi
2014,UG,98,G,$Spend per child,21.74995242,,Kween
2014,UG,91,G,$Spend per child,22.90122834,,Kyankwanzi
2014,UG,66,G,$Spend per child,19.34663889,,Kyegegwa
2014,UG,84,G,$Spend per child,16.38457163,,Kyenjojo
2014,UG,71,G,$Spend per child,19.5393483,,Lamwo
2014,UG,87,G,$Spend per child,22.16266186,,Lira
2014,UG,81,G,$Spend per child,23.76551456,,Luuka
2014,UG,4,G,$Spend per child,32.8671297,,Luweero
2014,UG,102,G,$Spend per child,27.37335212,,Lwengo
2014,UG,13,G,$Spend per child,26.69465546,,Lyantonde
2014,UG,35,G,$Spend per child,27.29440848,,Manafwa
2014,UG,52,G,$Spend per child,25.23354627,,Maracha
2014,UG,5,G,$Spend per child,20.47772295,,Masaka 
2014,UG,109,G,$Spend per child,10.57738116,,Masindi
2014,UG,27,G,$Spend per child,18.34234428,,Mayuge
2014,UG,22,G,$Spend per child,25.6059087,,Mbale
2014,UG,61,G,$Spend per child,27.17451229,,Mbarara
2014,UG,78,G,$Spend per child,31.40098061,,Mitooma
2014,UG,14,G,$Spend per child,25.81839133,,Mityana
2014,UG,73,G,$Spend per child,17.24954792,,Moroto
2014,UG,42,G,$Spend per child,9.707981449,,Moyo
2014,UG,103,G,$Spend per child,28.27008093,,Mpigi
2014,UG,6,G,$Spend per child,16.22119653,,Mubende
2014,UG,7,G,$Spend per child,20.11713594,,Mukono
2014,UG,44,G,$Spend per child,20.87134444,,Nakapiripirit
2014,UG,15,G,$Spend per child,29.39388705,,Nakaseke
2014,UG,8,G,$Spend per child,30.26599426,,Nakasongola
2014,UG,100,G,$Spend per child,15.51302447,,Namayingo
2014,UG,36,G,$Spend per child,26.61701588,,Namutumba
2014,UG,85,G,$Spend per child,9.10286424,,Napak
2014,UG,43,G,$Spend per child,23.06686603,,Nebbi
2014,UG,94,G,$Spend per child,29.11653677,,Ngora
2014,UG,99,G,$Spend per child,19.82989329,,Ntoroko
2014,UG,62,G,$Spend per child,25.89139334,,Ntungamo
2014,UG,72,G,$Spend per child,55.67003581,,Nwoya
2014,UG,105,G,$Spend per child,32.89426057,,Otuke
2014,UG,53,G,$Spend per child,23.20916018,,Oyam
2014,UG,74,G,$Spend per child,22.65185205,,Pader 
2014,UG,23,G,$Spend per child,22.52984627,,Pallisa
2014,UG,9,G,$Spend per child,28.63820958,,Rakai
2014,UG,77,G,$Spend per child,21.3256301,,Rubirizi
2014,UG,63,G,$Spend per child,28.94496244,,Rukungiri
2014,UG,10,G,$Spend per child,33.20739103,,Sembabule
2014,UG,93,G,$Spend per child,17.79552018,,Serere
2014,UG,79,G,$Spend per child,37.89015986,,Sheema
2014,UG,111,G,$Spend per child,29.26559418,,Sironko
2014,UG,24,G,$Spend per child,19.51130829,,Soroti
2014,UG,25,G,$Spend per child,24.90645187,,Tororo
2014,UG,12,G,$Spend per child,14.51744889,,Wakiso
2014,UG,46,G,$Spend per child,11.79195009,,Yumbe
2014,UG,89,G,$Spend per child,20.07981436,,Zombo
2014,UG,#N/A,G,$Spend per child,40.1629856,,Arua Municipal Council
2014,UG,#N/A,G,$Spend per child,27.0266105,,Entebbe Municipal Council
2014,UG,#N/A,G,$Spend per child,54.88697569,,Fort-Portal Municipal Council
2014,UG,#N/A,G,$Spend per child,27.27442784,,Gulu Municipal Council
2014,UG,#N/A,G,$Spend per child,39.22275604,,Jinja Municipal Council
2014,UG,#N/A,G,$Spend per child,77.43957691,,Kabale Municipal Council
2014,UG,#N/A,G,$Spend per child,25.73922708,,Lira Municipal Council
2014,UG,#N/A,G,$Spend per child,34.41439246,,Masaka Municipal Council
2014,UG,#N/A,G,$Spend per child,36.23785117,,Mbale Municipal Council
2014,UG,#N/A,G,$Spend per child,48.01607549,,Mbarara Municipal Council
2014,UG,#N/A,G,$Spend per child,60.06500384,,Moroto Municipal Council
2014,UG,#N/A,G,$Spend per child,42.03691031,,Soroti Municipal Council
2014,UG,#N/A,G,$Spend per child,47.81895075,,Tororo Municipal Council
2014,UG,#N/A,G,$Spend per child,20.78813704,,Kasese Municipal Council
2014,UG,#N/A,G,$Spend per child,30.69171009,,Hoima Municipal Council
2014,UG,#N/A,G,$Spend per child,27.25803048,,Mukono Municipal Council
2014,UG,#N/A,G,$Spend per child,33.62038332,,Iganga Municipal Council
2014,UG,#N/A,G,$Spend per child,26.94686674,,Masindi Municipal Council
2014,UG,#N/A,G,$Spend per child,38.69419226,,Ntungamo Municipal Council
2014,UG,#N/A,G,$Spend per child,29.11087058,,Busia Municipal Council
2014,UG,#N/A,G,$Spend per child,49.71206432,,Bushenyi - Ishaka Municipal Council
2014,UG,#N/A,G,$Spend per child,59.974434,,Rukungiri Municipal Council
2014,UG,47,E,$Spend per child,6.522456153,,Abim
2014,UG,37,E,$Spend per child,0.189887207,,Adjumani
2014,UG,45,E,$Spend per child,0.158598263,,Agago
2014,UG,86,E,$Spend per child,0,,Alebtong
2014,UG,106,E,$Spend per child,0,,Amolatar
2014,UG,70,E,$Spend per child,0.815372667,,Amudat
2014,UG,28,E,$Spend per child,0,,Amuria
2014,UG,48,E,$Spend per child,12.98678053,,Amuru
2014,UG,107,E,$Spend per child,0.192299834,,Apac
2014,UG,38,E,$Spend per child,0,,Arua
2014,UG,29,E,$Spend per child,0,,Budaka
2014,UG,30,E,$Spend per child,0,,Bududa
2014,UG,16,E,$Spend per child,0.057648582,,Bugiri
2014,UG,76,E,$Spend per child,0,,Buhweju
2014,UG,83,E,$Spend per child,0,,Buikwe
2014,UG,31,E,$Spend per child,0.110051129,,Bukedea
2014,UG,82,E,$Spend per child,0,,Bukomansimbi
2014,UG,32,E,$Spend per child,0,,Bukwa
2014,UG,97,E,$Spend per child,0,,Bulambuli
2014,UG,108,E,$Spend per child,0.602788327,,Buliisa
2014,UG,54,E,$Spend per child,0.633654765,,Bundibugyo
2014,UG,75,E,$Spend per child,0,,Bushenyi
2014,UG,17,E,$Spend per child,0,,Busia
2014,UG,33,E,$Spend per child,0,,Butaleja
2014,UG,92,E,$Spend per child,0,,Butambala
2014,UG,101,E,$Spend per child,0,,Buvuma
2014,UG,96,E,$Spend per child,0,,Buyende
2014,UG,49,E,$Spend per child,0,,Dokolo
2014,UG,104,E,$Spend per child,0.006306179,,Gomba
2014,UG,39,E,$Spend per child,7.626005092,,Gulu
2014,UG,55,E,$Spend per child,0.053128271,,Hoima
2014,UG,67,E,$Spend per child,0,,Ibanda
2014,UG,18,E,$Spend per child,0.033998416,,Iganga
2014,UG,68,E,$Spend per child,0,,Isingiro
2014,UG,19,E,$Spend per child,0,,Jinja
2014,UG,50,E,$Spend per child,0.283189038,,Kaabong
2014,UG,56,E,$Spend per child,0,,Kabale
2014,UG,57,E,$Spend per child,0.293916019,,Kabarole
2014,UG,26,E,$Spend per child,0,,Kaberamaido
2014,UG,1,E,$Spend per child,22.22555666,,Kalangala 
2014,UG,34,E,$Spend per child,0,,Kaliro
2014,UG,80,E,$Spend per child,0.054831776,,Kalungu
2014,UG,2,E,$Spend per child,0,,Kampala
2014,UG,95,E,$Spend per child,0,,Kamuli
2014,UG,64,E,$Spend per child,0,,Kamwenge
2014,UG,65,E,$Spend per child,0,,Kanungu
2014,UG,112,E,$Spend per child,0,,Kapchorwa
2014,UG,58,E,$Spend per child,0,,Kasese
2014,UG,20,E,$Spend per child,0,,Katakwi
2014,UG,11,E,$Spend per child,0,,Kayunga
2014,UG,59,E,$Spend per child,0.01823358,,Kibaale
2014,UG,3,E,$Spend per child,0,,Kiboga
2014,UG,90,E,$Spend per child,0,,Kibuku
2014,UG,69,E,$Spend per child,0,,Kiruhura
2014,UG,110,E,$Spend per child,0,,Kiryandongo
2014,UG,60,E,$Spend per child,0.024878401,,Kisoro
2014,UG,40,E,$Spend per child,2.654597513,,Kitgum
2014,UG,51,E,$Spend per child,0,,Koboko
2014,UG,88,E,$Spend per child,0,,Kole
2014,UG,41,E,$Spend per child,0.743686506,,Kotido
2014,UG,21,E,$Spend per child,0,,Kumi
2014,UG,98,E,$Spend per child,0,,Kween
2014,UG,91,E,$Spend per child,0,,Kyankwanzi
2014,UG,66,E,$Spend per child,0.886203983,,Kyegegwa
2014,UG,84,E,$Spend per child,0.253278767,,Kyenjojo
2014,UG,71,E,$Spend per child,2.949369508,,Lamwo
2014,UG,87,E,$Spend per child,0,,Lira
2014,UG,81,E,$Spend per child,0,,Luuka
2014,UG,4,E,$Spend per child,0,,Luweero
2014,UG,102,E,$Spend per child,0,,Lwengo
2014,UG,13,E,$Spend per child,0,,Lyantonde
2014,UG,35,E,$Spend per child,0,,Manafwa
2014,UG,52,E,$Spend per child,0,,Maracha
2014,UG,5,E,$Spend per child,0.605993333,,Masaka 
2014,UG,109,E,$Spend per child,0.17895876,,Masindi
