country,year,in_portfeq
BA,2000,0
BA,2001,0
BA,2002,0
BA,2003,0
BA,2004,0
BA,2005,
BA,2006,
BA,2007,
BA,2008,0
BA,2009,0
BA,2010,0
BA,2011,
BA,2012,
BB,1990,0
BB,1991,-1060000
BB,1992,0
BB,1993,1360000
BB,1994,0
BB,1995,0
BB,1996,0
BB,1997,-70000
BB,1998,-60000
BB,1999,-120000
BB,2000,0
BB,2001,0
BB,2002,0
BB,2003,-110800000
BB,2004,0
BB,2005,-4990000
BB,2006,1590000
BB,2007,50610000
BB,2008,19350000
BB,2009,-7880000
BB,2010,-3910000
BB,2011,
BB,2012,
BD,1990,350000
BD,1991,2790000
BD,1992,11540000
BD,1993,11000000
BD,1994,133970000
BD,1995,-18270000
BD,1996,-140530000
BD,1997,-11970000
BD,1998,-5220000
BD,1999,-1380000
BD,2000,1560000
BD,2001,-4740000
BD,2002,-1860000
BD,2003,2140000
BD,2004,5450000
BD,2005,25710000
BD,2006,40500000
BD,2007,189010000
BD,2008,-55200000
BD,2009,-164590000
BD,2010,-70000
BD,2011,-16530000
BD,2012,91270000
BE,1990,
BE,1991,
BE,1992,
BE,1993,
BE,1994,
BE,1995,
BE,1996,
BE,1997,
BE,1998,
BE,1999,
BE,2000,
BE,2001,
BE,2002,-780330000
BE,2003,4350600000
BE,2004,4982210000
BE,2005,6789830000
BE,2006,5276980000
BE,2007,3461120000
BE,2008,8440120000
BE,2009,-3175900000
BE,2010,-4097180000
BE,2011,-4006870000
BE,2012,4570130000
BF,1990,0
BF,1991,0
BF,1992,0
BF,1993,0
BF,1994,
BF,1995,
BF,1996,
BF,1997,
BF,1998,
BF,1999,
BF,2000,-5300000
BF,2001,1480000
BF,2002,2850000
BF,2003,3190000
BF,2004,5410000
BF,2005,-5840000
BF,2006,1880000
BF,2007,-1110000
BF,2008,-2360000
BF,2009,-20000
BF,2010,2710000
BF,2011,
BF,2012,
BG,1990,0
BG,1991,0
BG,1992,0
BG,1993,0
BG,1994,0
BG,1995,0
BG,1996,6270000
BG,1997,146600000
BG,1998,45600000
BG,1999,4470000
BG,2000,12680000
BG,2001,-21690000
BG,2002,-52380000
BG,2003,-43270000
BG,2004,35030000
BG,2005,679740000
BG,2006,207340000
BG,2007,104410000
BG,2008,-106840000
BG,2009,7780000
BG,2010,9130000
BG,2011,-40470000
BG,2012,4930000
BH,1990,0
BH,1991,0
BH,1992,0
BH,1993,0
BH,1994,0
BH,1995,0
BH,1996,0
BH,1997,0
BH,1998,0
BH,1999,0
BH,2000,0
BH,2001,2340000
BH,2002,689550000
BH,2003,413700000
BH,2004,32630000
BH,2005,2475130000
BH,2006,168970000
BH,2007,161580000
BH,2008,163490000
BH,2009,-585490000
BH,2010,1848410000
BH,2011,992700000
BH,2012,1382980000
BI,1990,0
BI,1991,0
BI,1992,0
BI,1993,0
BI,1994,0
BI,1995,0
BI,1996,0
BI,1997,0
BI,1998,0
BI,1999,0
BI,2000,0
BI,2001,0
BI,2002,0
BI,2003,0
BI,2004,0
BI,2005,0
BI,2006,0
BI,2007,0
BI,2008,0
BI,2009,0
BI,2010,0
BI,2011,
BI,2012,
BJ,1990,0
BJ,1991,110000
BJ,1992,0
BJ,1993,0
BJ,1994,0
BJ,1995,510000
BJ,1996,4180000
BJ,1997,3660000
BJ,1998,2120000
BJ,1999,3650000
BJ,2000,130000
BJ,2001,-700000
BJ,2002,2810000
BJ,2003,-560000
BJ,2004,-4020000
BJ,2005,3040000
BJ,2006,360000
BJ,2007,5610000
BJ,2008,-1770000
BJ,2009,9190000
BJ,2010,5160000
BJ,2011,1240000
BJ,2012,
BN,1990,
BN,1991,
BN,1992,
BN,1993,
BN,1994,
BN,1995,
BN,1996,
BN,1997,
BN,1998,
BN,1999,
BN,2000,
BN,2001,
BN,2002,
BN,2003,
BN,2004,
BN,2005,
BN,2006,
BN,2007,
BN,2008,
BN,2009,
BN,2010,
BN,2011,
BN,2012,
BO,1990,0
BO,1991,0
BO,1992,0
BO,1993,0
BO,1994,0
BO,1995,0
BO,1996,0
BO,1997,0
BO,1998,0
BO,1999,0
BO,2000,0
BO,2001,0
BO,2002,0
BO,2003,0
BO,2004,0
BO,2005,0
BO,2006,0
BO,2007,0
BO,2008,0
BO,2009,0
BO,2010,0
BO,2011,0
BO,2012,
BR,1990,263010000
BR,1991,1700610000
BR,1992,5209170000
BR,1993,18733260000
BR,1994,17536270000
BR,1995,4955390000
BR,1996,9669290000
BR,1997,8492170000
BR,1998,-3041160000
BR,1999,6379200000
BR,2000,7244000000
BR,2001,6887560000
BR,2002,6181350000
BR,2003,8595930000
BR,2004,5294100000
BR,2005,12740330000
BR,2006,12826980000
BR,2007,36850060000
BR,2008,-9244310000
BR,2009,46018800000
BR,2010,38069640000
BR,2011,6449930000
BR,2012,5599970000
BS,1990,
BS,1991,
BS,1992,
BS,1993,
BS,1994,
BS,1995,
BS,1996,
BS,1997,
BS,1998,
BS,1999,
BS,2000,
BS,2001,
BS,2002,
BS,2003,
BS,2004,
BS,2005,
BS,2006,
BS,2007,
BS,2008,
BS,2009,
BS,2010,
BS,2011,
BS,2012,
BT,1990,
BT,1991,
BT,1992,
BT,1993,
BT,1994,
BT,1995,
BT,1996,
BT,1997,
BT,1998,
BT,1999,
BT,2000,
BT,2001,
BT,2002,
BT,2003,
BT,2004,
BT,2005,
BT,2006,0
BT,2007,0
BT,2008,0
BT,2009,0
BT,2010,0
BT,2011,0
BT,2012,
BW,1990,0
BW,1991,0
BW,1992,0
BW,1993,0
BW,1994,0
BW,1995,6890000
BW,1996,36150000
BW,1997,14120000
BW,1998,-19440000
BW,1999,-10520000
BW,2000,-9100000
BW,2001,9830000
BW,2002,12440000
BW,2003,13480000
BW,2004,730000
BW,2005,29010000
BW,2006,40950000
BW,2007,10800000
BW,2008,-42770000
BW,2009,20920000
BW,2010,10590000
BW,2011,-15710000
BW,2012,-8560000
BY,1990,
BY,1991,
BY,1992,
BY,1993,
BY,1994,
BY,1995,
BY,1996,
BY,1997,
BY,1998,4720000
BY,1999,0
BY,2000,1390000
BY,2001,6150000
BY,2002,1530000
BY,2003,6320000
BY,2004,820000
BY,2005,830000
BY,2006,-1490000
BY,2007,4950000
BY,2008,630000
BY,2009,1340000
BY,2010,750000
BY,2011,-100000
BY,2012,-3500000
BZ,1990,0
BZ,1991,0
BZ,1992,0
BZ,1993,0
BZ,1994,0
BZ,1995,0
BZ,1996,0
BZ,1997,0
BZ,1998,
BZ,1999,0
BZ,2000,0
BZ,2001,0
BZ,2002,0
BZ,2003,0
BZ,2004,0
BZ,2005,
BZ,2006,4510000
BZ,2007,
BZ,2008,2050000
BZ,2009,
BZ,2010,
BZ,2011,
BZ,2012,
CA,1990,-2768670000
CA,1991,-1502840000
CA,1992,1515280000
CA,1993,17946280000
CA,1994,9466640000
CA,1995,-6068190000
CA,1996,11360590000
CA,1997,10559480000
CA,1998,20015830000
CA,1999,19833990000
CA,2000,47410780000
CA,2001,5443900000
CA,2002,-1836850000
CA,2003,17255030000
CA,2004,42370510000
CA,2005,10654530000
CA,2006,12196020000
CA,2007,-49510480000
CA,2008,3527570000
CA,2009,28726740000
CA,2010,19253390000
CA,2011,21449840000
CA,2012,948840000
CD,1990,0
CD,1991,0
CD,1992,0
CD,1993,0
CD,1994,0
CD,1995,0
CD,1996,0
CD,1997,0
CD,1998,0
CD,1999,0
CD,2000,0
CD,2001,0
CD,2002,0
CD,2003,
CD,2004,
CD,2005,
CD,2006,
CD,2007,
CD,2008,
CD,2009,
CD,2010,
CD,2011,
CD,2012,
CF,1990,0
CF,1991,0
CF,1992,0
CF,1993,
CF,1994,
CF,1995,
CF,1996,
CF,1997,
CF,1998,
CF,1999,
CF,2000,
CF,2001,
CF,2002,
CF,2003,
CF,2004,
CF,2005,
CF,2006,
CF,2007,
CF,2008,
CF,2009,
CF,2010,
CF,2011,
CF,2012,
CG,1990,0
CG,1991,0
CG,1992,0
CG,1993,0
CG,1994,0
CG,1995,70000
CG,1996,-10000
CG,1997,210000
CG,1998,0
CG,1999,-540000
CG,2000,-160000
CG,2001,
CG,2002,
CG,2003,
CG,2004,
CG,2005,
CG,2006,
CG,2007,
CG,2008,
CG,2009,
CG,2010,
CG,2011,
CG,2012,
CH,1990,-3003540000
CH,1991,5497330000
CH,1992,3236340000
CH,1993,14557260000
CH,1994,-2642630000
CH,1995,8439170000
CH,1996,17578070000
CH,1997,12214900000
CH,1998,15238020000
CH,1999,10154720000
CH,2000,17732590000
CH,2001,3669410000
CH,2002,10388040000
CH,2003,-6940100000
CH,2004,-4005700000
CH,2005,5674650000
CH,2006,759300000
CH,2007,909210000
CH,2008,28589700000
CH,2009,10771850000
CH,2010,-8009740000
CH,2011,7145530000
CH,2012,14553890000
CI,1990,0
CI,1991,0
CI,1992,0
CI,1993,0
CI,1994,2250000
CI,1995,2000000
CI,1996,16540000
CI,1997,15120000
CI,1998,14640000
CI,1999,9940000
CI,2000,2370000
CI,2001,4780000
CI,2002,6490000
CI,2003,23470000
CI,2004,-6590000
CI,2005,17960000
CI,2006,1920000
CI,2007,1800000
CI,2008,1820000
CI,2009,2290000
CI,2010,2290000
CI,2011,
CI,2012,
CL,1990,965750000
CL,1991,59210000
CL,1992,768530000
CL,1993,1852720000
CL,1994,2618540000
CL,1995,-444070000
CL,1996,1263650000
CL,1997,3032870000
CL,1998,1099280000
CL,1999,1067110000
CL,2000,-877750000
CL,2001,-504250000
CL,2002,-772870000
CL,2003,730160000
CL,2004,14330000
CL,2005,2533980000
CL,2006,-168450000
CL,2007,495830000
CL,2008,2474070000
CL,2009,430540000
CL,2010,1938980000
CL,2011,4559970000
CL,2012,5221510000
CM,1990,0
CM,1991,0
CM,1992,0
CM,1993,0
CM,1994,0
CM,1995,0
CM,1996,0
CM,1997,0
CM,1998,-10580000
CM,1999,-15060000
CM,2000,-20000
CM,2001,3950000
CM,2002,1740000
CM,2003,250000
CM,2004,-10250000
CM,2005,-5100000
CM,2006,-6430000
CM,2007,-15110000
CM,2008,-1150000
CM,2009,-270000
CM,2010,40000
CM,2011,-80000
CM,2012,-90000
CN,1990,0
CN,1991,0
CN,1992,0
CN,1993,0
CN,1994,0
CN,1995,0
CN,1996,0
CN,1997,12181550000
CN,1998,1659910000
CN,1999,1344940000
CN,2000,14887490000
CN,2001,1791550000
CN,2002,4717410000
CN,2003,15803210000
CN,2004,20886740000
CN,2005,37469660000
CN,2006,73188970000
CN,2007,27966950000
CN,2008,10857550000
CN,2009,36945570000
CN,2010,36980540000
CN,2011,5542150000
CN,2012,29902700000
CO,1990,0
CO,1991,0
CO,1992,0
CO,1993,0
CO,1994,994280000
CO,1995,318270000
CO,1996,532170000
CO,1997,557080000
CO,1998,97500000
CO,1999,-60530000
CO,2000,37760000
CO,2001,-97790000
CO,2002,40320000
CO,2003,-131540000
CO,2004,282090000
CO,2005,155990000
CO,2006,-52650000
CO,2007,1158110000
CO,2008,-111340000
CO,2009,92180000
CO,2010,1565800000
CO,2011,2076790000
CO,2012,3778320000
CR,1990,0
CR,1991,0
CR,1992,0
CR,1993,0
CR,1994,0
CR,1995,0
CR,1996,0
CR,1997,0
CR,1998,0
CR,1999,0
CR,2000,0
CR,2001,0
CR,2002,0
CR,2003,0
CR,2004,0
CR,2005,0
CR,2006,0
CR,2007,0
CR,2008,0
CR,2009,0
CR,2010,0
CR,2011,0
CR,2012,
CV,1990,0
CV,1991,0
CV,1992,0
CV,1993,0
CV,1994,0
CV,1995,0
CV,1996,0
CV,1997,0
CV,1998,0
CV,1999,4290000
CV,2000,
CV,2001,
CV,2002,
CV,2003,
CV,2004,
CV,2005,
CV,2006,340000
CV,2007,2350000
CV,2008,
CV,2009,1810000
CV,2010,
CV,2011,
CV,2012,
CY,1990,0
CY,1991,0
CY,1992,0
CY,1993,0
CY,1994,0
CY,1995,0
CY,1996,0
CY,1997,0
CY,1998,0
CY,1999,0
CY,2000,56280000
CY,2001,171040000
CY,2002,-6910000
CY,2003,-120000
CY,2004,-17770000
CY,2005,16250000
CY,2006,54040000
CY,2007,1560000
CY,2008,-65840000
CY,2009,52020000
CY,2010,442100000
CY,2011,404160000
CY,2012,741930000
CZ,1990,
CZ,1991,
CZ,1992,
CZ,1993,
CZ,1994,
CZ,1995,2733930000
CZ,1996,1237290000
CZ,1997,842900000
CZ,1998,2269000000
CZ,1999,258760000
CZ,2000,1475980000
CZ,2001,1381710000
CZ,2002,-497870000
CZ,2003,1768510000
CZ,2004,1036860000
CZ,2005,-2026070000
CZ,2006,331180000
CZ,2007,-287890000
CZ,2008,-1011760000
CZ,2009,-299370000
CZ,2010,-227600000
CZ,2011,-1560000
CZ,2012,-148160000
DE,1990,-2706680000
DE,1991,2351240000
DE,1992,-3598080000
DE,1993,9844350000
DE,1994,4905250000
DE,1995,-1637140000
DE,1996,14658380000
DE,1997,16701950000
DE,1998,74317020000
DE,1999,39134760000
DE,2000,-44368240000
DE,2001,1.2416E+11
DE,2002,20900270000
DE,2003,31496310000
DE,2004,-8852150000
DE,2005,24614590000
DE,2006,39269310000
DE,2007,76468400000
DE,2008,-64232900000
DE,2009,19959790000
DE,2010,-3119320000
DE,2011,-5617250000
DE,2012,-3745610000
DJ,1990,
DJ,1991,0
DJ,1992,0
DJ,1993,0
DJ,1994,0
DJ,1995,0
DJ,1996,0
DJ,1997,0
DJ,1998,0
DJ,1999,0
DJ,2000,0
DJ,2001,0
DJ,2002,0
DJ,2003,0
DJ,2004,0
DJ,2005,0
DJ,2006,0
DJ,2007,0
DJ,2008,0
DJ,2009,0
DJ,2010,0
DJ,2011,0
DJ,2012,
DK,1990,0
DK,1991,0
DK,1992,0
DK,1993,0
DK,1994,
DK,1995,
DK,1996,
DK,1997,
DK,1998,
DK,1999,-29340000
DK,2000,4319050000
DK,2001,1593750000
DK,2002,1013250000
DK,2003,1954630000
DK,2004,1955460000
DK,2005,-3662990000
DK,2006,-6451370000
DK,2007,2761830000
DK,2008,2688910000
DK,2009,7162350000
DK,2010,8765090000
DK,2011,-2129930000
DK,2012,4784000000
DM,1990,-580000
DM,1991,
DM,1992,
DM,1993,
DM,1994,
DM,1995,
DM,1996,
DM,1997,
DM,1998,
DM,1999,
DM,2000,
DM,2001,
DM,2002,
DM,2003,
DM,2004,
DM,2005,
DM,2006,
DM,2007,
DM,2008,
DM,2009,
DM,2010,
DM,2011,
DM,2012,
DO,1990,0
DO,1991,0
DO,1992,0
DO,1993,
DO,1994,
DO,1995,
DO,1996,
DO,1997,
DO,1998,
DO,1999,
DO,2000,
DO,2001,0
DO,2002,0
DO,2003,0
DO,2004,0
DO,2005,0
DO,2006,0
DO,2007,0
DO,2008,0
DO,2009,0
DO,2010,0
DO,2011,0
DO,2012,
DZ,1990,0
DZ,1991,0
DZ,1992,
DZ,1993,
DZ,1994,
DZ,1995,
DZ,1996,
DZ,1997,
DZ,1998,
DZ,1999,
DZ,2000,
DZ,2001,
DZ,2002,
DZ,2003,
DZ,2004,
DZ,2005,0
DZ,2006,0
DZ,2007,0
DZ,2008,0
DZ,2009,0
DZ,2010,0
DZ,2011,0
DZ,2012,
EC,1990,0
EC,1991,0
EC,1992,0
EC,1993,3360000
EC,1994,14420000
EC,1995,26440000
EC,1996,12010000
EC,1997,41580000
EC,1998,9880000
EC,1999,1890000
EC,2000,340000
EC,2001,2020000
EC,2002,2550000
EC,2003,16220000
EC,2004,2420000
EC,2005,2460000
EC,2006,110000
EC,2007,660000
EC,2008,1630000
EC,2009,2910000
EC,2010,450000
EC,2011,2050000
EC,2012,4620000
EE,1990,
EE,1991,
EE,1992,
EE,1993,570000
EE,1994,34060000
EE,1995,26310000
EE,1996,388050000
EE,1997,300740000
EE,1998,58350000
EE,1999,520970000
EE,2000,-69620000
EE,2001,75520000
EE,2002,114500000
EE,2003,190580000
EE,2004,264310000
EE,2005,-1925250000
EE,2006,397270000
EE,2007,305950000
EE,2008,-281760000
EE,2009,-130880000
EE,2010,40790000
EE,2011,-108090000
EE,2012,-150930000
EG,1990,0
EG,1991,0
EG,1992,0
EG,1993,0
EG,1994,0
EG,1995,0
EG,1996,0
EG,1997,878900000
EG,1998,-262900000
EG,1999,1076280000
EG,2000,420820000
EG,2001,65020000
EG,2002,-420650000
EG,2003,78060000
EG,2004,59230000
EG,2005,1522240000
EG,2006,933040000
EG,2007,-5245990000
EG,2008,-949870000
EG,2009,499590000
EG,2010,1987200000
EG,2011,-774700000
EG,2012,-983400000
ER,1990,
ER,1991,
ER,1992,
ER,1993,
ER,1994,
ER,1995,
ER,1996,
ER,1997,
ER,1998,
ER,1999,
ER,2000,
ER,2001,
ER,2002,
ER,2003,
ER,2004,
ER,2005,
ER,2006,
ER,2007,
ER,2008,
ER,2009,
ER,2010,
ER,2011,
ER,2012,
ES,1990,6894510000
ES,1991,4228210000
ES,1992,5138050000
ES,1993,11049850000
ES,1994,1958670000
ES,1995,6345310000
ES,1996,216780000
ES,1997,-487870000
ES,1998,16731440000
ES,1999,15816660000
ES,2000,37236770000
ES,2001,14862300000
ES,2002,4779390000
ES,2003,-4970030000
ES,2004,12996600000
ES,2005,-10917110000
ES,2006,-26029750000
ES,2007,15014110000
ES,2008,-2221410000
ES,2009,8368640000
ES,2010,-4583710000
ES,2011,3364440000
ES,2012,9819140000
ET,1990,0
ET,1991,0
ET,1992,0
ET,1993,0
ET,1994,0
ET,1995,
ET,1996,
ET,1997,
ET,1998,
ET,1999,
ET,2000,
ET,2001,
ET,2002,
ET,2003,0
ET,2004,0
ET,2005,0
ET,2006,0
ET,2007,0
ET,2008,0
ET,2009,0
ET,2010,0
ET,2011,
ET,2012,
FI,1990,115160000
FI,1991,24740000
FI,1992,122620000
FI,1993,3814990000
FI,1994,3929290000
FI,1995,2508270000
FI,1996,2500340000
FI,1997,5818800000
FI,1998,11428940000
FI,1999,15322730000
FI,2000,16987520000
FI,2001,6643820000
FI,2002,3978390000
FI,2003,-789110000
FI,2004,123000000
FI,2005,5940480000
FI,2006,6274460000
FI,2007,5495260000
FI,2008,-1710440000
FI,2009,-589320000
FI,2010,-1292510000
FI,2011,-837970000
FI,2012,3096980000
FJ,1990,0
FJ,1991,0
FJ,1992,0
FJ,1993,0
FJ,1994,0
FJ,1995,0
FJ,1996,0
FJ,1997,0
FJ,1998,0
FJ,1999,0
FJ,2000,0
FJ,2001,0
FJ,2002,2950000
FJ,2003,380000
FJ,2004,-430000
FJ,2005,2040000
FJ,2006,-1960000
FJ,2007,5200000
FJ,2008,1490000
FJ,2009,-1340000
FJ,2010,120000
FJ,2011,-60000
FJ,2012,
FM,1990,
FM,1991,
FM,1992,
FM,1993,
FM,1994,
FM,1995,
FM,1996,
FM,1997,
FM,1998,
FM,1999,
FM,2000,
FM,2001,
FM,2002,
FM,2003,
FM,2004,
FM,2005,
FM,2006,
FM,2007,
FM,2008,
FM,2009,
FM,2010,
FM,2011,
FM,2012,
FR,1990,8940140000
FR,1991,11719330000
FR,1992,7613180000
FR,1993,20101280000
FR,1994,7545120000
FR,1995,8696610000
FR,1996,15716390000
FR,1997,17424040000
FR,1998,25066290000
FR,1999,74911430000
FR,2000,86301520000
FR,2001,23778200000
FR,2002,-7075790000
FR,2003,27425830000
FR,2004,37638810000
FR,2005,74544910000
FR,2006,1.05946E+11
FR,2007,-10442330000
FR,2008,-16867100000
FR,2009,64189940000
FR,2010,-5013340000
FR,2011,6445450000
FR,2012,36077270000
GA,1990,0
GA,1991,0
GA,1992,0
GA,1993,0
GA,1994,
GA,1995,
GA,1996,
GA,1997,
GA,1998,
GA,1999,
GA,2000,
GA,2001,
GA,2002,
GA,2003,
GA,2004,
GA,2005,
GA,2006,
GA,2007,
GA,2008,
GA,2009,
GA,2010,
GA,2011,
GA,2012,
GB,1990,5190330000
GB,1991,6666320000
GB,1992,25422670000
GB,1993,41714250000
GB,1994,11383560000
GB,1995,11837160000
GB,1996,13563530000
GB,1997,10601890000
GB,1998,82789910000
GB,1999,1.35762E+11
GB,2000,2.67049E+11
GB,2001,32297550000
GB,2002,3108760000
GB,2003,39319900000
GB,2004,3772640000
GB,2005,12923030000
GB,2006,-18281310000
GB,2007,30868230000
GB,2008,68088390000
GB,2009,85784390000
GB,2010,-12260650000
GB,2011,-16977940000
GB,2012,-27555400000
GD,1990,40000
GD,1991,
GD,1992,
GD,1993,
GD,1994,
GD,1995,
GD,1996,
GD,1997,
GD,1998,
GD,1999,
GD,2000,
GD,2001,
GD,2002,
GD,2003,
GD,2004,
GD,2005,
GD,2006,
GD,2007,
GD,2008,
GD,2009,
GD,2010,
GD,2011,
GD,2012,
GE,1990,
GE,1991,
GE,1992,
GE,1993,
GE,1994,
GE,1995,
GE,1996,
GE,1997,4730000
GE,1998,0
GE,1999,16510000
GE,2000,0
GE,2001,0
GE,2002,0
GE,2003,0
GE,2004,0
GE,2005,4220000
GE,2006,218040000
GE,2007,44120000
GE,2008,122100000
GE,2009,14210000
GE,2010,-26340000
GE,2011,-7430000
GE,2012,73580000
GH,1990,0
GH,1991,0
GH,1992,0
GH,1993,0
GH,1994,0
GH,1995,0
GH,1996,0
GH,1997,0
GH,1998,0
GH,1999,0
GH,2000,0
GH,2001,0
GH,2002,0
GH,2003,0
GH,2004,0
GH,2005,
GH,2006,
GH,2007,
GH,2008,
GH,2009,625030000
GH,2010,18360000
GH,2011,740000
GH,2012,
GM,1990,0
GM,1991,0
GM,1992,0
GM,1993,0
GM,1994,0
GM,1995,
GM,1996,
GM,1997,
GM,1998,
GM,1999,
GM,2000,
GM,2001,
GM,2002,
GM,2003,
GM,2004,
GM,2005,
GM,2006,
GM,2007,0
GM,2008,0
GM,2009,0
GM,2010,0
GM,2011,
GM,2012,
GN,1990,
GN,1991,
GN,1992,
GN,1993,
GN,1994,
GN,1995,
GN,1996,
GN,1997,
GN,1998,
GN,1999,0
GN,2000,0
GN,2001,0
GN,2002,0
GN,2003,0
GN,2004,0
GN,2005,0
GN,2006,0
GN,2007,0
GN,2008,0
GN,2009,0
GN,2010,0
GN,2011,
GN,2012,
GQ,1990,0
GQ,1991,0
GQ,1992,0
GQ,1993,0
GQ,1994,0
GQ,1995,0
GQ,1996,0
GQ,1997,
GQ,1998,
GQ,1999,
GQ,2000,
GQ,2001,
GQ,2002,
GQ,2003,
GQ,2004,
GQ,2005,
GQ,2006,
GQ,2007,
GQ,2008,
GQ,2009,
GQ,2010,
GQ,2011,
GQ,2012,
GR,1990,0
GR,1991,0
GR,1992,0
GR,1993,0
GR,1994,0
GR,1995,0
GR,1996,0
GR,1997,0
GR,1998,
GR,1999,-4122790000
GR,2000,3014130000
GR,2001,3400560000
GR,2002,2392970000
GR,2003,3522480000
GR,2004,5197880000
GR,2005,7478660000
GR,2006,8651270000
GR,2007,11079330000
GR,2008,-4860950000
GR,2009,714440000
GR,2010,-1419420000
GR,2011,-324520000
GR,2012,-66390000
GT,1990,0
GT,1991,0
GT,1992,0
GT,1993,0
GT,1994,0
GT,1995,
GT,1996,
GT,1997,
GT,1998,
GT,1999,
GT,2000,
GT,2001,0
GT,2002,0
GT,2003,0
GT,2004,0
GT,2005,0
GT,2006,0
GT,2007,0
GT,2008,0
GT,2009,0
GT,2010,0
GT,2011,0
GT,2012,
GW,1990,0
GW,1991,0
GW,1992,0
GW,1993,0
GW,1994,
GW,1995,
GW,1996,
GW,1997,
GW,1998,
GW,1999,
GW,2000,
GW,2001,0
GW,2002,1010000
GW,2003,470000
GW,2004,0
GW,2005,
GW,2006,
GW,2007,220000
GW,2008,
GW,2009,-190000
GW,2010,2520000
GW,2011,
GW,2012,
GY,1990,
GY,1991,
GY,1992,
