"series","country-year"
"id","domestic"
"type","multi"
"parent",
"name","Domestic finance economic"
"columns","id, year,currency,budget-type,l1,l2,l3,l4,l5,l6,value, value-ncu"
"description","Something"
"default-scale","lin"
"theme",
"theme-order",
"global-picture-color-ramp",
"uom","USD"
"uom_display","USD"
"source","Development Initiatives based on OECD-DAC data"
"calculation",
"format",
"highorlow",
"range",
"interpolated",
"missing-donor","NR"
"missing-recipient","NA"
"laymans-decription",
"laymans-heading",
