"district_id","2010","2011","2012","2013","2014","2015","2016"
"d314",27.4,31,32,37,10,12,12
"d301",8.1,6,6,6,13,7,7
"d322",7.9,9,9,11,26,11,12
"d323",7.4,7,8,10,33,6,6
"d315",17.5,13,16,19,7,12,9
"d324",3.4,1,1,1,29,,2
"d216",9.9,11,12,13,10,15,14
"d316",10.2,12,13,14,18,10,9
"d302",10.6,10,9,9,46,6,6
"d303",21,19,18,19,35,14,15
"d217",36.3,35,39,41,17,34,38
"d218",16.4,19,20,17,14,16,16
"d201",23.1,19,20,21,33,17,22
"d420",12.4,13,16,16,36,12,13
"d117",28.5,20,24,30,24,28,33
"d219",20.4,24,26,26,32,18,18
"d118",22.5,19,23,24,45,22,33
"d220",41.2,51,52,51,29,40,48
"d225",25.1,33,36,39,26,25,24
"d416",17.5,21,19,21,84,5,11
"d401",11.9,10,10,11,9,12,17
"d402",33,32,33,41,23,42,41
"d202",31.3,33,30,34,6,27,30
"d221",23.2,22,26,29,48,22,21
"d119",53.8,73,63,83,27,86,79
"d120",3.8,3,7,7,31,5,6
"d226",18.6,23,22,27,28,18,20
"d317",9.2,10,13,13,15,7,9
"d121",19.5,11,18,19,48,18,20
"d304",27.8,25,28,27,25,17,19
"d403",25.2,24,22,21,30,20,19
"d417",29.6,30,33,34,52,28,32
"d203",30.4,37,45,43,36,43,48
"d418",17.2,15,16,15,46,11,13
"d204",45.1,43,40,43,21,43,42
"d318",3.1,,2,2,37,4,5
"d404",32.2,30,30,32,29,28,31
"d405",28.7,26,31,33,37,26,31
"d213",20,20,21,22,29,13,13
"d101",8,8,9,7,21,12,11
"d222",33.4,32,36,45,27,26,33
"d122",38.5,34,38,48,47,43,44
"d102",32.4,25,27,28,36,23,41
"d205",32,33,32,32,28,28,30
"d413",15.6,16,19,19,43,14,13
"d414",23.9,26,27,30,34,28,28
"d206",39.4,48,48,52,37,40,44
"d406",22.5,21,20,22,16,24,24
"d207",13.3,16,16,14,23,10,13
"d112",34.7,34,23,34,20,25,26
"d407",18.9,18,18,18,20,18,18
"d103",23.5,18,21,25,20,27,25
"d227",25.9,27,30,34,24,28,33
"d419",16.3,16,16,13,26,13,14
"d421",15.6,18,20,20,51,20,21
"d408",18.5,21,23,22,44,11,20
"d305",23.8,26,30,28,48,34,33
"d319",16.2,15,16,16,34,18,17
"d325",12.4,13,15,17,38,14,13
"d306",3.1,3,4,6,29,8,10
"d208",18.1,21,11,15,15,14,17
"d228",30.9,32,29,38,44,34,39
"d123",10.7,12,11,13,21,13,13
"d422",13.3,15,17,18,52,11,10
"d415",13.8,14,16,17,47,16,14
"d326",9.4,8,8,7,54,10,12
"d307",18.2,16,26,30,39,16,25
"d229",20.5,26,25,36,33,32,35
"d104",47.7,36,37,47,64,42,44
"d124",16,18,20,24,29,26,21
"d114",26.1,25,26,30,41,25,23
"d223",32.6,29,31,29,1,31,33
"d320",15.5,15,14,14,2,12,12
"d105",43.4,28,41,36,6,32,42
"d409",25.1,21,22,21,8,23,21
"d214",22,20,27,27,4,9,26
"d209",47.2,49,51,57,4,44,46
"d410",35.9,32,33,33,36,26,28
"d423",23.6,29,29,33,32,39,40
"d115",30.2,36,32,33,22,22,30
"d308",7.8,7,7,7,36,9,10
"d309",8.2,7,7,6,10,18,17
"d106",42.7,40,45,37,17,38,39
"d107",18.2,19,19,20,9,20,15
"d108",49.1,48,42,37,14,25,35
"d311",4.1,4,4,4,20,3,4
"d116",28.9,29,26,27,33,23,27
"d109",37.4,38,39,41,23,28,23
"d230",11.4,12,13,14,8,16,11
"d224",24.1,25,31,34,13,34,37
"d327",3.2,1,4,4,23,5,4
"d310",12.6,14,14,16,22,14,14
"d231",26.4,29,28,34,16,32,27
"d424",7.8,9,10,5,19,15,15
"d411",23.5,23,21,28,34,24,23
"d328",34.7,37,30,34,21,9,7
"d329",21.7,16,20,20,43,15,15
"d321",8.6,7,9,8,12,4,4
"d312",8.5,10,11,9,37,12,13
"d210",24.8,26,28,30,19,25,27
"d110",22.7,23,26,27,23,27,28
"d425",21.2,21,27,32,20,15,23
"d412",30,31,33,36,18,33,34
"d111",40.1,43,20,23,16,16,22
"d232",18.2,15,19,20,11,11,16
"d426",15.7,18,34,42,6,47,45
"d215",37,40,32,25,19,24,23
"d211",26.2,27,43,40,16,30,38
"d212",34.4,37,37,36,7,29,29
"d113",40.8,34,24,39,17,23,19
"d313",10.7,7,8,8,9,8,9
"d330",10.8,8,9,11,11,9,9
