"series","country-year"
"id","gdp-usd-current"
"type","simple"
"parent",
"name","Gross domestic product (current US$)"
"columns","id, year, value"
"description","GDP (current US$)"
"default-scale","log"
"themes",
"map-theme",
"theme-order",
"global-picture-color-ramp",
"uom","USD"
"uom_display","USD"
"source","World Bank World Development Indicators"
"calculation",
"format",
"highorlow","highisbetter"
"range",
"interpolated",
"missing-donor","NA"
"missing-recipient","NA"
"laymans-decription",
"laymans-heading",
