"district_id","district_name","year","value","value_ncu"
"d314","Abim",2013,,
"d314","Abim",2014,1271589.75,2972393000
"d314","Abim",2015,1066055.23,3009708000
"d314","Abim",2016,724041.16,2679755000
"d314","Abim",2019,34397100,161168828262.66
"d301","Adjumani",2013,399239.63,891958000
"d301","Adjumani",2014,518238.21,1211403000
"d301","Adjumani",2015,898440.92,2536496000
"d301","Adjumani",2016,685334.11,2536496000
"d301","Adjumani",2017,936667.51,3761070000
"d301","Adjumani",2018,4153130,19459637461.37
"d301","Adjumani",2019,44366230,207879539366.16
"d322","Agago",2013,353555.42,789893000
"d322","Agago",2014,325983.61,7.62e+08
"d322","Agago",2015,285489.66,8.06e+08
"d322","Agago",2016,144821.47,5.36e+08
"d322","Agago",2019,45000,210849091.11
"d323","Alebtong",2013,133242.65,297683000
"d323","Alebtong",2014,211789.67,495067000
"d323","Alebtong",2015,118590.14,334806000
"d323","Alebtong",2016,84653.82,313313000
"d323","Alebtong",2017,41913.41,168298000
"d323","Alebtong",2018,15000,70283030.37
"d323","Alebtong",2019,15000,70283030.37
"d315","Amolatar",2013,,
"d315","Amolatar",2014,107845.82,252094000
"d315","Amolatar",2015,73296.46,206932000
"d315","Amolatar",2016,55910.81,206932000
"d315","Amolatar",2017,3241722.75,13016728000
"d315","Amolatar",2018,1368240,6410936898.23
"d315","Amolatar",2019,14700,68877369.76
"d324","Amudat",2013,287310.75,641893000
"d324","Amudat",2014,307635.26,719110000
"d324","Amudat",2015,168553.66,475864000
"d324","Amudat",2016,122477.9,453304000
"d324","Amudat",2017,137795.89,553302000
"d324","Amudat",2018,5393020,25269185896.4
"d324","Amudat",2019,5809670,27221414203.31
"d216","Amuria",2013,,
"d216","Amuria",2014,15868.39,37093000
"d216","Amuria",2015,,
"d216","Amuria",2016,3242.27,1.2e+07
"d216","Amuria",2017,100686.52,404294000
"d216","Amuria",2018,0,0
"d216","Amuria",2019,33200,155559773.89
"d316","Amuru",2013,3083970.99,6890029000
"d316","Amuru",2014,3492031.79,8162767000
"d316","Amuru",2015,1390392.02,3925382000
"d316","Amuru",2016,259826.2,961645000
"d316","Amuru",2017,104622.89,420100000
"d316","Amuru",2018,,
"d302","Apac",2013,,
"d302","Apac",2014,1268255.91,2964600000
"d302","Apac",2015,1124106.68,3173600000
"d302","Apac",2016,857472.8,3173600000
"d302","Apac",2017,421305.75,1691700000
"d302","Apac",2019,1617000,7576510673.89
"d303","Arua",2013,31331.94,7e+07
"d303","Arua",2014,91252.31,213306000
"d303","Arua",2015,156506.42,441852000
"d303","Arua",2016,119113.5,440852000
"d303","Arua",2017,332498.82,1335107000
"d303","Arua",2018,37351070,175009759144.13
"d303","Arua",2019,340000,1593082021.72
"d217","Budaka",2013,151533.34,338547000
"d217","Budaka",2014,140889.52,329335000
"d217","Budaka",2015,79582.9,224680000
"d217","Budaka",2016,60706.13,224680000
"d217","Budaka",2017,24242.33,97342000
"d217","Budaka",2018,943320,4419959213.91
"d217","Budaka",2019,1061160,4972102700.5
"d218","Bududa",2013,62171.52,138900000
"d218","Bududa",2014,315786.14,738163000
"d218","Bududa",2015,164195.87,463561000
"d218","Bududa",2016,105255.22,389561000
"d218","Bududa",2017,136159.68,546732000
"d218","Bududa",2018,4132540,19363162288.35
"d218","Bududa",2019,2932540,13740519858.75
"d201","Bugiri",2013,241925.54,540496000
"d201","Bugiri",2014,443256.42,1036130000
"d201","Bugiri",2015,350107.37,988430000
"d201","Bugiri",2016,267063.22,988430000
"d201","Bugiri",2017,,
"d201","Bugiri",2019,2834000,13278807204.57
"d420","Buhweju",2013,72220.12,161350000
"d420","Buhweju",2014,44039.87,102945000
"d420","Buhweju",2015,41830.26,118096000
"d420","Buhweju",2016,30341.45,112297000
"d420","Buhweju",2019,10000,46855353.58
"d117","Buikwe",2013,,
"d117","Buikwe",2014,302006.27,705952000
"d117","Buikwe",2015,256374.67,723802000
"d117","Buikwe",2016,191240.54,707802000
"d117","Buikwe",2017,2126833.22,8540030000
"d117","Buikwe",2018,171413990,803166311000.86
"d117","Buikwe",2019,1370000,6419183440.46
"d219","Bukedea",2013,230306.31,514537000
"d219","Bukedea",2014,113097.06,264369000
"d219","Bukedea",2015,172024.17,485662000
"d219","Bukedea",2016,137114.59,507476000
"d219","Bukedea",2017,73554.8,295350000
"d219","Bukedea",2019,24800,116201276.88
"d118","Bukomansimbi",2013,89519.83,2e+08
"d118","Bukomansimbi",2014,251476.25,587836000
"d118","Bukomansimbi",2015,243778.06,688239000
"d118","Bukomansimbi",2016,170219.27,6.3e+08
"d118","Bukomansimbi",2019,111700,523374299.49
"d220","Bukwo",2013,113520.09,253620000
"d220","Bukwo",2014,200895.31,469601000
"d220","Bukwo",2015,163762.32,462337000
"d220","Bukwo",2016,124918.52,462337000
"d220","Bukwo",2019,0,0
"d225","Bulambuli",2013,,
"d225","Bulambuli",2014,2452.15,5732000
"d225","Bulambuli",2015,,
"d225","Bulambuli",2016,,
"d225","Bulambuli",2017,,
"d416","Buliisa",2013,56965.49,127269000
