"district_id","2013","2014","2015","2016","2019","2017","2018"
"d314",,1271589.75,1066055.23,724041.16,34397100,,
"d301",399239.63,518238.21,898440.92,685334.11,44366230,936667.51,4153130
"d322",353555.42,325983.61,285489.66,144821.47,45000,,
"d323",133242.65,211789.67,118590.14,84653.82,15000,41913.41,15000
"d315",,107845.82,73296.46,55910.81,14700,3241722.75,1368240
"d324",287310.75,307635.26,168553.66,122477.9,5809670,137795.89,5393020
"d216",,15868.39,,3242.27,33200,100686.52,0
"d316",3083970.99,3492031.79,1390392.02,259826.2,,104622.89,
"d302",,1268255.91,1124106.68,857472.8,1617000,421305.75,
"d303",31331.94,91252.31,156506.42,119113.5,340000,332498.82,37351070
"d217",151533.34,140889.52,79582.9,60706.13,1061160,24242.33,943320
"d218",62171.52,315786.14,164195.87,105255.22,2932540,136159.68,4132540
"d201",241925.54,443256.42,350107.37,267063.22,2834000,,
"d420",72220.12,44039.87,41830.26,30341.45,10000,,
"d117",,302006.27,256374.67,191240.54,1370000,2126833.22,171413990
"d219",230306.31,113097.06,172024.17,137114.59,24800,73554.8,
"d118",89519.83,251476.25,243778.06,170219.27,111700,,
"d220",113520.09,200895.31,163762.32,124918.52,0,,
"d225",,2452.15,,,,,
"d416",56965.49,68875.8,77586.24,57955.61,9747520,76299.25,
"d401",,904597.24,276444.67,154633.67,16800,137659.67,
"d402",,144637.9,179709.72,27166.18,17630,82024,17610
"d202",48788.31,672663.32,393614.44,15030.63,13200,97719.18,4574290
"d221",209828.65,200200.99,167000.12,127388.32,57500,97719.18,82000
"d119",70119.98,37218.6,7792.52,5944.16,3500,12950.23,200
"d120",141142.33,162007.86,182447.73,179135.51,60000,130071.08,55500
"d226",,,55256.06,42149.53,,44329.62,41145.44
"d317",11189.98,278070.01,230233.6,175623.05,75200,77950.41,80200
"d121",,,102807.45,78421.91,18000,72284.18,15500
"d304",,,2143670.66,482892.61,99200,117717.56,112800
"d403",2370447.85,103630.7,85803.1,65450.93,9001190,242497.73,6601190
"d417",271009.64,336461.28,357761.76,240330.96,,246292.65,
"d203",,379115.94,359289.44,269961.54,,,
"d418",637861.88,235428.61,58149.92,16389.68,,196172.03,141540.3
"d204",,,2829981.78,237640.69,,,
"d318",,549807.72,541839.89,380634.6,,1116914.5,
"d404",172044.13,469808.69,568321.01,225086.34,,775360.73,
"d405",431848.12,540692.15,512496.44,184269.11,0,143548.04,0
"d213",,220137.33,202416.06,157375.82,,111356.01,
"d101",,2752317.24,1646965.05,1651810.47,106916090,2643714.64,97668360
"d222",127632,446513.69,280097.59,238418.02,,119918.85,111305.11
"d122",358325.48,229882.61,188378.9,149561.67,4217850,158149.92,5237310
"d205",,451354.68,422031.64,2701.89,13996680,145420.84,19016610
"d413",,900107.9,635259.83,139628.97,,65228.05,105617.79
"d414",835357.84,769689.65,304862.58,232550.32,,359357.84,209828.55
"d206",,213150.5,110256.39,60117.12,0,6210.13,0
"d406",1922125.84,850615.72,568839.21,236100.34,,53793.25,89059.99
"d207",,834116.33,501986.46,382875.55,,153110.78,
"d112",222406.64,188422.37,97555.64,222365.8,12112940,264783.33,9562940
"d407",,267562.38,230848.5,168986.66,8152220,383866.65,9292220
"d103",9483.73,22992.11,34248.84,15130.6,20000,61448.83,23700
"d227",,,,,875640,,0
"d419",178800.19,279841.1,389433.4,253248.44,80000,290303.75,110000
"d421",89419.56,,87524.19,66763.78,,40854.73,550388.86
"d408",,450722.39,406164.65,299833.67,12385020,339251.62,13622220
"d305",,1422728.07,510772.53,285773.56,,,
"d319",107423.79,102672,290626.35,198348.41,7378600,412300.86,13292180
"d325",10492.17,10028.06,27743.15,5924.98,,30365.54,5068.98
"d306",694236.1,684424.83,385956.16,218628.28,0,791617,338700
"d208",,348505.99,460273.8,201991.91,,,
"d228",21071.18,35559.59,,8105.68,0,32375.57,0
"d123",168131.66,,3039.08,,911030,,
"d422",669557.72,416844.48,326995.82,230067.01,,181664.54,167413.61
"d415",1384832.32,1662470.62,1291643.77,287761.88,8035220,184300.66,24461000
"d326",,2212710.41,1731989.61,217361.9,,,
"d307",,,468356.77,206895.57,8078590,215290.3,8078590
"d229",44759.91,42610.16,26565.41,28609.54,,297606.18,
"d104",,1410932.77,318773.29,169057.45,0,191762.98,77000
"d124",174857.29,151954.56,203884.25,132392.76,,122028.5,113263.21
"d114",126982.08,94492.47,81778.97,62381.31,,85391.8,95438.92
"d223",265241.43,170988.67,129285.02,132933.14,0,,
"d320",853377.73,1014128.58,336989.73,259758.92,2302050,121200.93,5281670
"d105",,5133.6,514831.37,374866.06,18341620,373412.82,25994340
"d409",,,1233877.81,58901.27,,70838.24,
"d214",232175.04,497162.22,413812.3,328264.07,13035170,1196526.27,13242410
"d209",113101.59,567400.99,482781.79,352248.24,,586103.62,229697.86
