"id","value.2000","original-value.2000","value.2001","original-value.2001","value.2002","original-value.2002","value.2003","original-value.2003","value.2004","original-value.2004","value.2005","original-value.2005","value.2006","original-value.2006","value.2007","original-value.2007","value.2008","original-value.2008","value.2009","original-value.2009","value.2010","original-value.2010","value.2011","original-value.2011","value.2012","original-value.2012","value.2013","original-value.2013"
"AD",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AE",,,,,,,84.12497,84.12497,86.99029,86.99029,88.34973,88.34973,86.94729,86.94729,90.47655,90.47655,88.87021,,87.26387,87.26387,87.95232,87.95232,88.78775,88.78775,91.18603,91.18603,,
"AF",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AG",,,,,,,,,,,,,,,91.82146,91.82146,91.98224,91.98224,90.97539,90.97539,88.3315,88.3315,87.14524,87.14524,85.27814,85.27814,,
"AL",93.60249,93.60249,93.49585,93.49585,92.3726,,91.24935,91.24935,,,,,,,,,,,,,,,,,,,,
"AM",,,,,84.6713,84.6713,82.79212,82.79212,81.5753,81.5753,80.08756,80.08756,81.41265,81.41265,84.11982,84.11982,,,,,,,,,,,,
"AO",,,,,,,,,,,,,,,,,85.82466,85.82466,86.22913,86.22913,85.62074,85.62074,85.66859,85.66859,,,,
"AR",,,,,,,99.44452,99.44452,99.17677,99.17677,99.11796,99.11796,,,,,,,,,,,,,,,,
"AS",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AT",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AU",94.06639,94.06639,93.9205,93.9205,94.37601,94.37601,94.25448,94.25448,94.38939,94.38939,94.51106,94.51106,94.63293,94.63293,96.12533,96.12533,96.27088,96.27088,96.48526,96.48526,96.49082,96.49082,96.39565,96.39565,96.82237,96.82237,,
"AW",98.09809,98.09809,94.52858,94.52858,95.30739,95.30739,93.9307,93.9307,94.63489,94.63489,97.80506,97.80506,98.62755,98.62755,98.87245,98.87245,99.0693,99.0693,95.86957,95.86957,98.93223,98.93223,,,,,,
"AZ",88.23962,88.23962,85.38303,85.38303,84.82565,84.82565,83.28454,83.28454,84.21228,84.21228,83.86862,83.86862,83.15377,83.15377,83.3748,83.3748,83.88997,83.88997,85.17391,85.17391,84.44645,84.44645,86.61261,86.61261,89.09406,89.09406,,
"BA",,,,,,,,,,,,,,,,,,,,,,,,,,,,
