"series","country-year"
"id","long-debt-disbursement-in"
"type","multi"
"parent",
"name","Disbursements of long-term debt from commercial creditors"
"columns","id-to, year, destination-institution-type, creditor-type, creditor-institution, financing-type, value"
"description","Disbursements on long-term debt from commercial sources"
"default-scale","lin"
"themes",
"map-theme",
"theme-order",
"global-picture-color-ramp",
"uom","constant 2012 US$"
"uom_display",
"source","World Bank International Debt Statistics"
"calculation",
"format",
"highorlow","highisbetter"
"range",
"interpolated",
"missing-donor","NR"
"missing-recipient","NA"
"laymans-decription",
"laymans-heading",
"source-link","http://data.worldbank.org/data-catalog/international-debt-statistics"
