"id-from","entity-from-name","id-to","entity-to-name","year","financing-type","value"
"AE","UAE","AF","Afghanistan",2000,,
"AT","Austria","AF","Afghanistan",2000,,0
"AU","Australia","AF","Afghanistan",2000,,0
"BE","Belgium","AF","Afghanistan",2000,,0
"BG","Bulgaria","AF","Afghanistan",2000,,
"CA","Canada","AF","Afghanistan",2000,,0
"CH","Switzerland","AF","Afghanistan",2000,,
"CL","Chile","AF","Afghanistan",2000,,0
"CY","Cyprus","AF","Afghanistan",2000,,
"CZ","Czech Republic","AF","Afghanistan",2000,,0
"DE","Germany","AF","Afghanistan",2000,,0
"DK","Denmark","AF","Afghanistan",2000,,0
"EE","Estonia","AF","Afghanistan",2000,,0
"ES","Spain","AF","Afghanistan",2000,,
"FI","Finland","AF","Afghanistan",2000,,0
"FR","France","AF","Afghanistan",2000,,0
"GB","UK","AF","Afghanistan",2000,,0
"GR","Greece","AF","Afghanistan",2000,,0
"HR","Croatia","AF","Afghanistan",2000,,
"HU","Hungary","AF","Afghanistan",2000,,0
"IE","Ireland","AF","Afghanistan",2000,,0
"IL","Israel","AF","Afghanistan",2000,,0
"IS","Iceland","AF","Afghanistan",2000,,0
"IT","Italy","AF","Afghanistan",2000,,0
"JP","Japan","AF","Afghanistan",2000,,0
"KR","South Korea","AF","Afghanistan",2000,,0
"KW","Kuwait","AF","Afghanistan",2000,,
"LI","Liechtenstein","AF","Afghanistan",2000,,
"LT","Lithuania","AF","Afghanistan",2000,,
"LU","Luxembourg","AF","Afghanistan",2000,,0
"LV","Latvia","AF","Afghanistan",2000,,
"MT","Malta","AF","Afghanistan",2000,,
"MX","Mexico","AF","Afghanistan",2000,,0
"NL","Netherlands","AF","Afghanistan",2000,,0
"NO","Norway","AF","Afghanistan",2000,,0
"NZ","New Zealand","AF","Afghanistan",2000,,0
"PL","Poland","AF","Afghanistan",2000,,0
"PT","Portugal","AF","Afghanistan",2000,,
"RO","Romania","AF","Afghanistan",2000,,
"RU","Russian Federation","AF","Afghanistan",2000,,
"SA","Saudi Arabia","AF","Afghanistan",2000,,
"SE","Sweden","AF","Afghanistan",2000,,0
"SI","Slovenia","AF","Afghanistan",2000,,
