"id","year","estimate","value"
"AL",1981,FALSE,
"AE",1981,FALSE,
"AR",1981,FALSE,
"AM",1981,FALSE,
"AG",1981,FALSE,
"AU",1981,FALSE,1.65018e+11
"AT",1981,FALSE,
"AZ",1981,FALSE,
"BI",1981,FALSE,
"BE",1981,FALSE,9.2565e+10
"BJ",1981,FALSE,
"BF",1981,FALSE,
"BD",1981,FALSE,3.69707e+11
"BG",1981,FALSE,
"BH",1981,FALSE,
"BS",1981,FALSE,
"BA",1981,FALSE,
"BY",1981,FALSE,
"BZ",1981,FALSE,3.59e+08
"BO",1981,FALSE,
"BR",1981,FALSE,
"BB",1981,FALSE,
"BN",1981,FALSE,
"BT",1981,FALSE,1.189e+09
"BW",1981,FALSE,9.02e+08
"CF",1981,FALSE,
"CA",1981,FALSE,3.67818e+11
"CH",1981,FALSE,2.02435e+11
"CL",1981,FALSE,
"CN",1981,FALSE,
"CI",1981,FALSE,
"CM",1981,FALSE,
"CD",1981,FALSE,
"CG",1981,FALSE,
"CO",1981,FALSE,2.753486e+12
"KM",1981,FALSE,
"CV",1981,FALSE,
"CR",1981,FALSE,
"CY",1981,FALSE,
"CZ",1981,FALSE,
"DE",1981,FALSE,
"DJ",1981,FALSE,
"DM",1981,FALSE,
"DK",1981,FALSE,4.30068e+11
"DO",1981,FALSE,
"DZ",1981,FALSE,
"EC",1981,FALSE,
"EG",1981,FALSE,
"ER",1981,FALSE,
"ES",1981,FALSE,1.09926e+11
"EE",1981,FALSE,
"ET",1981,FALSE,1.5397e+10
"FI",1981,FALSE,3.9013e+10
"FJ",1981,FALSE,
"FR",1981,FALSE,5.11673e+11
"FM",1981,FALSE,
"GA",1981,FALSE,
"GB",1981,FALSE,2.5644e+11
"GE",1981,FALSE,
"GH",1981,FALSE,6e+06
"GN",1981,FALSE,1.3859e+11
"GM",1981,FALSE,
"GW",1981,FALSE,
"GQ",1981,FALSE,6.782e+09
"GR",1981,FALSE,8.009e+09
"GD",1981,FALSE,2.87e+08
"GT",1981,FALSE,
"GY",1981,FALSE,
"HK",1981,FALSE,
"HN",1981,FALSE,
"HR",1981,FALSE,
"HT",1981,FALSE,
"HU",1981,FALSE,7.9572e+11
"ID",1981,FALSE,
"IO",1981,FALSE,1.695871e+12
"IE",1981,FALSE,1.5999e+10
"IR",1981,FALSE,
"IQ",1981,FALSE,
"IS",1981,FALSE,2.486e+10
"IL",1981,FALSE,2.86e+08
"IT",1981,FALSE,
"JM",1981,FALSE,
"JO",1981,FALSE,
