"id","estimate.1980","value.1980","estimate.1981","value.1981","estimate.1982","value.1982","estimate.1983","value.1983","estimate.1984","value.1984","estimate.1985","value.1985","estimate.1986","value.1986","estimate.1987","value.1987","estimate.1988","value.1988","estimate.1989","value.1989","estimate.1990","value.1990","estimate.1991","value.1991","estimate.1992","value.1992","estimate.1993","value.1993","estimate.1994","value.1994","estimate.1995","value.1995","estimate.1996","value.1996","estimate.1997","value.1997","estimate.1998","value.1998","estimate.1999","value.1999","estimate.2000","value.2000","estimate.2001","value.2001","estimate.2002","value.2002","estimate.2003","value.2003","estimate.2004","value.2004","estimate.2005","value.2005","estimate.2006","value.2006","estimate.2007","value.2007","estimate.2008","value.2008","estimate.2009","value.2009","estimate.2010","value.2010","estimate.2011","value.2011","estimate.2012","value.2012","estimate.2013","value.2013","estimate.2014","value.2014","estimate.2015","value.2015","estimate.2016","value.2016","estimate.2017","value.2017","estimate.2018","value.2018","estimate.2019","value.2019"
"AF",FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,1.78756e+11,FALSE,2.20013e+11,FALSE,2.4621e+11,FALSE,3.04926e+11,FALSE,3.45817e+11,FALSE,4.27495e+11,FALSE,5.17509e+11,FALSE,6.07227e+11,FALSE,7.11759e+11,FALSE,8.36222e+11,FALSE,1.033591e+12,FALSE,1.148113e+12,TRUE,1.248663e+12,TRUE,1.378499e+12,TRUE,1.526441e+12,TRUE,1.682614e+12,TRUE,1.85813e+12,TRUE,2.057319e+12
"AO",FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,9.1666e+10,FALSE,1.97111e+11,FALSE,5.44012e+11,FALSE,1.058585e+12,FALSE,1.640824e+12,FALSE,2.460825e+12,FALSE,3.358541e+12,FALSE,4.636801e+12,FALSE,6.316164e+12,FALSE,5.988675e+12,FALSE,7.579547e+12,FALSE,9.780098e+12,FALSE,1.1011428e+13,FALSE,1.1984016e+13,TRUE,1.2917422e+13,TRUE,1.4166724e+13,TRUE,1.5470963e+13,TRUE,1.704923e+13,TRUE,1.8898994e+13,TRUE,2.0928548e+13
"AL",FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,3.14878e+11,FALSE,3.22186e+11,FALSE,4.12326e+11,FALSE,4.74291e+11,FALSE,5.23043e+11,FALSE,5.83369e+11,FALSE,6.22711e+11,FALSE,6.94098e+11,FALSE,7.54823e+11,FALSE,8.20225e+11,FALSE,8.82209e+11,FALSE,9.6767e+11,FALSE,1.062497e+12,FALSE,1.12225e+12,FALSE,1.216594e+12,FALSE,1.279178e+12,FALSE,1.316274e+12,TRUE,1.34454e+12,TRUE,1.396117e+12,TRUE,1.476132e+12,TRUE,1.580464e+12,TRUE,1.697316e+12,TRUE,1.822943e+12,TRUE,1.961346e+12
"AE",FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,1.8021e+11,FALSE,1.82892e+11,FALSE,1.91654e+11,FALSE,1.96171e+11,FALSE,2.10901e+11,FALSE,2.33611e+11,FALSE,2.60607e+11,FALSE,2.79736e+11,FALSE,2.69539e+11,FALSE,3.04321e+11,FALSE,3.81549e+11,FALSE,3.79412e+11,FALSE,4.033e+11,FALSE,4.56662e+11,FALSE,5.42885e+11,FALSE,6.63318e+11,FALSE,8.15723e+11,FALSE,9.47197e+11,FALSE,1.158581e+12,FALSE,9.31153e+11,FALSE,1.050516e+12,FALSE,1.276025e+12,FALSE,1.367323e+12,TRUE,1.477594e+12,TRUE,1.52939e+12,TRUE,1.616565e+12,TRUE,1.696339e+12,TRUE,1.795805e+12,TRUE,1.91774e+12,TRUE,2.065925e+12
"AR",FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,2.8281e+11,FALSE,3.07844e+11,FALSE,3.08551e+11,FALSE,3.25434e+11,FALSE,3.50197e+11,FALSE,3.57479e+11,FALSE,3.39034e+11,FALSE,3.39848e+11,FALSE,3.21305e+11,FALSE,3.7378e+11,FALSE,4.49508e+11,FALSE,5.35828e+11,FALSE,6.47257e+11,FALSE,8.08593e+11,FALSE,1.027339e+12,FALSE,1.283906e+12,FALSE,1.411526e+12,FALSE,1.810282e+12,FALSE,2.303246e+12,FALSE,2.744829e+12,FALSE,3.341834e+12,TRUE,4.41331e+12,TRUE,6.046949e+12,TRUE,8.512426e+12,TRUE,1.197017e+13,TRUE,1.6865422e+13,TRUE,2.383386e+13
"AM",FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,6.61209e+11,FALSE,8.04336e+11,FALSE,9.55385e+11,FALSE,9.87444e+11,FALSE,1.031338e+12,FALSE,1.175877e+12,FALSE,1.362472e+12,FALSE,1.624643e+12,FALSE,1.907945e+12,FALSE,2.242881e+12,FALSE,2.65619e+12,FALSE,3.149283e+12,FALSE,3.568228e+12,FALSE,3.141651e+12,FALSE,3.460203e+12,FALSE,3.777946e+12,FALSE,4.000722e+12,FALSE,4.272899e+12,TRUE,4.586766e+12,TRUE,4.937195e+12,TRUE,5.324666e+12,TRUE,5.764697e+12,TRUE,6.253082e+12,TRUE,6.795849e+12
"AG",FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,1.19e+09,FALSE,1.248e+09,FALSE,1.309e+09,FALSE,1.355e+09,FALSE,1.452e+09,FALSE,1.595e+09,FALSE,1.573e+09,FALSE,1.724e+09,FALSE,1.848e+09,FALSE,1.976e+09,FALSE,2.077e+09,FALSE,2.116e+09,FALSE,2.089e+09,FALSE,2.167e+09,FALSE,2.268e+09,FALSE,2.426e+09,FALSE,2.693e+09,FALSE,3.065e+09,FALSE,3.481e+09,FALSE,3.638e+09,FALSE,3.257e+09,FALSE,3.066e+09,FALSE,3.051e+09,FALSE,3.253e+09,FALSE,3.242e+09,TRUE,3.339e+09,TRUE,3.462e+09,TRUE,3.616e+09,TRUE,3.779e+09,TRUE,3.951e+09,TRUE,4.13e+09
"AU",FALSE,1.43879e+11,FALSE,1.65018e+11,FALSE,1.84847e+11,FALSE,1.99698e+11,FALSE,2.25348e+11,FALSE,2.50634e+11,FALSE,2.71714e+11,FALSE,3.06289e+11,FALSE,3.47432e+11,FALSE,3.88965e+11,FALSE,4.13988e+11,FALSE,4.16108e+11,FALSE,4.31998e+11,FALSE,4.54815e+11,FALSE,4.82673e+11,FALSE,5.12149e+11,FALSE,5.43048e+11,FALSE,5.7351e+11,FALSE,6.04634e+11,FALSE,6.37381e+11,FALSE,6.85979e+11,FALSE,7.27866e+11,FALSE,7.79235e+11,FALSE,8.29522e+11,FALSE,8.9306e+11,FALSE,9.61586e+11,FALSE,1.037314e+12,FALSE,1.131511e+12,FALSE,1.237272e+12,FALSE,1.260113e+12,FALSE,1.358415e+12,FALSE,1.452183e+12,FALSE,1.501663e+12,FALSE,1.555021e+12,TRUE,1.608837e+12,TRUE,1.68669e+12,TRUE,1.783305e+12,TRUE,1.880632e+12,TRUE,1.983215e+12,TRUE,2.093042e+12
"AT",FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,1.18416e+11,FALSE,1.26666e+11,FALSE,1.36135e+11,FALSE,1.45949e+11,FALSE,1.54189e+11,FALSE,1.59275e+11,FALSE,1.67219e+11,FALSE,1.74794e+11,FALSE,1.8056e+11,FALSE,1.84321e+11,FALSE,1.91911e+11,FALSE,1.99266e+11,FALSE,2.08474e+11,FALSE,2.14201e+11,FALSE,2.20529e+11,FALSE,2.24996e+11,FALSE,2.34708e+11,FALSE,2.45243e+11,FALSE,2.59034e+11,FALSE,2.7402e+11,FALSE,2.82744e+11,FALSE,2.76228e+11,FALSE,2.85165e+11,FALSE,2.9924e+11,FALSE,3.07004e+11,FALSE,3.13263e+11,TRUE,3.21943e+11,TRUE,3.33512e+11,TRUE,3.44809e+11,TRUE,3.56001e+11,TRUE,3.673e+11,TRUE,3.77965e+11
"AZ",FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,4.718e+09,FALSE,5.316e+09,FALSE,6.062e+09,FALSE,7.147e+09,FALSE,8.53e+09,FALSE,1.2523e+10,FALSE,1.8746e+10,FALSE,2.8361e+10,FALSE,3.8006e+10,FALSE,3.5602e+10,FALSE,4.2465e+10,FALSE,5.1158e+10,FALSE,5.3968e+10,TRUE,5.7708e+10,TRUE,6.0512e+10,TRUE,6.5686e+10,TRUE,7.0445e+10,TRUE,7.5936e+10,TRUE,8.1956e+10,TRUE,8.7641e+10
