"district_id","2013"
"d18974","streams_or_lakes"
"d18975","streams_or_lakes"
"d18987","protected_springs_wells"
"d18988","protected_springs_wells"
"d18976","streams_or_lakes"
"d18955","piped_water"
"d18965","boreholes"
"d18968","streams_or_lakes"
"d18956","piped_water"
"d18991","piped_water"
"d18989","protected_springs_wells"
"d18977","streams_or_lakes"
"d18943","piped_water"
"d18949","piped_water"
"d18944","streams_or_lakes"
"d18969","protected_springs_wells"
"d18970","streams_or_lakes"
"d18957","streams_or_lakes"
"d18950","piped_water"
"d18978","piped_water"
"d18951","piped_water"
"d18958","streams_or_lakes"
"d18959","streams_or_lakes"
"d18966","ponds_dams_jabia"
"d18960","unprotected_springs_wells"
"d18961","piped_water"
"d18971","streams_or_lakes"
"d18952","piped_water"
"d18946","streams_or_lakes"
"d18964","piped_water"
"d18979","piped_water"
"d18980","streams_or_lakes"
"d18981","streams_or_lakes"
"d18962","streams_or_lakes"
"d18972","protected_springs_wells"
"d18947","piped_water"
"d18948","piped_water"
"d18982","unprotected_springs_wells"
"d18973","streams_or_lakes"
"d18953","piped_water"
"d18954","streams_or_lakes"
"d18983","protected_springs_wells"
"d18984","unprotected_springs_wells"
"d18985","piped_water"
"d18990","protected_springs_wells"
"d18967","boreholes"
"d18986","streams_or_lakes"
