"district_id","district_name","year","budget_type","value"
"d18948","Nyeri",2017,"actual",6.03094805462084
"d18948","Nyeri",2018,"actual",6.22099046635923
"d18982","Samburu",2015,"actual",6.44019471064512
"d18982","Samburu",2016,"actual",6.89819076835661
"d18982","Samburu",2017,"actual",4.86861366417893
"d18982","Samburu",2018,"actual",6.65789429665851
"d18973","Siaya",2015,"actual",6.01962274282125
"d18973","Siaya",2016,"actual",5.86260717977824
"d18973","Siaya",2017,"actual",5.27693706750785
"d18973","Siaya",2018,"actual",3.87470749351742
"d18953","Taita Taveta",2015,"actual",1.94415612560309
"d18953","Taita Taveta",2016,"actual",3.51006381934217
"d18953","Taita Taveta",2017,"actual",2.57189701776931
"d18953","Taita Taveta",2018,"actual",0.652574493266018
"d18954","Tana River",2015,"actual",7.10183716334181
"d18954","Tana River",2016,"actual",
"d18954","Tana River",2017,"actual",
"d18954","Tana River",2018,"actual",
"d18983","Trans-Nzoia",2015,"actual",7.99482801183984
"d18983","Trans-Nzoia",2016,"actual",9.53606846004279
"d18983","Trans-Nzoia",2017,"actual",6.92737374342986
"d18983","Trans-Nzoia",2018,"actual",6.00376258246959
"d18984","Turkana",2015,"actual",
"d18984","Turkana",2016,"actual",
"d18984","Turkana",2017,"actual",
"d18984","Turkana",2018,"actual",2.43922728093776
"d18985","Uasin Gishu",2015,"actual",7.45954379888288
"d18985","Uasin Gishu",2016,"actual",2.61557889594173
"d18985","Uasin Gishu",2017,"actual",8.48717566492395
"d18985","Uasin Gishu",2018,"actual",5.45152719306121
"d18990","Vihiga",2015,"actual",5.76140843302698
"d18990","Vihiga",2016,"actual",3.42782091140335
"d18990","Vihiga",2017,"actual",2.81920414759679
"d18990","Vihiga",2018,"actual",5.84649845862689
"d18967","Wajir",2015,"actual",4.97183100734387
"d18967","Wajir",2016,"actual",4.7614579681088
"d18967","Wajir",2017,"actual",8.59565031196583
"d18967","Wajir",2018,"actual",4.45547237297452
"d18986","West Pokot",2015,"actual",2.61923116010103
"d18986","West Pokot",2016,"actual",6.3556458619691
"d18986","West Pokot",2017,"actual",5.01362375132959
"d18986","West Pokot",2018,"actual",3.71255584026849
