"id","value.2000","original-value.2000","value.2001","original-value.2001","value.2002","original-value.2002","value.2003","original-value.2003","value.2004","original-value.2004","value.2005","original-value.2005","value.2006","original-value.2006","value.2007","original-value.2007","value.2008","original-value.2008","value.2009","original-value.2009","value.2010","original-value.2010","value.2011","original-value.2011","value.2012","original-value.2012","value.2013","original-value.2013"
"AD",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AE",,,,,,,,,,,90.03384399,90.03384399,,,,,,,,,,,,,,,,
"AF",,,,,,,,,,,,,,,,,,,,,,,31.74111748,31.74111748,,,,
"AG",,,98.94999695,98.94999695,98.94999695,,98.94999695,,98.94999695,,98.94999695,,98.94999695,,98.94999695,,98.94999695,,98.94999695,,98.94999695,,98.94999695,,98.94999695,98.94999695,,
"AL",,,98.71297455,98.71297455,98.3166405829,,97.9203066157,,97.5239726486,,97.1276386814,,96.7313047143,,96.3349707471,,95.93863678,95.93863678,96.2408574433,,96.5430781067,,96.84529877,96.84529877,,,,
"AM",,,99.40015411,99.40015411,99.4192262091,,99.4382983082,,99.4573704073,,99.4764425064,,99.4955146055,,99.5145867045,,99.5336588036,,99.5527309027,,99.5718030018,,99.5908751009,,99.6099472,99.6099472,,
"AO",,,67.4054184,67.4054184,67.6940501855,,67.9826819709,,68.2713137564,,68.5599455418,,68.8485773273,,69.1372091127,,69.4258408982,,69.7144726836,,70.0031044691,,70.2917362545,,70.58036804,70.58036804,,
"AR",,,97.1933136,97.1933136,97.25902072,,97.32472784,,97.39043496,,97.45614208,,97.5218492,,97.58755632,,97.65326344,,97.71897056,,97.78467768,,97.8503848,,97.91609192,97.91609192,,
"AS",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AT",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AU",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AW",97.29125214,97.29125214,97.244390873,,97.197529606,,97.150668339,,97.103807072,,97.056945805,,97.010084538,,96.963223271,,96.916362004,,96.869500737,,96.82263947,96.82263947,,,,,,
"AZ",,,,,,,,,,,,,,,99.60190582,99.60190582,99.68087387,,99.75984192,99.75984192,99.77114105,99.77114105,99.77863312,99.77863312,99.77577209,99.77577209,,
"BA",96.6631012,96.6631012,96.7872912125,,96.911481225,,97.0356712375,,97.15986125,,97.2840512625,,97.408241275,,97.5324312875,,97.6566213,,97.7808113125,,97.905001325,,98.0291913375,,98.15338135,98.15338135,,
"BB",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BD",,,47.48550034,47.48550034,48.51297483,,49.54044932,,50.56792381,,51.5953983,,52.62287279,,53.65034728,,54.67782177,,55.70529626,,56.73277075,,57.76024524,,58.78771973,58.78771973,,
"BE",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BF",,,,,,,21.82291603,21.82291603,22.6883173,,23.55371857,23.55371857,26.14146614,,28.72921371,28.72921371,,,,,,,,,,,,
"BG",,,98.20355225,98.20355225,98.218441776,,98.233331302,,98.248220828,,98.263110354,,98.27799988,,98.292889406,,98.307778932,,98.322668458,,98.337557984,,98.35244751,98.35244751,,,,
"BH",,,86.5487442,86.5487442,87.4385274233,,88.3283106467,,89.21809387,,90.1078770933,,90.9976603167,,91.88744354,,92.7772267633,,93.6670099867,,94.55679321,94.55679321,,,,,,
"BI",59.30361938,59.30361938,62.7591505013,,66.2146816225,,69.6702127438,,73.125743865,,76.5812749863,,80.0368061075,,83.4923372288,,86.94786835,86.94786835,,,,,,,,,,
"BJ",,,,,34.65784836,34.65784836,33.16891432,,31.67998028,,30.19104624,,28.7021122,28.7021122,,,,,,,,,,,,,,
"BM",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BN",,,92.67112732,92.67112732,92.9187386255,,93.1663499309,,93.4139612364,,93.6615725418,,93.9091838473,,94.1567951527,,94.4044064582,,94.6520177636,,94.8996290691,,95.1472403745,,95.39485168,95.39485168,,
"BO",,,86.72366333,86.72366333,87.3936309817,,88.0635986333,,88.733566285,,89.4035339367,,90.0735015883,,90.74346924,90.74346924,90.69810486,90.69810486,91.16782379,91.16782379,91.696983335,,92.22614288,92.22614288,94.46056366,94.46056366,,
"BR",86.36788177,86.36788177,86.9299716925,,87.492061615,,88.0541515375,,88.61624146,88.61624146,89.115734105,,89.61522675,89.61522675,90.0093689,90.0093689,90.03662109,90.03662109,90.29821014,90.29821014,90.37918091,90.37918091,91.41124725,91.41124725,91.33374023,91.33374023,,
"BS",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BT",,,,,,,,,,,52.81468964,52.81468964,,,,,,,,,,,,,,,,
"BW",,,,,,,81.18871307,81.18871307,81.8042797478,,82.4198464256,,83.0354131033,,83.6509797811,,84.2665464589,,84.8821131367,,85.4976798144,,86.1132464922,,86.72881317,86.72881317,,
"BY",,,,,,,,,,,,,,,,,,,99.6170578,99.6170578,,,,,,,,
"BZ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CA",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CD",,,67.17298889,67.17298889,66.1784146617,,65.1838404333,,64.189266205,,63.1946919767,,62.2001177483,,61.20554352,61.20554352,,,,,,,,,,,,
"CF",50.6451683,50.6451683,49.255912395,,47.86665649,,46.477400585,,45.08814468,,43.698888775,,42.30963287,,40.920376965,,39.53112106,,38.141865155,,36.75260925,36.75260925,,,,,,
"CG",,,,,,,,,,,,,,,,,,,,,,,79.31117249,79.31117249,,,,
"CH",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CI",48.7407608,48.7407608,48.0941667525,,47.447572705,,46.8009786575,,46.15438461,,45.5077905625,,44.861196515,,44.2146024675,,43.56800842,,42.9214143725,,42.274820325,,41.6282262775,,40.98163223,40.98163223,,
"CL",,,,,95.7166214,95.7166214,96.2053527833,,96.6940841667,,97.18281555,,97.6715469333,,98.1602783167,,98.6490097,98.6490097,98.55367279,98.55367279,,,,,,,,
"CM",68.4091568,68.4091568,68.7335542957,,69.0579517914,,69.3823492871,,69.7067467829,,70.0311442786,,70.3555417743,,70.67993927,70.67993927,70.883461,,71.08698273,,71.29050446,71.29050446,,,,,,
"CN",90.92021179,90.92021179,91.340637968,,91.761064146,,92.181490324,,92.601916502,,93.02234268,,93.442768858,,93.863195036,,94.283621214,,94.704047392,,95.12447357,95.12447357,,,,,,
"CO",,,,,,,,,92.8037796,92.8037796,92.84866333,92.84866333,92.29967499,92.29967499,92.65179443,92.65179443,93.37817383,93.37817383,93.24468994,93.24468994,93.37232971,93.37232971,93.58053589,93.58053589,,,,
"CR",94.86818695,94.86818695,95.0989504718,,95.3297139936,,95.5604775155,,95.7912410373,,96.0220045591,,96.2527680809,,96.4835316027,,96.7142951245,,96.9450586464,,97.1758221682,,97.40658569,97.40658569,,,,
"CU",,,,,99.79907227,99.79907227,99.80290604,,99.80673981,,99.81057358,,99.81440735,,99.81824112,,99.82207489,,99.82590866,,99.82974243,,99.8335762,,99.83740997,99.83740997,,
"CV",,,,,,,,,80.01972198,80.01972198,80.6832303963,,81.3467388125,,82.0102472288,,82.673755645,,83.3372640613,,84.0007724775,,84.6642808938,,85.32778931,85.32778931,,
"CW",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CY",,,96.80363464,96.80363464,96.991114041,,97.178593442,,97.366072843,,97.553552244,,97.741031645,,97.928511046,,98.115990447,,98.303469848,,98.490949249,,98.67842865,98.67842865,,,,
"CZ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DE",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DJ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DK",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DM",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DO",,,,,86.99646759,86.99646759,87.246066284,,87.495664978,,87.745263672,,87.994862366,,88.24446106,88.24446106,88.67588552,,89.10730998,,89.53873444,89.53873444,90.10626984,90.10626984,90.15518188,90.15518188,90.85814667,90.85814667
"DZ",,,,,69.87349701,69.87349701,70.5672931675,,71.261089325,,71.9548854825,,72.64868164,72.64868164,,,,,,,,,,,,,,
