"series","country-year"
"id","in-oda-gross"
"type","simple"
"parent",
"name","Gross Official Development Assistance received"
"columns","id, year, value"
"description","Gross ODA received by each recipient country"
"default-scale","lin"
"themes","official"
"map-theme","official"
"theme-order","1"
"global-picture-color-ramp","darkpurple"
"uom","USD"
"uom_display","USD"
"source","Development Initiatives based on OECD-DAC data"
"calculation",
"format",
"highorlow","lowisbetter"
"range","250000000, 500000000, 750000000, 1000000000, 3000000000"
"interpolated",
"missing-donor","NR"
"missing-recipient","NA"
"laymans-decription","Gross offical development assistance received by a country"
"laymans-heading","Gross Offical Development Assistance Received"
