Dataset Code,Dataset Name,Description,Source
r001,DI Sector Groups,DI Grouping of CRS Purpose Codes into 15 broad sectors,DI
r002,CRS-3 Purpose Codes,Mapping of CRS 3-digit Purpose Codes against DI Sector Groups,DI / OECD
r003,ISO Country Codes,,
