id-from,parent,id-to,region,year,value-1,value-2,value-3
afdb,African Development Bank and Fund,BI,south-of-sahara,2015,80000.00,131.60,30.6
afdb,African Development Bank and Fund,BJ,south-of-sahara,2015,0.00,352.70,17.24
afdb,African Development Bank and Fund,BW,south-of-sahara,2015,690000.00,5880.00,3.83
afdb,African Development Bank and Fund,CD,south-of-sahara,2015,109740000.00,109.30,38.05
afdb,African Development Bank and Fund,CG,south-of-sahara,2015,40000.00,2817.70,14.41
afdb,African Development Bank and Fund,CV,south-of-sahara,2015,2110000.00,1646.10,1.54
afdb,African Development Bank and Fund,DZ,north-of-sahara,2015,20000.00,5073.50,
afdb,African Development Bank and Fund,EG,north-of-sahara,2015,1880000.00,2421.10,
afdb,African Development Bank and Fund,ET,south-of-sahara,2015,390000.00,272.30,5.58
afdb,African Development Bank and Fund,GA,south-of-sahara,2015,140000.00,4009.80,1.48
afdb,African Development Bank and Fund,GH,south-of-sahara,2015,50000.00,740.00,3.74
afdb,African Development Bank and Fund,LR,south-of-sahara,2015,40000.00,192.30,19.81
afdb,African Development Bank and Fund,MA,north-of-sahara,2015,320000.00,2055.40,0.24
afdb,African Development Bank and Fund,ML,south-of-sahara,2015,30000.00,360.00,16.67
afdb,African Development Bank and Fund,MU,south-of-sahara,2015,630000.00,3998.80,0.09
afdb,African Development Bank and Fund,MW,south-of-sahara,2015,50000.00,186.50,32.64
afdb,African Development Bank and Fund,NA,south-of-sahara,2015,350000.00,4211.60,5.14
afdb,African Development Bank and Fund,NE,south-of-sahara,2015,10000.00,199.30,13.51
afdb,African Development Bank and Fund,NG,south-of-sahara,2015,710000.00,478.80,19.6
afdb,African Development Bank and Fund,RW,south-of-sahara,2015,120000.00,311.00,23.77
afdb,African Development Bank and Fund,SC,south-of-sahara,2015,710000.00,8915.50,0.43
afdb,African Development Bank and Fund,SD,south-of-sahara,2015,80000.00,469.60,2.43
afdb,African Development Bank and Fund,SZ,south-of-sahara,2015,240000.00,2688.50,16.01
afdb,African Development Bank and Fund,TG,south-of-sahara,2015,20000.00,278.90,21.5
afdb,African Development Bank and Fund,TN,north-of-sahara,2015,1700000.00,2623.90,0.17
afdb,African Development Bank and Fund,TZ,south-of-sahara,2015,100000.00,350.90,13
afdb,African Development Bank and Fund,UG,south-of-sahara,2015,40000.00,505.60,10.3
afdb,African Development Bank and Fund,ZA,south-of-sahara,2015,740000.00,3139.60,4.75
afdb,African Development Bank and Fund,ZM,south-of-sahara,2015,10000.00,654.30,28.32
afdf,African Development Bank and Fund,AO,south-of-sahara,2015,13640000.00,1894.10,8.56
afdf,African Development Bank and Fund,BF,south-of-sahara,2015,72190000.00,301.80,12.22
afdf,African Development Bank and Fund,BI,south-of-sahara,2015,39260000.00,131.60,30.6
afdf,African Development Bank and Fund,BJ,south-of-sahara,2015,34150000.00,352.70,17.24
afdf,African Development Bank and Fund,CD,south-of-sahara,2015,105620000.00,109.30,38.05
afdf,African Development Bank and Fund,CF,south-of-sahara,2015,13450000.00,53.30,47.3
afdf,African Development Bank and Fund,CG,south-of-sahara,2015,4170000.00,2817.70,14.41
afdf,African Development Bank and Fund,CI,south-of-sahara,2015,24820000.00,657.30,8.88
afdf,African Development Bank and Fund,CM,south-of-sahara,2015,28910000.00,545.80,8.46
afdf,African Development Bank and Fund,CV,south-of-sahara,2015,3480000.00,1646.10,1.54
afdf,African Development Bank and Fund,DJ,south-of-sahara,2015,5350000.00,875.50,7.51
afdf,African Development Bank and Fund,ER,south-of-sahara,2015,1870000.00,,
afdf,African Development Bank and Fund,ET,south-of-sahara,2015,151940000.00,272.30,5.58
afdf,African Development Bank and Fund,GH,south-of-sahara,2015,153420000.00,740.00,3.74
afdf,African Development Bank and Fund,GM,south-of-sahara,2015,1880000.00,324.80,17.39
afdf,African Development Bank and Fund,GN,south-of-sahara,2015,34750000.00,249.90,10.45
afdf,African Development Bank and Fund,GW,south-of-sahara,2015,9060000.00,185.60,30.73
afdf,African Development Bank and Fund,KE,south-of-sahara,2015,260010000.00,572.00,8.26
afdf,African Development Bank and Fund,KM,south-of-sahara,2015,10200000.00,249.10,3.88
afdf,African Development Bank and Fund,LR,south-of-sahara,2015,77320000.00,192.30,19.81
afdf,African Development Bank and Fund,LS,south-of-sahara,2015,840000.00,1721.10,29.16
afdf,African Development Bank and Fund,MG,south-of-sahara,2015,60040000.00,151.90,39.45
afdf,African Development Bank and Fund,ML,south-of-sahara,2015,60090000.00,360.00,16.67
