id,parent,sector,year,value
afdf,African Development Bank and Fund,agriculture-and-food-security,2009,264469743.85
afdf,African Development Bank and Fund,agriculture-and-food-security,2008,250725641.77
afdf,African Development Bank and Fund,agriculture-and-food-security,2007,153064169.83
afdf,African Development Bank and Fund,agriculture-and-food-security,2006,147956132.21
afdf,African Development Bank and Fund,agriculture-and-food-security,2005,168358582.25
afdf,African Development Bank and Fund,agriculture-and-food-security,2004,141823948.62
afdf,African Development Bank and Fund,agriculture-and-food-security,2003,93213861.89
afdf,African Development Bank and Fund,agriculture-and-food-security,2002,105873186.77
afdf,African Development Bank and Fund,banking-and-business,2015,32095070.00
afdf,African Development Bank and Fund,banking-and-business,2014,10046878.72
afdf,African Development Bank and Fund,banking-and-business,2013,41196645.47
afdf,African Development Bank and Fund,banking-and-business,2012,20661180.52
afdf,African Development Bank and Fund,banking-and-business,2011,28015495.69
afdf,African Development Bank and Fund,banking-and-business,2010,46231449.13
afdf,African Development Bank and Fund,banking-and-business,2009,938552453.62
afdf,African Development Bank and Fund,banking-and-business,2008,5104695.68
afdf,African Development Bank and Fund,banking-and-business,2007,24717856.91
afdf,African Development Bank and Fund,banking-and-business,2006,10730106.34
afdf,African Development Bank and Fund,banking-and-business,2005,11263601.80
afdf,African Development Bank and Fund,banking-and-business,2004,199650492.79
afdf,African Development Bank and Fund,banking-and-business,2003,54248951.73
afdf,African Development Bank and Fund,banking-and-business,2002,201059217.59
afdf,African Development Bank and Fund,debt-relief,2015,4110.00
afdf,African Development Bank and Fund,debt-relief,2014,198459.85
afdf,African Development Bank and Fund,debt-relief,2013,576188.89
afdf,African Development Bank and Fund,debt-relief,2012,499555767.90
afdf,African Development Bank and Fund,debt-relief,2011,354611.95
afdf,African Development Bank and Fund,debt-relief,2010,472613497.65
afdf,African Development Bank and Fund,debt-relief,2009,683243736.21
afdf,African Development Bank and Fund,debt-relief,2008,20533576.23
afdf,African Development Bank and Fund,debt-relief,2007,319954210.49
afdf,African Development Bank and Fund,debt-relief,2006,8988419068.72
afdf,African Development Bank and Fund,debt-relief,2005,99313920.49
afdf,African Development Bank and Fund,debt-relief,2004,184154849.81
afdf,African Development Bank and Fund,debt-relief,2003,107522966.08
afdf,African Development Bank and Fund,debt-relief,2002,173419694.73
afdf,African Development Bank and Fund,education,2015,83075220.00
afdf,African Development Bank and Fund,education,2014,62160861.14
afdf,African Development Bank and Fund,education,2013,85302526.63
afdf,African Development Bank and Fund,education,2012,93685730.65
afdf,African Development Bank and Fund,education,2011,83533975.25
afdf,African Development Bank and Fund,education,2010,112970973.11
afdf,African Development Bank and Fund,education,2009,103389611.59
afdf,African Development Bank and Fund,education,2008,110125614.86
afdf,African Development Bank and Fund,education,2007,79393855.01
afdf,African Development Bank and Fund,education,2006,66217979.87
afdf,African Development Bank and Fund,education,2005,61455260.33
afdf,African Development Bank and Fund,education,2004,81716729.88
afdf,African Development Bank and Fund,education,2003,50278320.85
afdf,African Development Bank and Fund,education,2002,83990739.48
afdf,African Development Bank and Fund,environment,2015,16645140.00
afdf,African Development Bank and Fund,environment,2014,24599138.36
afdf,African Development Bank and Fund,environment,2013,21922127.30
