id,parent,year,purpose-code,purpose-name,total-purpose-value,bundle,total-bundle-value
adaptation-fund,Adaptation Fund,2014,14015,Water resources protection,1265139.31,mixed-project-aid,1265139.31
adaptation-fund,Adaptation Fund,2014,41010,Environmental policy and admin. mgmt,7776695.44,mixed-project-aid,7776695.44
adaptation-fund,Adaptation Fund,2014,43040,Rural development,3146352.74,mixed-project-aid,3146352.74
adaptation-fund,Adaptation Fund,2014,41050,Flood prevention/control,901589.46,mixed-project-aid,901589.46
afdb,African Development Bank and Fund,2014,22010,Communications policy & administrative management,298263.45,mixed-project-aid,212133.57
afdb,African Development Bank and Fund,2014,23220,Hydro-electric power plants,59620.22,mixed-project-aid,59620.22
afdb,African Development Bank and Fund,2014,23240,Wind energy,143112.30,mixed-project-aid,143112.30
afdb,African Development Bank and Fund,2014,23630,Electric power transmission and distribution,0.00,mixed-project-aid,0.00
afdb,African Development Bank and Fund,2014,24030,Formal sector financial intermediaries,545849.95,cash-grant,545849.95
afdb,African Development Bank and Fund,2014,31110,Agricultural policy & administrative management,509356.52,mixed-project-aid,509356.52
afdb,African Development Bank and Fund,2014,31140,Agricultural water resources,1437011.27,mixed-project-aid,1437011.27
afdb,African Development Bank and Fund,2014,31161,Food crop production,277666.03,mixed-project-aid,277666.03
afdb,African Development Bank and Fund,2014,31182,Agricultural research,173244.59,mixed-project-aid,173244.59
afdb,African Development Bank and Fund,2014,32110,Industrial policy & admin. mgmt,55908.93,mixed-project-aid,55908.93
afdb,African Development Bank and Fund,2014,21040,Water transport,256248.22,mixed-project-aid,256248.22
afdb,African Development Bank and Fund,2014,32130,Small and medium-sized enterprises (SME) development,22894.44,mixed-project-aid,22894.44
afdb,African Development Bank and Fund,2014,33120,Trade facilitation,267378.91,mixed-project-aid,267378.91
afdb,African Development Bank and Fund,2014,43010,Multisector aid,1859240.89,cash-grant,279102.07
afdb,African Development Bank and Fund,2014,21030,Rail transport,67793.06,mixed-project-aid,67793.06
afdb,African Development Bank and Fund,2014,21020,Road transport,475824.57,mixed-project-aid,475824.57
afdb,African Development Bank and Fund,2014,21010,Transport policy & administrative management,32215.57,mixed-project-aid,32215.57
afdb,African Development Bank and Fund,2014,16062,Statistical capacity building,1242701.80,mixed-project-aid,1242701.80
