parent,year,sector,sector-rank,sector-value,purpose-code,purpose-name,purpose-rank,purpose-value
African Development Bank and Fund,2015,agriculture-and-food-security,5,138786810.00,31110,Agricultural policy & administrative management,1,55728270.00
African Development Bank and Fund,2015,agriculture-and-food-security,5,138786810.00,31191,Agricultural services,5,13162950.00
African Development Bank and Fund,2015,agriculture-and-food-security,5,138786810.00,31182,Agricultural research,3,16233770.00
African Development Bank and Fund,2015,agriculture-and-food-security,5,138786810.00,31140,Agricultural water resources,2,25846190.00
African Development Bank and Fund,2015,agriculture-and-food-security,5,138786810.00,31161,Food crop production,4,16001750.00
African Development Bank and Fund,2015,agriculture-and-food-security,5,138786810.00,0,Other,6,11813880.00
African Development Bank and Fund,2015,health,4,143169180.00,12110,Health policy & administrative management,2,23063650.00
African Development Bank and Fund,2015,health,4,143169180.00,12250,Infectious disease control,1,113829970.00
African Development Bank and Fund,2015,health,4,143169180.00,13020,Reproductive health care,3,6275560.00
African Development Bank and Fund,2015,infrastructure,1,1049828520.00,23110,Energy policy and administrative management,3,152563560.00
African Development Bank and Fund,2015,infrastructure,1,1049828520.00,23220,Hydro-electric power plants,5,6570090.00
African Development Bank and Fund,2015,infrastructure,1,1049828520.00,0,Other,6,2269690.00
African Development Bank and Fund,2015,infrastructure,1,1049828520.00,21020,Road transport,1,613960100.00
African Development Bank and Fund,2015,infrastructure,1,1049828520.00,23630,Electric power transmission and distribution,2,243402890.00
African Development Bank and Fund,2015,infrastructure,1,1049828520.00,21050,Air transport,4,31062190.00
African Development Bank and Fund,2015,other,3,205573000.00,43010,Multisector aid,1,153183270.00
African Development Bank and Fund,2015,other,3,205573000.00,43040,Rural development,2,52389730.00
African Development Bank and Fund,2015,water-and-sanitation,2,287098440.00,14022,Sanitation - large systems,2,9666680.00
African Development Bank and Fund,2015,water-and-sanitation,2,287098440.00,14010,Water resources policy/administrative management,1,274943420.00
African Development Bank and Fund,2015,water-and-sanitation,2,287098440.00,14040,River basins development,3,2488340.00
Arab Bank for Economic Development in Africa,2015,agriculture-and-food-security,5,8621195.20,0,Other,6,760940.00
Arab Bank for Economic Development in Africa,2015,agriculture-and-food-security,5,8621195.20,31140,Agricultural water resources,1,3270585.00
Arab Bank for Economic Development in Africa,2015,agriculture-and-food-security,5,8621195.20,31191,Agricultural services,2,2105190.00
Arab Bank for Economic Development in Africa,2015,agriculture-and-food-security,5,8621195.20,31110,Agricultural policy & administrative management,3,1320136.70
Arab Bank for Economic Development in Africa,2015,agriculture-and-food-security,5,8621195.20,31120,Agricultural development,4,838239.00
Arab Bank for Economic Development in Africa,2015,agriculture-and-food-security,5,8621195.20,31161,Food crop production,5,326104.50
Arab Bank for Economic Development in Africa,2015,health,4,8667332.06,12230,Basic health infrastructure,2,3865096.70
Arab Bank for Economic Development in Africa,2015,health,4,8667332.06,12191,Medical services,1,4321257.90
Arab Bank for Economic Development in Africa,2015,health,4,8667332.06,12250,Infectious disease control,3,432716.00
Arab Bank for Economic Development in Africa,2015,health,4,8667332.06,12110,Health policy & administrative management,4,48261.46
Arab Bank for Economic Development in Africa,2015,infrastructure,1,51587196.85,23630,Electric power transmission and distribution,3,4717938.90
Arab Bank for Economic Development in Africa,2015,infrastructure,1,51587196.85,21010,Transport policy & administrative management,2,13984312.60
Arab Bank for Economic Development in Africa,2015,infrastructure,1,51587196.85,21020,Road transport,1,26397955.54
Arab Bank for Economic Development in Africa,2015,infrastructure,1,51587196.85,0,Other,6,2001712.77
Arab Bank for Economic Development in Africa,2015,infrastructure,1,51587196.85,21040,Water transport,5,2170347.04
Arab Bank for Economic Development in Africa,2015,infrastructure,1,51587196.85,23310,"Energy generation, non-renewable sources, unspecified",4,2314930.00
Arab Bank for Economic Development in Africa,2015,other,3,13447843.36,43030,Urban development and management,4,152054.50
Arab Bank for Economic Development in Africa,2015,other,3,13447843.36,43010,Multisector aid,1,7364451.68
Arab Bank for Economic Development in Africa,2015,other,3,13447843.36,43040,Rural development,2,4894510.20
Arab Bank for Economic Development in Africa,2015,other,3,13447843.36,99810,Sectors not specified,3,1036826.98
Arab Bank for Economic Development in Africa,2015,water-and-sanitation,2,31444891.20,0,Other,6,2139781.00
Arab Bank for Economic Development in Africa,2015,water-and-sanitation,2,31444891.20,14022,Sanitation - large systems,5,2489371.00
Arab Bank for Economic Development in Africa,2015,water-and-sanitation,2,31444891.20,14010,Water resources policy/administrative management,4,2874022.80
Arab Bank for Economic Development in Africa,2015,water-and-sanitation,2,31444891.20,14031,Basic drinking water supply,3,3483570.60
Arab Bank for Economic Development in Africa,2015,water-and-sanitation,2,31444891.20,14030,Basic drinking water supply and basic sanitation,2,5740568.30
Arab Bank for Economic Development in Africa,2015,water-and-sanitation,2,31444891.20,14020,Water supply and sanitation - large systems,1,14717577.50
Arab Fund,2015,agriculture-and-food-security,2,96425077.50,31110,Agricultural policy & administrative management,2,16837217.50
Arab Fund,2015,agriculture-and-food-security,2,96425077.50,31140,Agricultural water resources,1,79587860.00
Arab Fund,2015,humanitarian,5,8070550.00,72010,Material relief assistance and services,2,3929990.00
Arab Fund,2015,humanitarian,5,8070550.00,73010,Reconstruction relief and rehabilitation,1,4140560.00
Arab Fund,2015,infrastructure,1,389080226.44,23630,Electric power transmission and distribution,5,12141521.20
Arab Fund,2015,infrastructure,1,389080226.44,0,Other,6,16116651.64
Arab Fund,2015,infrastructure,1,389080226.44,21010,Transport policy & administrative management,3,44554474.00
Arab Fund,2015,infrastructure,1,389080226.44,23310,"Energy generation, non-renewable sources, unspecified",2,134817095.00
Arab Fund,2015,infrastructure,1,389080226.44,21020,Road transport,1,143840804.60
Arab Fund,2015,infrastructure,1,389080226.44,21040,Water transport,4,37609680.00
Arab Fund,2015,other-social-services,4,26461489.20,16062,Statistical capacity building,3,332447.00
Arab Fund,2015,other-social-services,4,26461489.20,16010,Social/welfare services,1,13402816.60
Arab Fund,2015,other-social-services,4,26461489.20,16030,Housing policy and administrative management,2,12716086.00
Arab Fund,2015,other-social-services,4,26461489.20,16020,Employment policy and administrative management,4,10139.60
Arab Fund,2015,water-and-sanitation,3,84841848.80,14020,Water supply and sanitation - large systems,1,84266715.80
Arab Fund,2015,water-and-sanitation,3,84841848.80,14010,Water resources policy/administrative management,2,575133.00
Asian Development Bank,2015,education,3,245775020.00,0,Other,6,415620.00
Asian Development Bank,2015,education,3,245775020.00,11420,Higher education,5,20445590.00
Asian Development Bank,2015,education,3,245775020.00,11220,Primary education,4,23343400.00
Asian Development Bank,2015,education,3,245775020.00,11110,Education policy & administrative management,3,55624170.00
Asian Development Bank,2015,education,3,245775020.00,11320,Secondary education,2,70468530.00
Asian Development Bank,2015,education,3,245775020.00,11330,Vocational training,1,75477710.00
Asian Development Bank,2015,governance-and-security,4,198258250.00,15170,Women's equality organisations and institutions,5,492310.00
Asian Development Bank,2015,governance-and-security,4,198258250.00,0,Other,6,4480.00
Asian Development Bank,2015,governance-and-security,4,198258250.00,15110,Public sector policy and administrative management,1,135617530.00
Asian Development Bank,2015,governance-and-security,4,198258250.00,15112,Decentralisation and support to subnational government,4,3661880.00
Asian Development Bank,2015,governance-and-security,4,198258250.00,15130,Legal and judicial development,3,16427500.00
Asian Development Bank,2015,governance-and-security,4,198258250.00,15111,Public finance management,2,42054550.00
Asian Development Bank,2015,infrastructure,1,1159640750.00,0,Other,6,97776600.00
Asian Development Bank,2015,infrastructure,1,1159640750.00,21030,Rail transport,5,37578620.00
Asian Development Bank,2015,infrastructure,1,1159640750.00,21010,Transport policy & administrative management,4,97980290.00
Asian Development Bank,2015,infrastructure,1,1159640750.00,23630,Electric power transmission and distribution,3,128681480.00
Asian Development Bank,2015,infrastructure,1,1159640750.00,23110,Energy policy and administrative management,2,351082900.00
Asian Development Bank,2015,infrastructure,1,1159640750.00,21020,Road transport,1,446540860.00
Asian Development Bank,2015,other,5,194805510.00,43040,Rural development,3,13966470.00
Asian Development Bank,2015,other,5,194805510.00,43030,Urban development and management,1,149659660.00
Asian Development Bank,2015,other,5,194805510.00,43081,Multisector education/training,2,30884620.00
Asian Development Bank,2015,other,5,194805510.00,43010,Multisector aid,4,294760.00
Asian Development Bank,2015,water-and-sanitation,2,333675120.00,14022,Sanitation - large systems,3,43845670.00
Asian Development Bank,2015,water-and-sanitation,2,333675120.00,14032,Basic sanitation,2,54987410.00
Asian Development Bank,2015,water-and-sanitation,2,333675120.00,14031,Basic drinking water supply,1,143355000.00
Asian Development Bank,2015,water-and-sanitation,2,333675120.00,0,Other,6,29131800.00
Asian Development Bank,2015,water-and-sanitation,2,333675120.00,14015,Water resources protection,5,23220410.00
Asian Development Bank,2015,water-and-sanitation,2,333675120.00,14010,Water resources policy/administrative management,4,39134830.00
Caribbean Development Bank,2015,other,1,57146937.30,99810,Sectors not specified,1,57146937.30
Climate Investment Funds,2015,agriculture-and-food-security,4,3278350.00,31210,Forestry policy & administrative management,3,450000.00
Climate Investment Funds,2015,agriculture-and-food-security,4,3278350.00,31220,Forestry development,1,1792730.00
Climate Investment Funds,2015,agriculture-and-food-security,4,3278350.00,31110,Agricultural policy & administrative management,2,673890.00
Climate Investment Funds,2015,agriculture-and-food-security,4,3278350.00,31161,Food crop production,4,122870.00
Climate Investment Funds,2015,agriculture-and-food-security,4,3278350.00,31140,Agricultural water resources,5,122370.00
Climate Investment Funds,2015,agriculture-and-food-security,4,3278350.00,0,Other,6,116490.00
Climate Investment Funds,2015,banking-and-business,5,1904370.00,24030,Formal sector financial intermediaries,2,464420.00
Climate Investment Funds,2015,banking-and-business,5,1904370.00,24040,Informal/semi-formal financial intermediaries,3,68320.00
Climate Investment Funds,2015,banking-and-business,5,1904370.00,24010,Financial policy & administrative management,1,1371630.00
Climate Investment Funds,2015,environment,3,5254160.00,41050,Flood prevention/control,2,249210.00
Climate Investment Funds,2015,environment,3,5254160.00,41010,Environmental policy and admin. mgmt,1,5004950.00
Climate Investment Funds,2015,infrastructure,1,202297500.00,23210,"Energy generation, renewable sources - multiple technologies",5,628960.00
Climate Investment Funds,2015,infrastructure,1,202297500.00,23230,Solar energy,1,162266180.00
Climate Investment Funds,2015,infrastructure,1,202297500.00,23630,Electric power transmission and distribution,4,986970.00
Climate Investment Funds,2015,infrastructure,1,202297500.00,21020,Road transport,3,1241060.00
Climate Investment Funds,2015,infrastructure,1,202297500.00,23110,Energy policy and administrative management,2,35482700.00
Climate Investment Funds,2015,infrastructure,1,202297500.00,0,Other,6,1691630.00
Climate Investment Funds,2015,other,2,32771180.00,99810,Sectors not specified,1,32201900.00
Climate Investment Funds,2015,other,2,32771180.00,43030,Urban development and management,2,569280.00
Council of Europe Development Bank,2015,health,4,1275649.00,12230,Basic health infrastructure,2,166389.00
Council of Europe Development Bank,2015,health,4,1275649.00,12220,Basic health care,1,1109260.00
Council of Europe Development Bank,2015,humanitarian,1,38325035.00,74010,Disaster prevention and preparedness,1,33277900.00
Council of Europe Development Bank,2015,humanitarian,1,38325035.00,72010,Material relief assistance and services,2,5047135.00
Council of Europe Development Bank,2015,industry-and-trade,3,1386580.00,32130,Small and medium-sized enterprises (SME) development,1,1386580.00
Council of Europe Development Bank,2015,other,5,221852.00,43040,Rural development,1,221852.00
Council of Europe Development Bank,2015,other-social-services,2,12833067.00,16040,Low-cost housing,1,12833067.00
EU Institutions,2015,banking-and-business,2,2157289114.03,24030,Formal sector financial intermediaries,1,1993206162.80
EU Institutions,2015,banking-and-business,2,2157289114.03,0,Other,6,416206.50
EU Institutions,2015,banking-and-business,2,2157289114.03,24020,Monetary institutions,5,2411301.61
EU Institutions,2015,banking-and-business,2,2157289114.03,24010,Financial policy & administrative management,4,14547172.78
EU Institutions,2015,banking-and-business,2,2157289114.03,24040,Informal/semi-formal financial intermediaries,3,16140002.90
EU Institutions,2015,banking-and-business,2,2157289114.03,25010,Business support services & institutions,2,130568267.44
EU Institutions,2015,governance-and-security,3,1997555657.34,15150,Democratic participation and civil society,5,207652228.87
EU Institutions,2015,governance-and-security,3,1997555657.34,15130,Legal and judicial development,1,360719621.13
EU Institutions,2015,governance-and-security,3,1997555657.34,15110,Public sector policy and administrative management,2,323678424.56
EU Institutions,2015,governance-and-security,3,1997555657.34,15210,Security system management and reform,3,253009807.97
EU Institutions,2015,governance-and-security,3,1997555657.34,15220,"Civilian peace-building, conflict prevention and resolution",4,247649437.80
EU Institutions,2015,governance-and-security,3,1997555657.34,0,Other,6,604846137.01
EU Institutions,2015,humanitarian,4,1713865263.26,73010,Reconstruction relief and rehabilitation,5,56417449.46
EU Institutions,2015,humanitarian,4,1713865263.26,74010,Disaster prevention and preparedness,4,145627485.02
EU Institutions,2015,humanitarian,4,1713865263.26,72050,Relief co-ordination; protection and support services,3,226244260.23
EU Institutions,2015,humanitarian,4,1713865263.26,72040,Emergency food aid,2,272651785.98
EU Institutions,2015,humanitarian,4,1713865263.26,72010,Material relief assistance and services,1,1012924282.58
EU Institutions,2015,infrastructure,1,2560997165.65,0,Other,6,594781038.41
EU Institutions,2015,infrastructure,1,2560997165.65,21030,Rail transport,2,381752286.61
EU Institutions,2015,infrastructure,1,2560997165.65,23230,Solar energy,3,188768648.85
EU Institutions,2015,infrastructure,1,2560997165.65,23630,Electric power transmission and distribution,4,171478983.44
EU Institutions,2015,infrastructure,1,2560997165.65,21010,Transport policy & administrative management,5,163478926.18
EU Institutions,2015,infrastructure,1,2560997165.65,21020,Road transport,1,1060737282.16
EU Institutions,2015,other,5,1557080079.41,91010,Administrative costs (non-sector allocable),1,638366253.62
EU Institutions,2015,other,5,1557080079.41,43010,Multisector aid,2,443103856.48
EU Institutions,2015,other,5,1557080079.41,43040,Rural development,3,178505931.77
EU Institutions,2015,other,5,1557080079.41,43030,Urban development and management,4,144705026.10
EU Institutions,2015,other,5,1557080079.41,99810,Sectors not specified,5,130862679.90
EU Institutions,2015,other,5,1557080079.41,0,Other,6,21536331.54
Global Alliance for Vaccines and Immunization,2015,health,1,1613765010.00,12220,Basic health care,1,1446722770.00
Global Alliance for Vaccines and Immunization,2015,health,1,1613765010.00,12250,Infectious disease control,2,157841300.00
Global Alliance for Vaccines and Immunization,2015,health,1,1613765010.00,12110,Health policy & administrative management,3,9200940.00
Global Alliance for Vaccines and Immunization,2015,other,2,111423550.00,91010,Administrative costs (non-sector allocable),1,111423550.00
Global Environment Facility,2015,agriculture-and-food-security,2,111345637.60,31261,Fuelwood/charcoal,5,1430000.00
Global Environment Facility,2015,agriculture-and-food-security,2,111345637.60,31210,Forestry policy & administrative management,1,63300532.00
Global Environment Facility,2015,agriculture-and-food-security,2,111345637.60,31110,Agricultural policy & administrative management,2,17728716.60
Global Environment Facility,2015,agriculture-and-food-security,2,111345637.60,31130,Agricultural land resources,3,17258819.00
Global Environment Facility,2015,agriculture-and-food-security,2,111345637.60,31310,Fishing policy and admin. management,4,11627570.00
Global Environment Facility,2015,environment,1,585541409.30,41020,Biosphere protection,2,199637752.80
Global Environment Facility,2015,environment,1,585541409.30,41030,Bio-diversity,3,131511956.00
Global Environment Facility,2015,environment,1,585541409.30,41040,Site preservation,4,4876197.00
Global Environment Facility,2015,environment,1,585541409.30,41010,Environmental policy and admin. mgmt,1,249515503.50
Global Environment Facility,2015,industry-and-trade,5,7470424.00,32166,Cement/lime/plaster,3,560000.00
Global Environment Facility,2015,industry-and-trade,5,7470424.00,32182,Technological research & development,1,3392000.00
Global Environment Facility,2015,industry-and-trade,5,7470424.00,32110,Industrial policy & admin. mgmt,2,2746000.00
Global Environment Facility,2015,industry-and-trade,5,7470424.00,32130,Small and medium-sized enterprises (SME) development,4,330000.00
Global Environment Facility,2015,industry-and-trade,5,7470424.00,33210,Tourism policy and admin. management,5,259091.00
Global Environment Facility,2015,industry-and-trade,5,7470424.00,0,Other,6,183333.00
Global Environment Facility,2015,infrastructure,4,43724114.00,23210,"Energy generation, renewable sources - multiple technologies",5,1893636.00
Global Environment Facility,2015,infrastructure,4,43724114.00,0,Other,6,6302336.00
Global Environment Facility,2015,infrastructure,4,43724114.00,23270,Biofuel-fired power plants,4,2284177.00
Global Environment Facility,2015,infrastructure,4,43724114.00,21010,Transport policy & administrative management,3,2522636.00
Global Environment Facility,2015,infrastructure,4,43724114.00,23230,Solar energy,2,2863090.00
Global Environment Facility,2015,infrastructure,4,43724114.00,23110,Energy policy and administrative management,1,27858239.00
Global Environment Facility,2015,water-and-sanitation,3,49927170.50,14015,Water resources protection,2,8721695.00
Global Environment Facility,2015,water-and-sanitation,3,49927170.50,14050,Waste management/disposal,3,3544015.50
Global Environment Facility,2015,water-and-sanitation,3,49927170.50,14010,Water resources policy/administrative management,1,37661460.00
Global Fund,2015,health,1,3234983590.00,12263,Tuberculosis control,3,484096520.00
Global Fund,2015,health,1,3234983590.00,13040,Std control including hiv/aids,1,1423850570.00
Global Fund,2015,health,1,3234983590.00,12262,Malaria control,2,940444230.00
Global Fund,2015,health,1,3234983590.00,12250,Infectious disease control,4,362922460.00
Global Fund,2015,health,1,3234983590.00,12110,Health policy & administrative management,5,19341420.00
Global Fund,2015,health,1,3234983590.00,0,Other,6,4328390.00
Global Fund,2015,other-social-services,2,4218170.00,16064,Social mitigation of HIV/AIDS,1,4218170.00
Global Green Growth Institute,2015,agriculture-and-food-security,4,213483.00,31210,Forestry policy & administrative management,1,213483.00
