id,parent,region,year,value
afdb,African Development Bank and Fund,north-of-sahara,2015,3983096.00
afdb,African Development Bank and Fund,south-of-sahara,2015,119746904.00
afdf,African Development Bank and Fund,south-of-sahara,2015,2158560000.00
arab-fund-afesd,Arab Fund,middle-east,2015,104200000.00
arab-fund-afesd,Arab Fund,north-of-sahara,2015,278800000.00
arab-fund-afesd,Arab Fund,south-of-sahara,2015,235370000.00
asdb-special-funds,Asian Development Bank,far-east-asia,2015,730205616.61
asdb-special-funds,Asian Development Bank,oceania,2015,97730000.00
asdb-special-funds,Asian Development Bank,south-central-asia,2015,1871594383.39
badea,Arab Bank for Economic Development in Africa,south-of-sahara,2015,125570000.00
cardb,Caribbean Development Bank,north-central-america,2015,51110000.00
cardb,Caribbean Development Bank,south-america,2015,6030000.00
ceb,Council of Europe Development Bank,europe,2015,54140000.00
cif,Climate Investment Funds,europe,2015,16920000.00
cif,Climate Investment Funds,far-east-asia,2015,1193921.46
cif,Climate Investment Funds,north-central-america,2015,3970000.00
cif,Climate Investment Funds,north-of-sahara,2015,120860000.00
cif,Climate Investment Funds,oceania,2015,350000.00
cif,Climate Investment Funds,south-america,2015,3500000.00
cif,Climate Investment Funds,south-central-asia,2015,18106078.54
cif,Climate Investment Funds,south-of-sahara,2015,82530000.00
EU,EU Institutions,europe,2015,4416440000.00
EU,EU Institutions,far-east-asia,2015,396978639.71
EU,EU Institutions,middle-east,2015,1257323559.28
EU,EU Institutions,north-central-america,2015,472154548.80
EU,EU Institutions,north-of-sahara,2015,1220019832.64
EU,EU Institutions,oceania,2015,112460000.00
EU,EU Institutions,south-america,2015,704315451.20
EU,EU Institutions,south-central-asia,2015,1490267801.01
EU,EU Institutions,south-of-sahara,2015,4380270167.36
EU,EU Institutions,unspecified,2015,1104890000.00
gavi,Global Alliance for Vaccines and Immunization,europe,2015,1180000.00
gavi,Global Alliance for Vaccines and Immunization,far-east-asia,2015,68900000.00
gavi,Global Alliance for Vaccines and Immunization,middle-east,2015,10680000.00
gavi,Global Alliance for Vaccines and Immunization,north-central-america,2015,16690000.00
gavi,Global Alliance for Vaccines and Immunization,oceania,2015,10400000.00
gavi,Global Alliance for Vaccines and Immunization,south-america,2015,7040000.00
gavi,Global Alliance for Vaccines and Immunization,south-central-asia,2015,409670000.00
gavi,Global Alliance for Vaccines and Immunization,south-of-sahara,2015,1015620000.00
gavi,Global Alliance for Vaccines and Immunization,unspecified,2015,185010000.00
gef,Global Environment Facility,europe,2015,31280000.00
gef,Global Environment Facility,far-east-asia,2015,123740000.00
gef,Global Environment Facility,middle-east,2015,13000000.00
gef,Global Environment Facility,north-central-america,2015,73073013.46
gef,Global Environment Facility,north-of-sahara,2015,16839477.15
gef,Global Environment Facility,oceania,2015,31780000.00
gef,Global Environment Facility,south-america,2015,90066986.54
gef,Global Environment Facility,south-central-asia,2015,95790000.00
gef,Global Environment Facility,south-of-sahara,2015,201070522.85
gef,Global Environment Facility,unspecified,2015,136420000.00
gggi,Global Green Growth Institute,far-east-asia,2015,2780000.00
gggi,Global Green Growth Institute,north-central-america,2015,410000.00
gggi,Global Green Growth Institute,oceania,2015,280000.00
gggi,Global Green Growth Institute,south-america,2015,470000.00
gggi,Global Green Growth Institute,south-central-asia,2015,1360000.00
gggi,Global Green Growth Institute,south-of-sahara,2015,1020000.00
gggi,Global Green Growth Institute,unspecified,2015,2740000.00
global-fund,Global Fund,europe,2015,74110000.00
global-fund,Global Fund,far-east-asia,2015,253130000.00
global-fund,Global Fund,middle-east,2015,22590000.00
global-fund,Global Fund,north-central-america,2015,86541290.94
global-fund,Global Fund,north-of-sahara,2015,2575684.88
global-fund,Global Fund,oceania,2015,27900000.00
global-fund,Global Fund,south-america,2015,33088709.06
global-fund,Global Fund,south-central-asia,2015,493590000.00
global-fund,Global Fund,south-of-sahara,2015,2244684315.12
global-fund,Global Fund,unspecified,2015,1000000.00
iaea,International Atomic Energy Agency,europe,2015,7210000.00
iaea,International Atomic Energy Agency,far-east-asia,2015,6196846.69
iaea,International Atomic Energy Agency,middle-east,2015,3869015.68
iaea,International Atomic Energy Agency,north-central-america,2015,5504904.46
iaea,International Atomic Energy Agency,north-of-sahara,2015,3115145.04
iaea,International Atomic Energy Agency,oceania,2015,80000.00
iaea,International Atomic Energy Agency,south-america,2015,6375095.54
iaea,International Atomic Energy Agency,south-central-asia,2015,8364137.63
iaea,International Atomic Energy Agency,south-of-sahara,2015,18824854.96
iaea,International Atomic Energy Agency,unspecified,2015,4130000.00
ida,World Bank Group,europe,2015,79520000.00
ida,World Bank Group,far-east-asia,2015,965520000.00
ida,World Bank Group,middle-east,2015,64600000.00
ida,World Bank Group,north-central-america,2015,218240000.00
ida,World Bank Group,oceania,2015,94590000.00
ida,World Bank Group,south-america,2015,177010000.00
ida,World Bank Group,south-central-asia,2015,4579850000.00
ida,World Bank Group,south-of-sahara,2015,7195370000.00
idb-special-fund,Inter-American Development Bank,north-central-america,2015,1339463111.47
idb-special-fund,Inter-American Development Bank,south-america,2015,667296888.53
ifad,International Fund for Agricultural Development,europe,2015,5380000.00
ifad,International Fund for Agricultural Development,far-east-asia,2015,74900000.00
ifad,International Fund for Agricultural Development,middle-east,2015,4260000.00
ifad,International Fund for Agricultural Development,north-central-america,2015,11470000.00
ifad,International Fund for Agricultural Development,north-of-sahara,2015,17800000.00
ifad,International Fund for Agricultural Development,oceania,2015,1930000.00
ifad,International Fund for Agricultural Development,south-america,2015,6080000.00
ifad,International Fund for Agricultural Development,south-central-asia,2015,128440000.00
ifad,International Fund for Agricultural Development,south-of-sahara,2015,295820000.00
imf-concessional-trust-funds,International Monetary Fund,north-central-america,2015,24020000.00
imf-concessional-trust-funds,International Monetary Fund,oceania,2015,12100000.00
imf-concessional-trust-funds,International Monetary Fund,south-central-asia,2015,332320000.00
imf-concessional-trust-funds,International Monetary Fund,south-of-sahara,2015,1103320000.00
international-labour-organisation,International Labour Organisation,europe,2015,6800000.00
international-labour-organisation,International Labour Organisation,far-east-asia,2015,16123661.97
international-labour-organisation,International Labour Organisation,middle-east,2015,13201408.45
international-labour-organisation,International Labour Organisation,north-central-america,2015,17061835.59
international-labour-organisation,International Labour Organisation,north-of-sahara,2015,5273840.08
international-labour-organisation,International Labour Organisation,oceania,2015,4890000.00
international-labour-organisation,International Labour Organisation,south-america,2015,20978164.41
international-labour-organisation,International Labour Organisation,south-central-asia,2015,19814929.58
international-labour-organisation,International Labour Organisation,south-of-sahara,2015,39246159.92
international-labour-organisation,International Labour Organisation,unspecified,2015,142350000.00
islamic-dev-bank,Islamic Development Bank,europe,2015,4550000.00
islamic-dev-bank,Islamic Development Bank,far-east-asia,2015,3350000.00
islamic-dev-bank,Islamic Development Bank,middle-east,2015,5830000.00
islamic-dev-bank,Islamic Development Bank,north-of-sahara,2015,2950000.00
islamic-dev-bank,Islamic Development Bank,south-america,2015,250000.00
islamic-dev-bank,Islamic Development Bank,south-central-asia,2015,39610000.00
islamic-dev-bank,Islamic Development Bank,south-of-sahara,2015,138330000.00
montreal-protocol,Montreal Protocol,far-east-asia,2015,44380000.00
montreal-protocol,Montreal Protocol,middle-east,2015,160000.00
montreal-protocol,Montreal Protocol,south-america,2015,740000.00
montreal-protocol,Montreal Protocol,south-central-asia,2015,20000.00
nordic-dev-fund,Nordic Development Fund,far-east-asia,2015,1460000.00
nordic-dev-fund,Nordic Development Fund,north-central-america,2015,7980000.00
nordic-dev-fund,Nordic Development Fund,south-america,2015,4440000.00
nordic-dev-fund,Nordic Development Fund,south-central-asia,2015,6280000.00
nordic-dev-fund,Nordic Development Fund,south-of-sahara,2015,19020000.00
nordic-dev-fund,Nordic Development Fund,unspecified,2015,10000.00
ofid,OPEC Fund for International Development,europe,2015,8280000.00
ofid,OPEC Fund for International Development,far-east-asia,2015,44446781.09
ofid,OPEC Fund for International Development,middle-east,2015,11683325.81
ofid,OPEC Fund for International Development,north-central-america,2015,53070594.41
ofid,OPEC Fund for International Development,north-of-sahara,2015,40620000.00
ofid,OPEC Fund for International Development,oceania,2015,1480000.00
ofid,OPEC Fund for International Development,south-america,2015,26299405.59
ofid,OPEC Fund for International Development,south-central-asia,2015,77089893.10
ofid,OPEC Fund for International Development,south-of-sahara,2015,129480000.00
ofid,OPEC Fund for International Development,unspecified,2015,3030000.00
