id,parent,bundle,year,value
adaptation-fund,Adaptation Fund,cash-grant,2015,0.00
adaptation-fund,Adaptation Fund,cash-loan-equity,2015,0.00
adaptation-fund,Adaptation Fund,commodities-food,2015,0.00
adaptation-fund,Adaptation Fund,gpgs-nngos,2015,0.00
adaptation-fund,Adaptation Fund,mixed-project-aid,2015,0.00
adaptation-fund,Adaptation Fund,non-transfer,2015,0.00
adaptation-fund,Adaptation Fund,technical-ooperation,2015,0.00
afdb,African Development Bank and Fund,cash-grant,2015,1011080.00
afdb,African Development Bank and Fund,cash-loan-equity,2015,0.00
afdb,African Development Bank and Fund,commodities-food,2015,0.00
afdb,African Development Bank and Fund,gpgs-nngos,2015,0.00
afdb,African Development Bank and Fund,mixed-project-aid,2015,12674340.00
afdb,African Development Bank and Fund,non-transfer,2015,110046550.00
afdb,African Development Bank and Fund,technical-ooperation,2015,0.00
afdf,African Development Bank and Fund,cash-grant,2015,611088730.00
afdf,African Development Bank and Fund,cash-loan-equity,2015,1500083190.00
afdf,African Development Bank and Fund,commodities-food,2015,317420.00
afdf,African Development Bank and Fund,gpgs-nngos,2015,0.00
afdf,African Development Bank and Fund,mixed-project-aid,2015,46994310.00
afdf,African Development Bank and Fund,non-transfer,2015,4110.00
afdf,African Development Bank and Fund,technical-ooperation,2015,72230.00
arab-fund-afesd,Arab Fund,cash-grant,2015,13094643.80
arab-fund-afesd,Arab Fund,cash-loan-equity,2015,594245247.80
arab-fund-afesd,Arab Fund,commodities-food,2015,0.00
arab-fund-afesd,Arab Fund,gpgs-nngos,2015,869116.00
arab-fund-afesd,Arab Fund,mixed-project-aid,2015,10139062.38
arab-fund-afesd,Arab Fund,non-transfer,2015,0.00
arab-fund-afesd,Arab Fund,technical-ooperation,2015,26662.20
asdb,Asian Development Bank,cash-grant,2015,0.00
asdb,Asian Development Bank,cash-loan-equity,2015,0.00
asdb,Asian Development Bank,commodities-food,2015,0.00
asdb,Asian Development Bank,gpgs-nngos,2015,0.00
asdb,Asian Development Bank,mixed-project-aid,2015,0.00
asdb,Asian Development Bank,non-transfer,2015,0.00
asdb,Asian Development Bank,technical-ooperation,2015,0.00
asdb-special-funds,Asian Development Bank,cash-grant,2015,460149790.00
asdb-special-funds,Asian Development Bank,cash-loan-equity,2015,2052267030.00
asdb-special-funds,Asian Development Bank,commodities-food,2015,0.00
asdb-special-funds,Asian Development Bank,gpgs-nngos,2015,0.00
asdb-special-funds,Asian Development Bank,mixed-project-aid,2015,50347750.00
asdb-special-funds,Asian Development Bank,non-transfer,2015,6073590.00
asdb-special-funds,Asian Development Bank,technical-ooperation,2015,130694850.00
badea,Arab Bank for Economic Development in Africa,cash-grant,2015,0.00
badea,Arab Bank for Economic Development in Africa,cash-loan-equity,2015,119429208.88
badea,Arab Bank for Economic Development in Africa,commodities-food,2015,0.00
badea,Arab Bank for Economic Development in Africa,gpgs-nngos,2015,0.00
badea,Arab Bank for Economic Development in Africa,mixed-project-aid,2015,0.00
badea,Arab Bank for Economic Development in Africa,non-transfer,2015,0.00
badea,Arab Bank for Economic Development in Africa,technical-ooperation,2015,6139684.24
cardb,Caribbean Development Bank,cash-grant,2015,13751520.00
cardb,Caribbean Development Bank,cash-loan-equity,2015,39767920.00
cardb,Caribbean Development Bank,commodities-food,2015,0.00
cardb,Caribbean Development Bank,gpgs-nngos,2015,0.00
cardb,Caribbean Development Bank,mixed-project-aid,2015,3627497.30
