id,parent,oda-oof-flow,year,value
adaptation-fund,Adaptation Fund,oda,2010,20236898.24
adaptation-fund,Adaptation Fund,oda,2011,41690172.24
adaptation-fund,Adaptation Fund,oda,2012,21590726.31
adaptation-fund,Adaptation Fund,oda,2013,6131872.16
adaptation-fund,Adaptation Fund,oda,2014,11850893.11
afdb,African Development Bank and Fund,oda,2001,98769747.54
afdb,African Development Bank and Fund,oda,2002,134325865.82
afdb,African Development Bank and Fund,oda,2003,101424933.99
afdb,African Development Bank and Fund,oda,2004,164067450.49
afdb,African Development Bank and Fund,oda,2005,176637214.50
afdb,African Development Bank and Fund,oda,2006,189875421.37
afdb,African Development Bank and Fund,oda,2007,170086975.49
afdb,African Development Bank and Fund,oda,2008,162772674.17
afdb,African Development Bank and Fund,oda,2009,158771705.37
afdb,African Development Bank and Fund,oda,2010,119814092.84
afdb,African Development Bank and Fund,oda,2011,110837438.82
afdb,African Development Bank and Fund,oda,2012,103642731.51
afdb,African Development Bank and Fund,oda,2013,128904378.70
afdb,African Development Bank and Fund,oda,2014,123299526.83
afdb,African Development Bank and Fund,oda,2015,123730000.00
afdb,African Development Bank and Fund,oof,2000,674616713.92
afdb,African Development Bank and Fund,oof,2001,862601310.18
afdb,African Development Bank and Fund,oof,2002,921523723.06
afdb,African Development Bank and Fund,oof,2003,1157194509.30
afdb,African Development Bank and Fund,oof,2004,1071848207.97
afdb,African Development Bank and Fund,oof,2005,904281365.84
afdb,African Development Bank and Fund,oof,2006,857369829.02
afdb,African Development Bank and Fund,oof,2007,1349020898.10
afdb,African Development Bank and Fund,oof,2008,1029576672.08
afdb,African Development Bank and Fund,oof,2009,3443262851.83
afdb,African Development Bank and Fund,oof,2010,1919535124.07
afdb,African Development Bank and Fund,oof,2011,2700372477.30
afdb,African Development Bank and Fund,oof,2012,3178935584.72
afdb,African Development Bank and Fund,oof,2013,2074742807.67
afdb,African Development Bank and Fund,oof,2014,2731653290.43
afdb,African Development Bank and Fund,oof,2015,2376120000.00
afdf,African Development Bank and Fund,oda,2015,2158560000.00
afdf,African Development Bank and Fund,oda,2007,1588086304.95
afdf,African Development Bank and Fund,oda,2008,1612520782.39
afdf,African Development Bank and Fund,oda,2009,2856172141.51
afdf,African Development Bank and Fund,oda,2010,2149519530.10
afdf,African Development Bank and Fund,oda,2011,1973334819.58
afdf,African Development Bank and Fund,oda,2012,2203920482.30
afdf,African Development Bank and Fund,oda,2013,2049828137.66
afdf,African Development Bank and Fund,oda,2014,1803417060.67
afdf,African Development Bank and Fund,oda,2000,480063978.44
afdf,African Development Bank and Fund,oda,2001,738039263.40
afdf,African Development Bank and Fund,oda,2002,1113599945.98
afdf,African Development Bank and Fund,oda,2003,806492969.08
afdf,African Development Bank and Fund,oda,2004,1252221654.58
afdf,African Development Bank and Fund,oda,2005,1149018650.76
afdf,African Development Bank and Fund,oda,2006,9990863924.22
arab-fund-afesd,Arab Fund,oda,2009,839642354.33
arab-fund-afesd,Arab Fund,oda,2010,966671417.94
arab-fund-afesd,Arab Fund,oda,2011,735977588.49
arab-fund-afesd,Arab Fund,oda,2012,774105424.34
arab-fund-afesd,Arab Fund,oda,2013,807876408.58
arab-fund-afesd,Arab Fund,oda,2014,793848357.82
arab-fund-afesd,Arab Fund,oda,2015,618370000.00
arab-fund-afesd,Arab Fund,oda,2008,974504454.36
asdb,Asian Development Bank,oof,2009,7498720611.39
asdb,Asian Development Bank,oof,2015,9784580000.00
asdb,Asian Development Bank,oof,2014,6818497924.19
asdb,Asian Development Bank,oof,2013,5549245261.49
asdb,Asian Development Bank,oof,2012,6248685852.15
asdb,Asian Development Bank,oof,2011,4979948608.84
asdb,Asian Development Bank,oof,2010,4954947668.25
asdb,Asian Development Bank,oof,2008,5946761281.28
asdb,Asian Development Bank,oof,2007,5049898512.22
asdb,Asian Development Bank,oof,2006,4593235250.81
asdb,Asian Development Bank,oof,2005,3717872758.54
asdb,Asian Development Bank,oof,2004,2746580233.31
asdb,Asian Development Bank,oof,2003,3209115472.50
asdb,Asian Development Bank,oof,2002,4159097171.18
asdb,Asian Development Bank,oof,2001,4003161622.07
asdb,Asian Development Bank,oof,2000,3845969071.15
asdb-special-funds,Asian Development Bank,oda,2002,1584499992.56
asdb-special-funds,Asian Development Bank,oda,2003,1358731201.34
asdb-special-funds,Asian Development Bank,oda,2004,1187391905.08
asdb-special-funds,Asian Development Bank,oda,2005,1373638358.69
asdb-special-funds,Asian Development Bank,oda,2006,1546593084.41
asdb-special-funds,Asian Development Bank,oda,2007,1706311611.89
asdb-special-funds,Asian Development Bank,oda,2008,2141669791.81
asdb-special-funds,Asian Development Bank,oda,2015,2699530000.00
asdb-special-funds,Asian Development Bank,oda,2009,2648777669.54
