channel-code,channel-name,parent,aid-to-or-through,year,value
41107,International Atomic Energy Agency (Contributions to Technical Cooperation Fund Only),International Atomic Energy Agency,Earmarked contributions through,2015,3683069.94
41107,International Atomic Energy Agency (Contributions to Technical Cooperation Fund Only),International Atomic Energy Agency,Core contributions to,2015,60647235.89
41108,International Fund for Agricultural Development,International Fund for Agricultural Development,Core contributions to,2015,164083321.58
41108,International Fund for Agricultural Development,International Fund for Agricultural Development,Earmarked contributions through,2015,122212688.31
41110,Joint United Nations Programme on HIV/AIDS,The Joint United Nations Programme on HIV/AIDS,Core contributions to,2015,202647660.37
41110,Joint United Nations Programme on HIV/AIDS,The Joint United Nations Programme on HIV/AIDS,Earmarked contributions through,2015,10913783.73
41114,United Nations Development Programme,United Nations Development Programme,Earmarked contributions through,2015,1842647260.33
41114,United Nations Development Programme,United Nations Development Programme,Core contributions to,2015,764261927.10
41119,United Nations Population Fund,United Nations Population Fund,Core contributions to,2015,371637735.43
41119,United Nations Population Fund,United Nations Population Fund,Earmarked contributions through,2015,380558034.30
41121,United Nations Office of the United Nations High Commissioner for Refugees,United Nations High Commissioner for Refugees,Earmarked contributions through,2015,2324498337.70
41121,United Nations Office of the United Nations High Commissioner for Refugees,United Nations High Commissioner for Refugees,Core contributions to,2015,468478193.45
41122,United Nations Children's Fund,United Nations Children's Fund,Earmarked contributions through,2015,2001066902.79
41122,United Nations Children's Fund,United Nations Children's Fund,Core contributions to,2015,536551625.25
41130,United Nations Relief and Works Agency for Palestine Refugees in the Near East,United Nations Relief and Works Agency for Palestine Refugees in the Near East,Core contributions to,2015,245559445.52
41130,United Nations Relief and Works Agency for Palestine Refugees in the Near East,United Nations Relief and Works Agency for Palestine Refugees in the Near East,Earmarked contributions through,2015,735334646.58
41140,World Food Programme,World Food Programme,Earmarked contributions through,2015,3507773456.72
41140,World Food Programme,World Food Programme,Core contributions to,2015,375520749.30
41141,United Nations Peacebuilding Fund (Window Two:  Restricted Contributions Only),UN Peacebuilding Fund,Core contributions to,2015,12373051.29
41141,United Nations Peacebuilding Fund (Window Two:  Restricted Contributions Only),UN Peacebuilding Fund,Earmarked contributions through,2015,2218524.68
41143,World Health Organisation - core voluntary contributions account,World Health Organisation,Core contributions to,2015,139168751.82
41143,World Health Organisation - core voluntary contributions account,World Health Organisation,Earmarked contributions through,2015,301235809.10
41144,International Labour Organisation - Regular Budget Supplementary Account,International Labour Organisation,Earmarked contributions through,2015,27926843.86
41144,International Labour Organisation - Regular Budget Supplementary Account,International Labour Organisation,Core contributions to,2015,15309042.48
41301,Food and Agricultural Organisation,Food and Agriculture Organisation,Core contributions to,2015,200099096.29
41301,Food and Agricultural Organisation,Food and Agriculture Organisation,Earmarked contributions through,2015,345932496.32
41302,International Labour Organisation - Assessed Contributions,International Labour Organisation,Earmarked contributions through,2015,91155693.94
41302,International Labour Organisation - Assessed Contributions,International Labour Organisation,Core contributions to,2015,199769441.70
41307,World Health Organisation - assessed contributions,World Health Organisation,Earmarked contributions through,2015,230575620.06
41307,World Health Organisation - assessed contributions,World Health Organisation,Core contributions to,2015,318968935.30
41311,United Nations Peacebuilding Fund (Window One:  Flexible Contributions Only),UN Peacebuilding Fund,Earmarked contributions through,2015,554631.17
41311,United Nations Peacebuilding Fund (Window One:  Flexible Contributions Only),UN Peacebuilding Fund,Core contributions to,2015,27752588.56
41312,International Atomic Energy Agency - assessed contributions,International Atomic Energy Agency,Earmarked contributions through,2015,1066232.70
41312,International Atomic Energy Agency - assessed contributions,International Atomic Energy Agency,Core contributions to,2015,105389611.49
41314,United Nations Economic Commission for Europe (extrabudgetary contributions only),United Nations Economic Commission for Europe,Earmarked contributions through,2015,8448553.23
41314,United Nations Economic Commission for Europe (extrabudgetary contributions only),United Nations Economic Commission for Europe,Core contributions to,2015,1334050.51
42001,European Commission - Development Share of Budget,EU Institutions,Core contributions to,2015,8424048018.29
42001,European Commission - Development Share of Budget,EU Institutions,Earmarked contributions through,2015,31210499.63
