channel-code,channel-name,donor-code,donor-name,parent
30010,International drug purchase facility,,,
40999,"Multilateral Institutions, Other",,,
41101,Convention to Combat Desertification,,,
41103,Economic Commission for Africa,,,
41104,Economic Commission for Latin America and the Caribbean,,,
41105,Economic and Social Commission for Western Asia,,,
41106,Economic and Social Commission for Asia and the Pacific,,,
41107,International Atomic Energy Agency (Contributions to Technical Cooperation Fund Only),944,International Atomic Energy Agency [IAEA],International Atomic Energy Agency
41108,International Fund for Agricultural Development,988,IFAD,International Fund for Agricultural Development
41110,Joint United Nations Programme on HIV/AIDS,971,UNAIDS,The Joint United Nations Programme on HIV/AIDS
41111,United Nations Capital Development Fund,,,
41112,United Nations Conference on Trade and Development,,,
41114,United Nations Development Programme,959,UNDP,United Nations Development Programme
41116,United Nations Environment Programme,,,
41119,United Nations Population Fund,974,UNFPA,United Nations Population Fund
41120,United Nations Human Settlement Programme,,,
41121,United Nations Office of the United Nations High Commissioner for Refugees,967,UNHCR,United Nations High Commissioner for Refugees
41122,United Nations Children's Fund,963,UNICEF,United Nations Children's Fund
41123,United Nations Industrial Development Organisation,,,
41125,United Nations Institute for Training and Research,,,
41126,United Nations Mine Action Service,,,
41127,United Nations Office of Co-ordination of Humanitarian Affairs,,,
41128,United Nations Office on Drugs and Crime,,,
41129,United Nations Research Institute for Social Development,,,
41130,United Nations Relief and Works Agency for Palestine Refugees in the Near East,964,UNRWA,United Nations Relief and Works Agency for Palestine Refugees in the Near East
41131,United Nations System Staff College,,,
41132,United Nations System Standing Committee on Nutrition,,,
41134,United Nations University (including Endowment Fund),,,
41135,United Nations Volunteers,,,
41136,United Nations Voluntary Fund on Disability,,,
41137,United Nations Voluntary Fund for Technical Co-operation in the Field of Human Rights,,,
41138,United Nations Voluntary Fund for Victims of Torture,,,
41140,World Food Programme,966,WFP,World Food Programme
41141,United Nations Peacebuilding Fund (Window Two:  Restricted Contributions Only),923,UN Peacebuilding Fund [UNPBF],UN Peacebuilding Fund
41142,United Nations Democracy Fund,,,
41143,World Health Organisation - core voluntary contributions account,928,World Health Organisation [WHO],World Health Organisation
41144,International Labour Organisation - Regular Budget Supplementary Account,940,International Labour Organisation,International Labour Organisation
41145,International Maritime Organization - Technical Co-operation Fund,,,
41146,United Nations Entity for Gender Equality and the Empowerment of Women,,,
41147,Central Emergency Response Fund,,,
41148,"United Nations Department of Political Affairs, Trust Fund in Support of Political Affairs",,,
41301,Food and Agricultural Organisation,932,Food and Agriculture Organisation [FAO],Food and Agriculture Organisation
41302,International Labour Organisation - Assessed Contributions,940,International Labour Organisation,International Labour Organisation
41303,International Telecommunications Union,,,
41304,"United Nations Educational, Scientific and Cultural Organisation",,,
41305,United Nations,,,
41306,Universal Postal Union,,,
41307,World Health Organisation - assessed contributions,928,World Health Organisation [WHO],World Health Organisation
41308,World Intellectual Property Organisation,,,
41309,World Meteorological Organisation,,,
41310,United Nations Department of Peacekeeping Operations,,,
41311,United Nations Peacebuilding Fund (Window One:  Flexible Contributions Only),923,UN Peacebuilding Fund [UNPBF],UN Peacebuilding Fund
41312,International Atomic Energy Agency - assessed contributions,944,International Atomic Energy Agency [IAEA],International Atomic Energy Agency
41313,United Nations High Commissioner for Human Rights (extrabudgetary contributions only),,,
41314,United Nations Economic Commission for Europe (extrabudgetary contributions only),948,UNECE,United Nations Economic Commission for Europe
41315,United Nations International Strategy for Disaster Reduction,,,
41316,United Nations Framework Convention on Climate Change,,,
41317,Green Climate Fund,,,
41999,"United Nations Agencies, Funds and Commissions, Other",,,
42001,European Commission - Development Share of Budget,918,EU Institutions,EU Institutions
42003,European Commission - European Development Fund,918,EU Institutions,EU Institutions
42004,European Investment Bank,918,EU Institutions,EU Institutions
42999,"European Union Institutions, Other",918,EU Institutions,EU Institutions
43001,International Monetary Fund - Poverty Reduction and Growth Trust,958,IMF (Concessional Trust Funds),International Monetary Fund
43002,"International Monetary Fund - Poverty Reduction and Growth - Heavily Indebted Poor Countries Debt Relief Initiative Trust Fund [includes HIPC, Extended Credit Facility (ECF), and ECF-HIPC sub-accounts]",958,IMF (Concessional Trust Funds),International Monetary Fund
43003,International Monetary Fund - Subsidization of Emergency Post Conflict Assistance/Emergency Assistance for Natural Disasters for PRGT-eligible members,,,International Monetary Fund
43004,International Monetary Fund - Poverty Reduction and Growth - Multilateral Debt Relief Initiative Trust,958,IMF (Concessional Trust Funds),International Monetary Fund
43999,"International Monetary Fund, Other",,,International Monetary Fund
44001,International Bank for Reconstruction and Development,901,International Bank for Reconstruction and Development [IBRD],World Bank Group
44002,International Development Association,905,International Development Association [IDA],World Bank Group
44003,International Development Association - Heavily Indebted Poor Countries Debt Initiative Trust Fund,905,International Development Association [IDA],World Bank Group
44004,International Finance Corporation,903,International Finance Corporation [IFC],World Bank Group
44005,Multilateral Investment Guarantee Agency,,,World Bank Group
44006,Advance Market Commitments,,,World Bank Group
44007,International Development Association - Multilateral Debt Relief Initiative,905,International Development Association [IDA],World Bank Group
44999,"World Bank Group, Other",,,World Bank Group
45001,World Trade Organisation - International Trade Centre,,,
45002,World Trade Organisation - Advisory Centre on WTO Law,,,
45003,World Trade Organisation - Doha Development Agenda Global Trust Fund,,,
45999,"World Trade Organisation, Other",,,
46002,African Development Bank,913,African Development Bank [AfDB],African Development Bank and Fund
46003,African Development Fund,914,African Development Fund [AfDF],African Development Bank and Fund
46004,Asian Development Bank,915,Asian Development Bank [AsDB],Asian Development Bank
46005,Asian Development Fund,916,AsDB Special Funds,Asian Development Bank
46006,Black Sea Trade and Development Bank,,,
46007,Central American Bank for Economic Integration,,,
46008,Andean Development Corporation,,,
46009,Caribbean Development Bank,906,Caribbean Development Bank [CarDB],Caribbean Development Bank
46012,"Inter-American Development Bank, Inter-American Investment Corporation and Multilateral Investment Fund",909,Inter-American Development Bank [IDB],Inter-American Development Bank
46013,"Inter-American Development Bank, Fund for Special Operations",912,IDB Special Fund,Inter-American Development Bank
46015,European Bank for Reconstruction and Development,990,European Bank for Reconstruction and Development [EBRD],European Bank for Reconstruction and Development
46016,European Bank for Reconstruction and Development - technical co-operation and special funds (ODA-eligible countries only),990,European Bank for Reconstruction and Development [EBRD],European Bank for Reconstruction and Development
46017,European Bank for Reconstruction and Development - technical co-operation and special funds (all EBRD countries of operations),990,European Bank for Reconstruction and Development [EBRD],European Bank for Reconstruction and Development
46018,European Bank for Reconstruction and Development - Early Transition Countries Fund,990,European Bank for Reconstruction and Development [EBRD],European Bank for Reconstruction and Development
46019,European Bank for Reconstruction and Development - Western Balkans Joint Trust Fund,990,European Bank for Reconstruction and Development [EBRD],European Bank for Reconstruction and Development
46020,Central African States Development Bank,,,
46021,West African Development Bank,,,
46022,African Export Import Bank,,,
46024,Council of Europe Development Bank,1013,Council of Europe Development Bank [CEB],Council of Europe Development Bank
46999,"Regional Development Banks, Other",,,
47003,Association of South East Asian Nations: Economic Co-operation,,,
47005,African Union (excluding peacekeeping facilities),,,
47011,Caribbean Community Secretariat,,,
47015,CGIAR Fund,,,
47034,Economic Community of West African States,,,
47044,Global Environment Facility Trust Fund,811,Global Environment Facility [GEF],Global Environment Facility
47045,"Global Fund to Fight AIDS, Tuberculosis and Malaria",1312,Global Fund,Global Fund
47046,International Organisation of the Francophonie,,,
47066,International Organisation for Migration,,,
47078,Multilateral Fund for the Implementation of the Montreal Protocol,,,
47079,Organisation of American States,,,
47083,Pan-American Health Organisation,,,
47089,Southern African Development Community,,,
47096,Secretariat of the Pacific Community,,,
47107,International Finance Facility for Immunisation,,,
47111,Adaptation Fund,1012,Adaptation Fund,Adaptation Fund
47122,Global Alliance for Vaccines and Immunization,1311,Global Alliance for Vaccines and Immunization [GAVI],Global Alliance for Vaccines and Immunization
47128,Nordic Development Fund,104,Nordic Development Fund [NDF],Nordic Development Fund
47129,Global Environment Facility - Least Developed Countries Fund,811,Global Environment Facility [GEF],Global Environment Facility
