donor-code,donor-name,donor-type,parent
104,Nordic Development Fund [NDF],Multilateral,Nordic Development Fund
807,UNEP,Multilateral,United Nations Environment Programme
811,Global Environment Facility [GEF],Multilateral,Global Environment Facility
812,Montreal Protocol,Multilateral,Montreal Protocol
901,International Bank for Reconstruction and Development [IBRD],Multilateral,World Bank Group
903,International Finance Corporation [IFC],Multilateral,World Bank Group
905,International Development Association [IDA],Multilateral,World Bank Group
906,Caribbean Development Bank [CarDB],Multilateral,Caribbean Development Bank
907,IMF,Multilateral,International Monetary Fund
909,Inter-American Development Bank [IDB],Multilateral,Inter-American Development Bank
912,IDB Special Fund,Multilateral,Inter-American Development Bank
913,African Development Bank [AfDB],Multilateral,African Development Bank and Fund
914,African Development Fund [AfDF],Multilateral,African Development Bank and Fund
915,Asian Development Bank [AsDB],Multilateral,Asian Development Bank
916,AsDB Special Funds,Multilateral,Asian Development Bank
918,EU Institutions,Multilateral,EU Institutions
921,Arab Fund [AFESD],Multilateral,Arab Fund
923,UN Peacebuilding Fund [UNPBF],Multilateral,United Nations Peacebuilding Fund
928,World Health Organisation [WHO],Multilateral,World Health Organisation
932,Food and Agriculture Organisation [FAO],Multilateral,Food and Agriculture Organisation
940,International Labour Organisation,Multilateral,International Labour Organisation
944,International Atomic Energy Agency [IAEA],Multilateral,International Atomic Energy Agency
948,UNECE,Multilateral,United Nations Economic Commission for Europe
951,OPEC Fund for International Development [OFID],Multilateral,OPEC Fund for International Development
953,Arab Bank for Economic Development in Africa [BADEA],Multilateral,Arab Bank for Economic Development in Africa
958,IMF (Concessional Trust Funds),Multilateral,International Monetary Fund
959,UNDP,Multilateral,United Nations Development Programme
960,UNTA,Multilateral,United Nations Transitional Authorities
963,UNICEF,Multilateral,United Nations Children's Fund
964,UNRWA,Multilateral,United Nations Relief and Works Agency for Palestine Refugees in the Near East
966,WFP,Multilateral,World Food Programme
967,UNHCR,Multilateral,United Nations High Commissioner for Refugees
971,UNAIDS,Multilateral,The Joint United Nations Programme on HIV/AIDS
974,UNFPA,Multilateral,United Nations Population Fund
976,Islamic Development Bank [IsDB],Multilateral,Islamic Development Bank
978,OSCE,Multilateral,Organization for Security and Co-operation in Europe
988,IFAD,Multilateral,International Fund for Agricultural Development
990,European Bank for Reconstruction and Development [EBRD],Multilateral,European Bank for Reconstruction and Development
992,UN Agencies,Multilateral,UN Agencies
1011,Climate Investment Funds [CIF],Multilateral,Climate Investment Funds
1012,Adaptation Fund,Multilateral,Adaptation Fund
1013,Council of Europe Development Bank [CEB],Multilateral,Council of Europe Development Bank
1311,Global Alliance for Vaccines and Immunization [GAVI],Multilateral,Global Alliance for Vaccines and Immunization
1312,Global Fund,Multilateral,Global Fund
1313,Global Green Growth Institute [GGGI],Multilateral,Global Green Growth Institute
