parent,id-to,rank,year,total-value,sector,sector-value
Adaptation Fund,BZ,5,2014,1105293.23,water-and-sanitation,1105293.23
Adaptation Fund,CR,3,2014,1606276.42,environment,1606276.42
Adaptation Fund,CU,6,2014,901589.46,environment,901589.46
Adaptation Fund,IN,7,2014,532924.27,other,373078.19
Adaptation Fund,IN,7,2014,532924.27,water-and-sanitation,159846.08
Adaptation Fund,KE,1,2014,4910189.98,environment,4910189.98
Adaptation Fund,MM,2,2014,2433545.04,other,2433545.04
Adaptation Fund,SC,4,2014,1260229.03,environment,1260229.03
Adaptation Fund,UZ,8,2014,339729.50,other,339729.50
African Development Bank and Fund,CD,2,2014,224590557.31,water-and-sanitation,21949719.39
African Development Bank and Fund,CD,2,2014,224590557.31,debt-relief,123105264.46
African Development Bank and Fund,CD,2,2014,224590557.31,infrastructure,57119849.76
African Development Bank and Fund,CD,2,2014,224590557.31,other,17143894.38
African Development Bank and Fund,CD,2,2014,224590557.31,governance-and-security,3131305.81
African Development Bank and Fund,CD,2,2014,224590557.31,agriculture-and-food-security,2103574.68
African Development Bank and Fund,CD,2,2014,224590557.31,health,36948.84
African Development Bank and Fund,CM,8,2014,69137202.53,governance-and-security,627026.90
African Development Bank and Fund,CM,8,2014,69137202.53,other,294101.65
African Development Bank and Fund,CM,8,2014,69137202.53,water-and-sanitation,13021273.55
African Development Bank and Fund,CM,8,2014,69137202.53,infrastructure,55194800.43
African Development Bank and Fund,ET,4,2014,175073475.60,general-budget-support,82617006.60
African Development Bank and Fund,ET,4,2014,175073475.60,agriculture-and-food-security,1958419.81
African Development Bank and Fund,ET,4,2014,175073475.60,infrastructure,90498049.19
African Development Bank and Fund,GH,6,2014,104065885.25,governance-and-security,717412.88
African Development Bank and Fund,GH,6,2014,104065885.25,agriculture-and-food-security,12446754.25
African Development Bank and Fund,GH,6,2014,104065885.25,water-and-sanitation,13924312.62
African Development Bank and Fund,GH,6,2014,104065885.25,infrastructure,74816289.72
African Development Bank and Fund,GH,6,2014,104065885.25,other,30026.90
African Development Bank and Fund,GH,6,2014,104065885.25,education,2131088.88
African Development Bank and Fund,KE,1,2014,233748138.25,water-and-sanitation,51454274.00
African Development Bank and Fund,KE,1,2014,233748138.25,education,10989654.42
African Development Bank and Fund,KE,1,2014,233748138.25,agriculture-and-food-security,8020321.36
African Development Bank and Fund,KE,1,2014,233748138.25,other,7632992.76
African Development Bank and Fund,KE,1,2014,233748138.25,environment,3705868.99
African Development Bank and Fund,KE,1,2014,233748138.25,infrastructure,151945026.71
African Development Bank and Fund,MZ,7,2014,85498579.55,agriculture-and-food-security,19977099.69
African Development Bank and Fund,MZ,7,2014,85498579.55,infrastructure,29857657.07
African Development Bank and Fund,MZ,7,2014,85498579.55,general-budget-support,29043652.26
African Development Bank and Fund,MZ,7,2014,85498579.55,water-and-sanitation,6487769.46
African Development Bank and Fund,MZ,7,2014,85498579.55,other,125241.34
African Development Bank and Fund,MZ,7,2014,85498579.55,banking-and-business,7159.74
African Development Bank and Fund,other,11,2014,810636544.89,banking-and-business,11485309.91
African Development Bank and Fund,other,11,2014,810636544.89,infrastructure,247321783.93
African Development Bank and Fund,other,11,2014,810636544.89,water-and-sanitation,120821198.36
African Development Bank and Fund,other,11,2014,810636544.89,agriculture-and-food-security,96441401.64
African Development Bank and Fund,other,11,2014,810636544.89,debt-relief,219134.95
African Development Bank and Fund,other,11,2014,810636544.89,other,96127763.86
African Development Bank and Fund,other,11,2014,810636544.89,health,80189390.15
African Development Bank and Fund,other,11,2014,810636544.89,education,35330639.95
African Development Bank and Fund,other,11,2014,810636544.89,environment,23455952.72
African Development Bank and Fund,other,11,2014,810636544.89,governance-and-security,56508318.13
African Development Bank and Fund,other,11,2014,810636544.89,general-budget-support,38469361.48
African Development Bank and Fund,other,11,2014,810636544.89,industry-and-trade,346182.29
African Development Bank and Fund,other,11,2014,810636544.89,humanitarian,1132118.99
African Development Bank and Fund,other,11,2014,810636544.89,other-social-services,2787988.54
African Development Bank and Fund,RW,9,2014,62414472.26,water-and-sanitation,1001510.72
African Development Bank and Fund,RW,9,2014,62414472.26,other,51958896.76
African Development Bank and Fund,RW,9,2014,62414472.26,infrastructure,4683192.84
African Development Bank and Fund,RW,9,2014,62414472.26,agriculture-and-food-security,2197154.27
African Development Bank and Fund,RW,9,2014,62414472.26,education,1482607.13
African Development Bank and Fund,RW,9,2014,62414472.26,governance-and-security,1081757.18
African Development Bank and Fund,RW,9,2014,62414472.26,banking-and-business,9353.36
African Development Bank and Fund,SL,10,2014,59138737.22,governance-and-security,2629500.54
African Development Bank and Fund,SL,10,2014,59138737.22,health,24805587.07
African Development Bank and Fund,SL,10,2014,59138737.22,infrastructure,12211818.64
African Development Bank and Fund,SL,10,2014,59138737.22,water-and-sanitation,9832987.01
African Development Bank and Fund,SL,10,2014,59138737.22,general-budget-support,6008509.57
African Development Bank and Fund,SL,10,2014,59138737.22,agriculture-and-food-security,3512767.33
African Development Bank and Fund,SL,10,2014,59138737.22,banking-and-business,137567.06
African Development Bank and Fund,TZ,3,2014,181799025.69,health,6349911.17
