id,parent,region,year,value
gavi,Global Alliance for Vaccines and Immunization,south-of-sahara,2014,843980000.00
gavi,Global Alliance for Vaccines and Immunization,unspecified,2014,120420000.00
gef,Global Environment Facility,europe,2014,17560000.00
gef,Global Environment Facility,far-east-asia,2014,93249802.96
gef,Global Environment Facility,middle-east,2014,12644041.08
gef,Global Environment Facility,north-central-america,2014,60445688.73
gef,Global Environment Facility,north-of-sahara,2014,26782926.51
gef,Global Environment Facility,oceania,2014,17390000.00
gef,Global Environment Facility,south-america,2014,73014311.27
gef,Global Environment Facility,south-central-asia,2014,69406155.96
gef,Global Environment Facility,south-of-sahara,2014,152417073.49
gef,Global Environment Facility,unspecified,2014,82730000.00
gggi,Global Green Growth Institute,far-east-asia,2014,5750000.00
gggi,Global Green Growth Institute,middle-east,2014,40000.00
gggi,Global Green Growth Institute,north-central-america,2014,430000.00
gggi,Global Green Growth Institute,north-of-sahara,2014,270000.00
gggi,Global Green Growth Institute,oceania,2014,80000.00
gggi,Global Green Growth Institute,south-america,2014,1160000.00
gggi,Global Green Growth Institute,south-central-asia,2014,1130000.00
gggi,Global Green Growth Institute,south-of-sahara,2014,2430000.00
gggi,Global Green Growth Institute,unspecified,2014,4240000.00
global-fund,Global Fund,europe,2014,91270000.00
global-fund,Global Fund,far-east-asia,2014,288260000.00
global-fund,Global Fund,middle-east,2014,20090000.00
global-fund,Global Fund,north-central-america,2014,76690691.21
global-fund,Global Fund,north-of-sahara,2014,11520000.00
global-fund,Global Fund,oceania,2014,21250000.00
global-fund,Global Fund,south-america,2014,30349308.79
global-fund,Global Fund,south-central-asia,2014,379260000.00
global-fund,Global Fund,south-of-sahara,2014,1968460000.00
iaea,International Atomic Energy Agency,europe,2014,7290000.00
iaea,International Atomic Energy Agency,far-east-asia,2014,6139366.52
iaea,International Atomic Energy Agency,middle-east,2014,4503167.42
iaea,International Atomic Energy Agency,north-central-america,2014,4500000.00
iaea,International Atomic Energy Agency,north-of-sahara,2014,3481053.29
iaea,International Atomic Energy Agency,oceania,2014,40000.00
iaea,International Atomic Energy Agency,south-america,2014,9190000.00
iaea,International Atomic Energy Agency,south-central-asia,2014,11757466.06
iaea,International Atomic Energy Agency,south-of-sahara,2014,22708946.71
iaea,International Atomic Energy Agency,unspecified,2014,4460000.00
ida,World Bank Group,europe,2014,94750000.00
ida,World Bank Group,far-east-asia,2014,1456410000.00
ida,World Bank Group,middle-east,2014,240910000.00
ida,World Bank Group,north-central-america,2014,238490000.00
ida,World Bank Group,oceania,2014,76460000.00
ida,World Bank Group,south-america,2014,42330000.00
ida,World Bank Group,south-central-asia,2014,4747120000.00
ida,World Bank Group,south-of-sahara,2014,6862810000.00
idb-special-fund,Inter-American Development Bank,north-central-america,2014,1241646141.55
idb-special-fund,Inter-American Development Bank,south-america,2014,696753858.45
ifad,International Fund for Agricultural Development,europe,2014,5970000.00
ifad,International Fund for Agricultural Development,far-east-asia,2014,79220000.00
ifad,International Fund for Agricultural Development,middle-east,2014,10620000.00
ifad,International Fund for Agricultural Development,north-central-america,2014,11850000.00
ifad,International Fund for Agricultural Development,north-of-sahara,2014,11960000.00
ifad,International Fund for Agricultural Development,oceania,2014,1770000.00
ifad,International Fund for Agricultural Development,south-america,2014,6060000.00
ifad,International Fund for Agricultural Development,south-central-asia,2014,102520000.00
ifad,International Fund for Agricultural Development,south-of-sahara,2014,300620000.00
imf-concessional-trust-funds,International Monetary Fund,middle-east,2014,74090000.00
imf-concessional-trust-funds,International Monetary Fund,north-central-america,2014,14270000.00
imf-concessional-trust-funds,International Monetary Fund,oceania,2014,450000.00
imf-concessional-trust-funds,International Monetary Fund,south-central-asia,2014,153400000.00
imf-concessional-trust-funds,International Monetary Fund,south-of-sahara,2014,589870000.00
islamic-dev-bank,Islamic Development Bank,europe,2014,5100000.00
islamic-dev-bank,Islamic Development Bank,far-east-asia,2014,620000.00
islamic-dev-bank,Islamic Development Bank,middle-east,2014,14420000.00
islamic-dev-bank,Islamic Development Bank,north-of-sahara,2014,19150000.00
islamic-dev-bank,Islamic Development Bank,south-central-asia,2014,50550000.00
islamic-dev-bank,Islamic Development Bank,south-of-sahara,2014,156060000.00
montreal-protocol,Montreal Protocol,far-east-asia,2014,43270000.00
montreal-protocol,Montreal Protocol,middle-east,2014,400000.00
montreal-protocol,Montreal Protocol,south-america,2014,40000.00
montreal-protocol,Montreal Protocol,south-central-asia,2014,1080000.00
nordic-dev-fund,Nordic Development Fund,far-east-asia,2014,6690000.00
nordic-dev-fund,Nordic Development Fund,north-central-america,2014,8560000.00
nordic-dev-fund,Nordic Development Fund,south-america,2014,5310000.00
nordic-dev-fund,Nordic Development Fund,south-central-asia,2014,6160000.00
nordic-dev-fund,Nordic Development Fund,south-of-sahara,2014,22760000.00
nordic-dev-fund,Nordic Development Fund,unspecified,2014,120000.00
ofid,OPEC Fund for International Development,europe,2014,7760000.00
ofid,OPEC Fund for International Development,far-east-asia,2014,47002295.33
ofid,OPEC Fund for International Development,middle-east,2014,17526958.63
ofid,OPEC Fund for International Development,north-central-america,2014,60680000.00
ofid,OPEC Fund for International Development,north-of-sahara,2014,52738452.39
ofid,OPEC Fund for International Development,oceania,2014,1180000.00
ofid,OPEC Fund for International Development,south-america,2014,21380000.00
ofid,OPEC Fund for International Development,south-central-asia,2014,72000746.04
ofid,OPEC Fund for International Development,south-of-sahara,2014,176371547.61
ofid,OPEC Fund for International Development,unspecified,2014,3640000.00
osce,Organization for Security and Co-operation in Europe,europe,2014,62660000.00
osce,Organization for Security and Co-operation in Europe,south-central-asia,2014,26690000.00
osce,Organization for Security and Co-operation in Europe,unspecified,2014,41160000.00
unaids,The Joint United Nations Programme on HIV/AIDS,europe,2014,4420000.00
unaids,The Joint United Nations Programme on HIV/AIDS,far-east-asia,2014,6516455.70
unaids,The Joint United Nations Programme on HIV/AIDS,middle-east,2014,3120000.00
unaids,The Joint United Nations Programme on HIV/AIDS,north-central-america,2014,5880000.00
unaids,The Joint United Nations Programme on HIV/AIDS,north-of-sahara,2014,886634.54
unaids,The Joint United Nations Programme on HIV/AIDS,oceania,2014,1640000.00
unaids,The Joint United Nations Programme on HIV/AIDS,south-america,2014,5800000.00
unaids,The Joint United Nations Programme on HIV/AIDS,south-central-asia,2014,7003544.30
unaids,The Joint United Nations Programme on HIV/AIDS,south-of-sahara,2014,42813365.46
unaids,The Joint United Nations Programme on HIV/AIDS,unspecified,2014,160590000.00
undp,United Nations Development Programme,europe,2014,5670000.00
undp,United Nations Development Programme,far-east-asia,2014,36900000.00
undp,United Nations Development Programme,middle-east,2014,12740000.00
undp,United Nations Development Programme,north-central-america,2014,11670000.00
undp,United Nations Development Programme,north-of-sahara,2014,4080000.00
undp,United Nations Development Programme,oceania,2014,4140000.00
undp,United Nations Development Programme,south-america,2014,8670000.00
undp,United Nations Development Programme,south-central-asia,2014,77050000.00
undp,United Nations Development Programme,south-of-sahara,2014,236800000.00
undp,United Nations Development Programme,unspecified,2014,65230000.00
unece,United Nations Economic Commission for Europe,europe,2014,13870000.00
unece,United Nations Economic Commission for Europe,south-central-asia,2014,140000.00
unfpa,United Nations Population Fund,europe,2014,4610000.00
unfpa,United Nations Population Fund,far-east-asia,2014,36681131.11
unfpa,United Nations Population Fund,middle-east,2014,20500565.55
unfpa,United Nations Population Fund,north-central-america,2014,18080847.74
unfpa,United Nations Population Fund,north-of-sahara,2014,5740000.00
unfpa,United Nations Population Fund,oceania,2014,1960000.00
unfpa,United Nations Population Fund,south-america,2014,15179152.26
unfpa,United Nations Population Fund,south-central-asia,2014,55138303.34
unfpa,United Nations Population Fund,south-of-sahara,2014,149080000.00
unfpa,United Nations Population Fund,unspecified,2014,33040000.00
unhcr,United Nations High Commissioner for Refugees,europe,2014,990000.00
unhcr,United Nations High Commissioner for Refugees,middle-east,2014,3650000.00
unhcr,United Nations High Commissioner for Refugees,north-central-america,2014,3750000.00
unhcr,United Nations High Commissioner for Refugees,north-of-sahara,2014,21830951.13
unhcr,United Nations High Commissioner for Refugees,south-of-sahara,2014,69048.87
unhcr,United Nations High Commissioner for Refugees,unspecified,2014,449790000.00
unicef,United Nations Children's Fund,europe,2014,10940000.00
unicef,United Nations Children's Fund,far-east-asia,2014,40122828.16
unicef,United Nations Children's Fund,middle-east,2014,39430709.37
unicef,United Nations Children's Fund,north-central-america,2014,18178066.47
unicef,United Nations Children's Fund,north-of-sahara,2014,8740000.00
unicef,United Nations Children's Fund,oceania,2014,7060000.00
unicef,United Nations Children's Fund,south-america,2014,16601933.53
unicef,United Nations Children's Fund,south-central-asia,2014,178506462.47
unicef,United Nations Children's Fund,south-of-sahara,2014,535880000.00
unicef,United Nations Children's Fund,unspecified,2014,486940000.00
unpbf,United Nations Peacebuilding Fund,europe,2014,190000.00
unpbf,United Nations Peacebuilding Fund,far-east-asia,2014,30000.00
unpbf,United Nations Peacebuilding Fund,middle-east,2014,4580000.00
unpbf,United Nations Peacebuilding Fund,north-central-america,2014,4430000.00
unpbf,United Nations Peacebuilding Fund,north-of-sahara,2014,360000.00
unpbf,United Nations Peacebuilding Fund,oceania,2014,190000.00
unpbf,United Nations Peacebuilding Fund,south-america,2014,1850000.00
unpbf,United Nations Peacebuilding Fund,south-central-asia,2014,8800000.00
unpbf,United Nations Peacebuilding Fund,south-of-sahara,2014,44580000.00
unpbf,United Nations Peacebuilding Fund,unspecified,2014,10000.00
unrwa,United Nations Relief and Works Agency for Palestine Refugees in the Near East,middle-east,2014,680100000.00
wfp,World Food Programme,europe,2014,2740000.00
wfp,World Food Programme,far-east-asia,2014,9970000.00
