"id","entity-name","2005","2006","2007","2008","2009","2010","2000","2001","2002","2003","2004","2011","2012","2013"
"BR","Brazil",431563867.1,523508668.6,506026668,495974098.8,528322305.4,933508336.4,,,,,,,,
"BG","Bulgaria",,,,,,240000,,,,,,6710000,160000,350000
"CN","China",2217123502,2576470160,3501965409,3265859942,4168506166,4534580713,,1598155211,1708448578,1749179536,1893667572,5006094367,6002804288,7118213402
"HR","Croatia",,,,,,,,,,,,,14520000,24143605.21
"CY","Cyprus",5107982.833,16299742.49,22443261.8,22114678.11,24394849.79,31593819.74,,,,,,17673819.74,9280000,3265922.747
"EE","Estonia",2792448.759,2523408.846,2866666.667,5566343.042,3590291.262,5037540.453,556634.3042,565911.5426,426752.9666,816396.9795,918446.6019,6892988.134,8600000,10613160.73
"HU","Hungary",45225044.48,98187735.77,31841530.25,13586881.67,28684492.88,27745129,,,,19155275.8,42174532.92,30737535.59,21770000,33197313.17
"IN","India",,,,898847383.3,784077979.5,754397368.5,,,,,,803242342.3,1056650733,1302264917
"IL","Israel",108184423.2,100301131.9,117158542,123721840.4,118056870.6,131238467,208540554.8,114646888.7,179995707,144401730.1,102785285.3,182076529.2,156300000,170618257
"KW","Kuwait",255942261.7,180313462,116641234.4,287027359.6,231223391.9,218749563.8,244224423.2,114651788.1,30697155.83,150581187.6,120242132.1,141210895.7,148920000,184491299.2
"LV","Latvia",1100000,1040000,1560000,4340000,2100000,1670000,,,110000,110000,260000,1260000,1160000,1450000
"LI","Liechtenstein",,,17833000.42,21214606.74,22149521.43,22636870.58,,,,,,25232750.73,23900000,23581731.17
"LT","Lithuania",1472656.743,9472764.998,25383428.06,15104682,8308570.14,17015155.62,,656725.3045,766179.5219,875633.7393,975137.5733,20109724.85,22060000,17622129
"MT","Malta",,,,,7939458.086,8725444.539,,,,,,13013547.84,11750000,11909187.13
"MX","Mexico",,,,,,,,,,,,262020446,276796020.9,
"RO","Romania",,,,27161202.05,35510830.56,27699244.94,,,,,,28008121.41,32990000,20076970.7
"RU","Russian Federation",,,,,,368143562.2,,,,,,268120785.5,214710000,350947752.7
"SA","Saudi Arabia",1152905008,2279011690,1632012142,5042979592,3070477496,2981597373,191905465.2,172438380.7,3631700513,3097952247,2050360486,4667942278,957130000,5359615651
"ZA","South Africa",101968561,132383600.6,200398021.8,283408901.2,359978252.3,277603822.1,53784902.66,90655511.34,151365811,128183273.6,98515938.9,264099533.2,286094352.7,304816594.2
"TW","Taiwan",547210185.1,568577733.6,529503371.1,414359342.1,422217984.3,338667686.2,,,,,497292885.9,324522130.3,241320000,230685964
"TH","Thailand",,74780000,65170000,170050000,36670000,-4620000,,,,,,13940000,5080000,27720000
"TR","Turkey",668961477.4,788088171.4,571942420.8,694095636.4,704107209.3,893695734.5,46991256.7,44365598.94,56110907.71,44776484.31,419012888.5,1223225805,2422500000,3163486677
"AE","UAE",598302210.2,896756990.5,2584568859,1279884873,993844570.3,396169052.4,592472976.5,759760049.1,840195517.3,1225611324,587210750.1,644896290.5,695350000,5353007269
