"district_id","district_name","year","budget_type","value"
"d117","Buikwe",2012,"actual",10.7127335
"d117","Buikwe",2013,"actual",16.37678158
"d117","Buikwe",2014,"actual",15.39170955
"d117","Buikwe",2015,"actual",14.55958521
"d117","Buikwe",2015,"approved",14.55958521
"d117","Buikwe",2016,"approved",15.25741766
"d117","Buikwe",2016,"proposed",13.59514039
"d117","Buikwe",2016,"actual",14.90817386
"d117","Buikwe",2017,"actual",7.656333913
"d117","Buikwe",2017,"approved",12.23080193
"d117","Buikwe",2018,"approved",19
"d117","Buikwe",2019,"proposed",22
"d219","Bukedea",2012,"actual",9.885534397
"d219","Bukedea",2013,"actual",10.08374704
"d219","Bukedea",2014,"actual",9.392423431
"d219","Bukedea",2015,"actual",8.776914271
"d219","Bukedea",2015,"approved",8.776914271
"d219","Bukedea",2016,"approved",10.27691153
"d219","Bukedea",2016,"actual",10.39112456
"d219","Bukedea",2016,"proposed",9.70007138
"d219","Bukedea",2017,"approved",7.527529245
"d219","Bukedea",2019,"proposed",11
"d118","Bukomansimbi",2012,"actual",7.668945536
"d118","Bukomansimbi",2013,"actual",8.557999055
"d118","Bukomansimbi",2014,"actual",13.06158508
"d118","Bukomansimbi",2015,"approved",12.70509304
"d118","Bukomansimbi",2015,"actual",12.70509304
"d118","Bukomansimbi",2016,"proposed",13.29254936
"d118","Bukomansimbi",2019,"proposed",13
"d220","Bukwo",2012,"actual",13.06955195
"d220","Bukwo",2013,"actual",13.10043629
"d220","Bukwo",2014,"actual",21.20682569
"d220","Bukwo",2015,"approved",18.53905897
"d220","Bukwo",2016,"actual",18.55433687
"d220","Bukwo",2019,"proposed",19
"d225","Bulambuli",2012,"actual",10.71139213
"d225","Bulambuli",2013,"actual",10.11251604
"d225","Bulambuli",2014,"actual",14.22817153
"d225","Bulambuli",2015,"actual",15.17112572
"d225","Bulambuli",2015,"approved",15.17112572
"d225","Bulambuli",2016,"actual",17.44626717
"d225","Bulambuli",2016,"approved",18.37671896
"d225","Bulambuli",2016,"proposed",18.20714259
"d225","Bulambuli",2017,"approved",18.61986263
"d225","Bulambuli",2019,"proposed",20
"d416","Buliisa",2012,"actual",10.1534823
"d416","Buliisa",2013,"actual",9.515640926
"d416","Buliisa",2014,"actual",10.69809263
"d416","Buliisa",2015,"approved",16.18196719
"d416","Buliisa",2015,"actual",16.18196719
"d416","Buliisa",2016,"actual",19.79846047
"d416","Buliisa",2016,"proposed",14.13634507
"d416","Buliisa",2016,"approved",14.93436235
"d416","Buliisa",2017,"approved",24.76890799
"d416","Buliisa",2019,"proposed",33
"d401","Bundibugyo",2012,"actual",18.7051754
"d401","Bundibugyo",2013,"actual",24.65133225
"d401","Bundibugyo",2014,"actual",22.68898763
"d401","Bundibugyo",2015,"actual",20.24982263
"d401","Bundibugyo",2015,"approved",20.24982263
"d401","Bundibugyo",2016,"actual",21.36191925
"d401","Bundibugyo",2016,"approved",24.39298697
"d401","Bundibugyo",2016,"proposed",22.88823785
"d401","Bundibugyo",2017,"approved",20.86433675
"d401","Bundibugyo",2019,"proposed",24
"d402","Bushenyi",2012,"actual",13.28731371
