"district_id","2012","2013","2014","2015","2016","2017","2018","2019"
"d326",12.48678059,9.816137181,21.67556352,12.56586737,17.81444662,,,20
"d307",13.59318349,9.358998316,,7.554961831,11.05680913,6.326207242,8,12
"d229",8.858863083,9.243661384,10.42572142,8.416299222,10.38811987,9.092558348,9,13
"d104",12.23855642,14.79602604,13.4123867,12.67770774,13.90417224,13.46035963,12,16
"d124",8.347829495,10.38915721,11.4592301,11.95487301,13.66597308,10.02736604,10,14
"d114",22.46126065,23.44616132,27.55785192,23.85940802,21.9132148,28.26161796,30,31
"d223",13.57432612,12.53960891,13.31732323,11.00367592,11.76881467,,,14
"d320",15.21436058,16.87182192,17.79465381,,21.84280381,19.51052445,16,21
"d105",11.94556177,12.03968353,,9.246671963,9.321170995,2.031931348,12,15
"d409",13.78173611,13.64330182,,13.56154567,17.58473972,5.979285405,21,26
"d214",9.741406085,10.41359121,12.35422966,10.29111864,13.37481904,23.45048087,11,16
"d209",11.03310787,11.72512391,,11.83878953,11.69924182,11.9702801,11,16
"d410",8.153230952,9.001535263,,7.570049667,8.028406495,3.063101922,9,11
"d423",7.407170265,7.22918777,8.893984237,7.393282028,8.837934606,7.488323816,8,10
"d115",16.94042554,17.89300309,21.56414752,20.79785386,18.32286752,17.48683904,22,27
"d308",17.83389172,13.99345976,12.4265045,10.0256767,6.824830364,4.208596909,,18
"d309",24.4581326,26.6993523,27.34465892,23.32377879,23.34170252,32.36203268,25,30
"d106",13.51350977,14.63161615,14.19281621,13.22752994,14.06336168,12.68649387,14,16
"d107",14.85294053,12.37909743,14.13371834,12.72688485,13.19838502,11.97789969,10,15
"d108",8.388342149,,,10.73324783,3.055404241,9.365249582,10,12
"d311",18.66601712,15.6003953,15.63856568,16.17204937,14.01973811,20.26730443,13,19
"d116",14.99697723,16.73294839,15.64820866,17.92060991,19.12923355,,,28
"d109",17.15576459,16.57220508,,14.91764246,14.7105585,,,18
"d230",5.308391898,8.609012649,11.02519111,11.7043136,12.15913497,13.68896619,,16
"d224",11.11849795,12.6682259,13.90576376,10.89929209,11.07283947,9.854633894,8,12
"d327",29.01034779,25.39541356,26.44523015,21.71290556,24.04630175,29.44399689,,23
"d310",18.9750024,12.27936959,14.98737956,14.98737956,15.03653221,17.99965128,15,20
"d231",14.96168701,13.51023383,15.17810808,14.4761382,14.57028493,14.30529886,12,17
"d424",9.936632041,14.3668656,19.13906842,18.8833016,16.8031917,,,15
"d411",14.8765407,,,13.34441812,18.98724607,15.96807223,12,18
"d328",17.30753993,,9.240959889,16.23276773,18.97926378,,,25
"d329",17.42927772,17.10486219,21.84496479,17.13982853,16.88881517,16.83399486,,14
