"series","country-year"
"id","gdp-pc-usd-2005"
"type","simple"
"parent",
"name","Gross domestic product (2005 US$) per capita"
"columns","id, year, value"
"description","GDP (constant 2005 US$) per capita"
"default-scale","log"
"themes",
"map-theme",
"theme-order",
"global-picture-color-ramp",
"uom","USD"
"uom_display","USD"
"source","Development Initiatives calculations based on World Bank World Development Indicators"
"calculation","Total GDP divided by the population of each country in each year"
"format",
"highorlow","highisbetter"
"range",
"interpolated",
"missing-donor","NA"
"missing-recipient","NA"
"laymans-decription",
"laymans-heading",
"source-link",
