"series","country-year"
"id","in-oof-and-repayments"
"type","composite"
"parent",
"name","Gross Other Official Flows received by recipients with capital and interest repayments"
"columns","id, year, in-oof-gross, capital-repayment, interest-repayment"
"description","Gross OOF received by recipients with capital and interest repayments"
"default-scale","lin"
"theme",
"uom","USD"
"uom_display","USD"
"source","Development Initiatives based on OECD-DAC data"
"calculation",
"format",
"highorlow",
"range",
"interpolated",
"missing-donor","NR"
"missing-recipient","NA"
"laymans-decription",
"laymans-heading",
"theme-order",
