"district_id","2013","2016"
"d18974",25.9259259259259,48.4
"d18975",27.5242047026279,27.8
"d18987",72.2775932078258,75.7
"d18988",62.2568093385214,74.9
"d18976",36.4690721649485,44.2
"d18955",51.0250569476082,65.9
"d18965",64.0973630831643,59.8
"d18968",28.3567619970916,33.9
"d18956",60.828025477707,75
"d18991",67.2622478386167,87.3
"d18989",61.2032611751476,89.9
"d18977",43.888537048765,66.4
"d18943",75.9002770083103,93.2
"d18949",67.9519278918378,78.4
"d18944",53.8910505836576,63.7
"d18969",50.9387755102041,89.4
"d18970",54.8301720335245,79.9
"d18957",27.2151898734177,53.2
"d18950",51.4754098360656,60.6
"d18978",54.0252182347236,64.2
"d18951",54.9549549549549,75
"d18958",39.3572778827977,68.4
"d18959",36.8900804289544,53.1
"d18966",37.609561752988,32.8
"d18960",38.2456140350877,42.9
"d18961",61.3892365456821,70.2
"d18971",28.8013318534961,60.9
"d18952",73.948641607741,82.6
"d18946",43.1533646322379,67.8
"d18964",82.6598984771574,97.1
"d18979",61.6398243045388,72.3
"d18980",37.5730045425049,44.8
"d18981",21.3947990543735,34.5
"d18962",48.1981981981982,59.3
"d18972",48.8549618320611,83.6
"d18947",59.277275886032,81.9
"d18948",65.0966782350025,82.7
"d18982",35.2320675105485,42
"d18973",36.1125062782521,57.1
"d18953",66.1040787623066,79.9
"d18954",42.3157894736842,67.2
"d18983",66.1375661375661,79.8
"d18984",44.3181818181818,63.3
"d18985",77.3109243697479,69.3
"d18990",63.2603406326034,88.3
"d18967",45.9367945823928,44.7
"d18986",23.9872068230277,37.2
