di_id,dhs_id,di_region_id,region_name,year,value
TG,TG,1,Centrale,2013,0.8281111
TG,TG,2,Greater Lomé area,2013,0.140333246
TG,TG,3,Kara,2013,0.798832424
TG,TG,4,Maritime (excluding Greater Lomé area),2013,0.870360531
TG,TG,5,Plateaux,2013,0.844685173
TG,TG,6,Savanes,2013,0.910451351
CF,CF,7,Region 1,1994,0.926800472
CF,CF,8,Region 2,1994,0.906354515
CF,CF,9,Region 3,1994,0.981684982
CF,CF,10,Region 4,1994,0.941317365
CF,CF,11,Region 5,1994,0.971120535
CF,CF,12,Bangui,1994,
SZ,SZ,13,Hhohho,2006,0.490033908
SZ,SZ,14,Manzini,2006,0.416734002
SZ,SZ,15,Shiselweni,2006,0.744603148
SZ,SZ,16,Lubombo,2006,0.580890825
CM,CM,17,Adamawa,2011,0.431779339
CM,CM,18,Centre,2011,0.28393028
CM,CM,19,Douala,2011,0
CM,CM,20,East,2011,0.515554041
CM,CM,21,Far North,2011,0.81458782
CM,CM,22,Littoral,2011,0.155869449
CM,CM,23,North,2011,0.700010622
CM,CM,24,Northwest,2011,0.449820399
CM,CM,25,South,2011,0.361115076
CM,CM,26,Southwest,2011,0.227992681
CM,CM,27,West,2011,0.375550705
CM,CM,28,Yaounde,2011,0.000916152
ML,ML,29,Bamako,2012,0.034753756
ML,ML,30,Gao,2012,
ML,ML,31,Kayes,2012,0.707995674
ML,ML,32,Kidal,2012,
ML,ML,33,Koulikoro,2012,0.698709166
ML,ML,34,Mopti,2012,0.903919779
ML,ML,35,Mopti (Not Surveyed),2012,
ML,ML,36,Segou,2012,0.85471262
ML,ML,37,Sikasso,2012,0.768274375
ML,ML,38,Tombouctou,2012,
ET,ET,39,Tigray,2005,0.554533502
ET,ET,40,Affar,2005,0.709892019
ET,ET,41,Amhara,2005,0.434388637
ET,ET,42,Oromiya,2005,0.448602885
ET,ET,43,Somali,2005,0.798790318
ET,ET,44,Benishangul-Gumuz,2005,0.425795475
ET,ET,45,SNNP,2005,0.325706937
ET,ET,46,Gambela,2005,0.593401906
ET,ET,47,Harari,2005,0.116734568
ET,ET,48,Addis Ababa,2005,0.002361734
ET,ET,49,Dire Dawa,2005,0.190315724
GY,GY,50,Region 1,2009,0.623046507
GY,GY,51,Region 2,2009,0.230807845
GY,GY,52,Region 3,2009,0.090170538
GY,GY,53,Region 4,2009,0.050733992
GY,GY,54,Region 5,2009,0.109047844
GY,GY,55,Region 6,2009,0.065401522
GY,GY,56,Region 7,2009,0.384620088
GY,GY,57,Region 8,2009,0.618643068
GY,GY,58,Region 9,2009,0.7434085
GY,GY,59,Region 10,2009,0.053091163
KG,KY,60,Bishkek City,2012,0.003924124
KG,KY,61,Batken,2012,0.047730011
KG,KY,62,Osh City,2012,0.008023954
KG,KY,63,Djalal-Abad,2012,0.1503334
KG,KY,64,Naryn,2012,0.358511099
KG,KY,65,Talas,2012,0.210849426
KG,KY,66,Issyk-Kul,2012,0.254507092
KG,KY,67,Chui,2012,0.05927843
KG,KY,68,Osh Oblast,2012,0.216676638
BJ,BJ,69,Alibori,2012,0.947650261
BJ,BJ,70,Atacora,2012,0.911035154
BJ,BJ,71,Atlantique,2012,0.594925581
BJ,BJ,72,Borgou,2012,0.717676776
BJ,BJ,73,Collines,2012,0.855916039
BJ,BJ,74,Couffo,2012,0.915201765
BJ,BJ,75,Donga,2012,0.833300512
BJ,BJ,76,Littoral,2012,0.070879399
BJ,BJ,77,Mono,2012,0.800190377
BJ,BJ,78,Oueme,2012,0.549121456
BJ,BJ,79,Plateau,2012,0.824007382
BJ,BJ,80,Zou,2012,0.779921364
HN,HN,81,Atlantida,2011,0.176242063
HN,HN,82,Colon,2011,0.181565257
HN,HN,83,Comayagua,2011,0.301351548
HN,HN,84,Copan,2011,0.46357362
HN,HN,85,El Paraiso,2011,0.539889688
HN,HN,86,Choluteca,2011,0.48189155
HN,HN,87,Intibuca,2011,0.659587821
HN,HN,88,La Paz,2011,0.586851245
HN,HN,89,Lempira,2011,0.756642064
HN,HN,90,Ocotepeque,2011,0.40032803
HN,HN,91,Olancho,2011,0.446253041
HN,HN,92,Santa Barbara,2011,0.299080877
HN,HN,93,Valle,2011,0.366273063
HN,HN,94,Yoro,2011,0.293849539
HN,HN,95,Resto Francisco Morazan,2011,0.154007863
HN,HN,96,Resto Cortes,2011,0.039408464
HN,HN,97,Gracias a Dios,2011,0.732581806
HN,HN,98,Islas de la Bahia,2011,0.013341558
HN,HN,99,Distrito Central,2011,
HN,HN,100,San Pedro Sula,2011,
LS,LS,101,Butha-Buthe,2009,0.786352113
LS,LS,102,Leribe,2009,0.671999448
LS,LS,103,Berea,2009,0.597665081
LS,LS,104,Maseru,2009,0.485888783
LS,LS,105,Mafeteng,2009,0.75430983
LS,LS,106,Mohale's Hoek,2009,0.773091148
LS,LS,107,Quthing,2009,0.831473116
LS,LS,108,Qacha's Nek,2009,0.807500115
LS,LS,109,Mokhotlong,2009,0.916381052
LS,LS,110,Thaba-Tseka,2009,0.922778098
UG,UG,111,Kampala,2011,0.007520464
UG,UG,112,Central 1,2011,0.295199112
UG,UG,113,Central 2,2011,0.377290661
UG,UG,114,East Central,2011,0.509218642
UG,UG,115,Eastern,2011,0.759813396
UG,UG,116,North,2011,0.854777052
UG,UG,117,Karamoja,2011,0.884285798
UG,UG,118,West Nile,2011,0.855287626
UG,UG,119,Western,2011,0.566890487
