"id","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013"
"AF",,,,,,,,,,,,,,
"AG",,,,,,,,,,,,,,
"AL",,,1.2485,1.2485625,1.248625,1.249,1.2492083333,1.2494166667,1.249625,1.24940625,1.2491875,1.24896875,1.24875,
"AM",,1.196375,1.211125,1.225875,1.22825,1.239125,1.24325,1.242,1.246125,1.246875,1.24525,1.245,1.246125,
"AO",0.87575,0.8944861111,0.9132222222,0.9319583333,0.9506944444,0.9694305556,0.9881666667,1.0069027778,1.0256388889,1.044375,,,,
"AR",1.215875,1.192875,1.188125,1.19425,1.214125,1.2245,1.22825,1.2295,1.233625,1.23275,1.238875,1.24025,,
"AZ",,1.23625,1.238,1.23975,1.2415,1.24325,1.245,1.24675,1.2485,,,,,
"BA",,1.248875,1.249125,1.249375,1.249625,1.2497083333,1.2497916667,1.249875,,,,,,
"BD",1.017375,1.028475,1.039575,1.050675,1.061775,1.072875,1.080375,1.087875,1.095375,1.102875,1.110375,,,
"BF",,,,1.021875,1.0295,1.037125,1.04475,1.052375,1.06,1.067625,,,,
"BG",,1.244125,1.2465,1.248875,1.248875,1.248875,1.248875,1.248875,1.246,1.2445625,1.243125,1.239875,,
"BI",,,,,,,0.795125,,,,,,,
"BJ",,,,1.053375,1.0490833333,1.0447916667,1.0405,1.0362083333,1.0319166667,1.027625,1.0233333333,1.0190416667,1.01475,
"BO",1.028,1.09925,1.089625,1.138125,1.186625,1.12775,1.1475,1.17175,1.184,1.1805,1.19575,1.211,1.1975,
"BR",,1.1925,1.203,1.19775,1.2065,1.2125,1.217375,1.21275,1.219875,1.22,1.2193125,1.218625,1.22325,
"BT",,,,1.174375,1.187625,1.200875,1.214125,1.227375,1.230975,1.234575,1.238175,1.241775,1.245375,
"BW",,,,1.14325,1.1528125,1.162375,1.1719375,1.1815,1.1910625,1.200625,,,,
"BY",1.249,1.249625,1.24875,1.24875,1.249875,1.2498125,1.24975,,,,,,,
"BZ",,,,,,,,,,,,,,
"CD",,,,,,,0.5905,,,,,,,
"CF",,,,0.89625,0.88885,0.88145,0.87405,0.86665,0.85925,,,,,
"CG",,,,,,0.96475,0.9883958333,1.0120416667,1.0356875,1.0593333333,1.0829791667,1.106625,,
"CI",,,1.136125,1.1286875,1.12125,1.1138125,1.106375,1.0989375,1.0915,,,,,
"CL",1.239375,1.2397916667,1.2402083333,1.240625,1.2418333333,1.2430416667,1.24425,1.2434166667,1.2425833333,1.24175,1.2435,1.24525,,
"CM",,1.166375,1.1652291667,1.1640833333,1.1629375,1.1617916667,1.1606458333,1.1595,,,,,,
"CN",,,1.142875,1.1622916667,1.1817083333,1.201125,1.204625,1.208125,1.211625,1.218125,1.224625,1.2335,,
"CO",1.10675,1.13575,1.196875,1.2005,1.210125,1.214125,1.182375,1.199625,1.2045,1.211625,1.221,1.22475,1.220875,
"CR",1.214625,1.20925,1.211125,1.21375,1.21725,1.228,1.227,1.2365,1.23225,1.228375,1.242,1.243,1.24275,
"CU",,,,,,,,,,,,,,
"CV",,,1.174375,1.1803541667,1.1863333333,1.1923125,1.1982916667,1.2042708333,1.21025,,,,,
"CZ",,,,,,,1.24975,1.249625,1.2495,1.248875,1.249875,1.24925,,
"DJ",,,1.183875,,,,,,,,,,,
"DM",,,,,,,,,,,,,,
"DO",1.228875,1.237375,1.22775,1.224,1.21925,1.2305,1.235625,1.237125,1.239375,1.24075,1.2435,1.242125,1.2425,
"DZ",,,,,,,,,,,,,,
"EE",1.2485,1.248,1.248,1.249,1.2436875,1.238375,1.242625,1.245375,1.244875,1.241875,1.23725,1.23525,,
"EG",1.246,1.245725,1.24545,1.245175,1.2449,1.244625,1.244875,1.245125,1.245375,,,,,
"ER",,,,,,,,,,,,,,
"ET",1.05325,1.0686,1.08395,1.0993,1.11465,1.13,1.1283541667,1.1267083333,1.1250625,1.1234166667,1.1217708333,1.120125,,
"FJ",,,,1.108875,1.1300208333,1.1511666667,1.1723125,1.1934583333,1.2146041667,1.23575,,,,
"FM",1.046,,,,,,,,,,,,,
"GA",,,,,,1.234375,,,,,,,,
"GD",,,,,,,,,,,,,,
"GE",1.16975,1.175,1.19225,1.185,1.18575,1.18925,1.1935,1.1915,1.194375,1.19175,1.178,1.179875,1.193375,
"GH",,,,,,,1.1265,,,,,,,
"GM",,,,1.103875,,,,,,,,,,
"GN",,,,0.984,1.00984375,1.0356875,1.06153125,1.087375,1.08815,1.088925,1.0897,1.090475,1.09125,
"GQ",,,,,,,,,,,,,,
"GT",1.19325,1.1588125,1.124375,1.157375,1.168,1.179625,1.19125,1.19105,1.19085,1.19065,1.19045,1.19025,,
"GW",,,1.043125,,,,,,,,,,,
"GY",,,,,,,,,,,,,,
"HN",,1.157125,1.07225,1.1045,1.113125,1.08725,1.11775,1.172,1.179125,1.197,1.190375,1.159875,,
"HR",1.24925,1.2495,,,,,,,,,,,,
"HT",,0.846125,,,,,,,,,,,,
"HU",,,,,,,1.249,1.2493125,1.249625,1.2493125,1.249,1.249375,,
"ID",,,1.1745,1.1805416667,1.1865833333,1.192625,1.1920416667,1.1914583333,1.190875,1.1999375,1.209,1.2165,,
"IN",,,,,,1.118625,1.126175,1.133725,1.141275,1.148825,1.156375,1.1729527885,1.189530577,
"IQ",,,,,,,,1.243,1.2428,1.2426,1.2424,1.2422,1.242,
"IR",,,,,,1.24575,,,,,,,,
"JM",,0.86775,1.24975,1.24975,1.24975,,,,,,,,,
"JO",,,,1.248,1.2484166667,1.2488333333,1.24925,1.2495625,1.249875,1.2498125,1.24975,,,
"KE",,,,,,1.038625,,,,,,,,
"KG",1.1295,1.1525,1.15875,1.186625,1.221625,1.17625,1.2075,1.249,1.232625,1.23175,1.2325,1.23525,,
"KH",,,,,1.152625,1.1549166667,1.1572083333,1.1595,1.195125,1.224,1.22875,1.232125,,
"KI",,,,,,,,,,,,,,
"KM",,,,,0.98975,,,,,,,,,
"KN",,,,,,,,,,,,,,
"KZ",,1.234,1.2415,1.2445,1.246625,1.2479375,1.24925,1.24975,1.2497916667,1.2498333333,1.249875,,,
"LA",,,1.113375,1.117825,1.122275,1.126725,1.131175,1.135625,1.13935,1.143075,1.1468,1.150525,1.15425,
"LB",,,,,,,,,,,,,,
"LC",,,,,,,,,,,,,,
"LK",,,1.217,1.22115,1.2253,1.22945,1.2336,1.23775,1.239125,1.2405,1.241875,,,
"LR",,,,,,,,0.73875,,,,,,
"LS",,,,0.899875,0.8978035714,0.8957321429,0.8936607143,0.8915892857,0.8895178571,0.8874464286,0.885375,,,
"LT",1.249875,1.249125,1.24975,1.249875,1.249875,1.239375,1.242375,1.2460625,1.24975,1.242,1.23425,1.239875,,
"LV",,,1.24825,1.249,1.24975,1.245125,1.2405,1.238875,1.23725,1.235625,1.234,1.238125,,
"LY",,,,,,,,,,,,,,
"MA",,1.23825,1.2390625,1.239875,1.2406875,1.2415,1.2423125,1.243125,,,,,,
"MD",,1.16125,1.208625,1.236375,1.231875,1.213625,1.2435,1.247,1.247375,1.248625,1.248875,1.249625,,
"ME",,,,,,1.24925,1.2495,1.24975,1.2495,1.2493333333,1.2491666667,1.249,,
"MG",,0.732875,0.736,0.739125,0.74225,0.745375,0.724925,0.704475,0.684025,0.663575,0.643125,,,
"MH",,,,,,,,,,,,,,
"MK",1.238875,1.2435,1.248125,1.2485,1.24825,1.2495,1.247125,1.2483125,1.2495,,,,,
"ML",,0.92775,0.945225,0.9627,0.980175,0.99765,1.015125,1.0224375,1.02975,1.0370625,1.044375,,,
"MM",,,,,,,,,,,,,,
"MN",,,,,,,,,,,,,,
"MR",1.17925,1.17521875,1.1711875,1.16715625,1.163125,1.163625,1.164125,1.164625,1.165125,,,,,
"MU",,,,,,,1.249125,1.2488958333,1.2486666667,1.2484375,1.2482083333,1.2479791667,1.24775,
"MV",,,,,1.24825,,,,,,,,,
"MW",,,,,0.83525,0.8330208333,0.8307916667,0.8285625,0.8263333333,0.8241041667,0.821875,,,
"MX",1.231625,1.236,1.240375,1.244375,1.248375,1.2245,1.248375,1.2470625,1.24575,1.246875,1.248,1.2475625,1.247125,
"MY",,,,,1.24925,,,,,,,,,
"MZ",,,,0.8075,0.8274166667,0.8473333333,0.86725,0.8871666667,0.9070833333,0.927,,,,
"NA",,,,,1.131875,1.1396041667,1.1473333333,1.1550625,1.1627916667,1.1705208333,1.17825,,,
"NE",,,,,,0.993875,1.0302916667,1.0667083333,1.103125,1.1086666667,1.1142083333,1.11975,,
"NG",,,,,0.913875,0.9126875,0.9115,0.9103125,0.909125,0.9079375,0.90675,,,
"NI",,1.204375,1.2146875,1.225,1.2353125,1.245625,1.2375625,1.2295,1.2214375,1.213375,,,,
"NP",,,,1.020125,1.0436607143,1.0671964286,1.0907321429,1.1142678571,1.1378035714,1.1613392857,1.184875,,,
"PA",1.136625,1.1651875,1.19375,1.194,1.201,1.204,1.195875,1.2185,1.233625,1.24,1.23575,1.23575,1.234,
"PE",1.1925,1.189125,1.198375,1.215375,1.226375,1.221,1.22725,1.226875,1.233125,1.2375,1.240875,1.240375,1.24025,
"PG",,,,,,,,,,,,,,
"PH",1.17075,1.1726666667,1.1745833333,1.1765,1.1782083333,1.1799166667,1.181625,1.1893333333,1.1970416667,1.20475,1.2030833333,1.2014166667,1.19975,
"PK",,,1.151,1.165875,1.18075,1.195625,1.19925,1.2081875,1.217125,1.22,1.222875,1.22575,,
"PL",1.249875,1.249875,1.249875,1.249875,1.249875,1.249875,,,,,,,,
"PS",,,,,1.249,1.24875,1.2485,1.24825,1.2490625,1.249875,,,,
"PW",,,,,,,,,,,,,,
"PY",,1.20975,1.189625,1.215375,1.227,1.222375,1.214625,1.21875,1.232625,1.226125,1.22725,1.22875,1.238,
"RO",,1.244375,1.24325,1.24625,,,,,,,,,,
"RS",,,1.24775,1.248875,1.2485,1.247875,1.2495,1.2495,1.24975,,,,,
"RU",,1.247625,1.248625,1.249125,1.24775,1.2495,1.2495,1.24975,1.2498125,1.249875,,,,
"RW",0.72775,0.7424791667,0.7572083333,0.7719375,0.7866666667,0.8013958333,0.816125,0.836575,0.857025,0.877475,0.897925,0.918375,,
"SB",,,,,,,,,,,,,,
"SC",,,,,,,,1.249125,,,,,,
"SD",,,,,,,,,,1.18175,,,,
"SI",,,1.249375,1.2493125,1.24925,1.2495,1.224625,1.237125,1.249625,1.2494375,1.24925,,,
"SK",,,,,1.24825,1.2482083333,1.2481666667,1.248125,1.2480833333,1.2480416667,1.248,1.247625,,
"SL",,,,0.966125,0.971546875,0.97696875,0.982390625,0.9878125,0.993234375,0.99865625,1.004078125,1.0095,,
"SN",,1.071125,1.08209375,1.0930625,1.10403125,1.115,1.1144166667,1.1138333333,1.11325,1.1126666667,1.1120833333,1.1115,,
"SO",,,,,,,,,,,,,,
"SR",,,,,,,,,,,,,,
"SS",,,,,,,,,,,,,,
"ST",,1.151625,1.1431944444,1.1347638889,1.1263333333,1.1179027778,1.1094722222,1.1010416667,1.0926111111,1.0841805556,1.07575,,,
"SV",1.153375,1.14575,1.148125,1.157375,1.208,1.217375,1.236125,1.242,1.23375,1.23675,1.2295,1.242625,1.243,
"SY",,,,,1.2475,,,,,,,,,
"SZ",,1.06425,1.06375,1.06325,1.06275,1.06225,1.06175,1.06125,1.06075,1.06025,1.05975,,,
"TD",,,,0.9295,0.94740625,0.9653125,0.98321875,1.001125,1.01903125,1.0369375,1.05484375,1.07275,,
"TG",,,,,,,0.995875,0.9904,0.984925,0.97945,0.973975,0.9685,,
"TH",1.24375,1.2450625,1.246375,1.24671875,1.2470625,1.24740625,1.24775,1.248625,1.2495,1.2495,1.2495,,,
"TJ",,,,1.125375,1.191375,1.19275,1.194125,1.1955,1.2148125,1.234125,,,,
"TL",,,,,,,,1.14825,,,,,,
"TM",,,,,,,,,,,,,,
"TN",1.24425,1.244575,1.2449,1.245225,1.24555,1.245875,1.2462,1.246525,1.24685,1.247175,1.2475,,,
"TO",,,,,,,,,,,,,,
"TR",,,1.248625,1.2435,1.248,1.247625,1.247625,1.249,1.249375,1.24975,1.249375,,,
"TT",,,,,,,,,,,,,,
"TV",,,,,,,,,,,,,,
"TZ",0.734625,0.7580714286,0.7815178571,0.8049642857,0.8284107143,0.8518571429,0.8753035714,0.89875,0.93655,0.97435,1.01215,1.04995,1.08775,
"UA",,,1.249125,1.2495,1.249375,1.24925,1.249125,1.249625,1.2495625,1.2495,,,,
"UG",,,0.972875,0.98209375,0.9913125,1.00053125,1.00975,1.039125,1.0685,1.097875,1.09853125,1.0991875,1.09984375,1.1005
"UY",1.248125,1.248125,1.248,1.246875,1.246625,1.24675,1.24775,1.248875,1.249375,1.249125,1.249125,1.249,1.248875,
"UZ",,,,,,,,,,,,,,
"VC",,,,,,,,,,,,,,
"VE",,1.194875,1.153625,1.133,1.147375,1.1505,1.20325,,,,,,,
