"id","value.2015"
"AF",5.9
"AL",3.5
"DZ",3.2
"AO",1.8
"AG",5.7
"AR",3.9
"AM",4
"AU",4.4
"AT",2.5
"AZ",4
"BS",3.4
"BH",0.2
"BD",9.1
"BB",3
"BY",1.5
"BE",1.6
"BZ",4.4
"BJ",3.9
"BT",4.7
"BO",3.8
"BA",3.5
"BW",2.5
"BR",4.1
"BN",0.2
"BG",3.2
"BF",2.4
"BI",2.7
"CV",2
"KH",5
"CM",2.6
"CA",6.1
"CF",1.1
"TD",3
"CL",7.2
"CN",7.9
"CO",5.8
"KM",1.9
"CG",1.3
"CD",3.2
"CR",4.9
"CI",1.5
"HR",3.2
"CU",4.9
"CY",2.5
"CZ",2
"DK",0.7
"DJ",4.6
"DM",2.2
"DO",7.1
"EC",7
"EG",5.7
"SV",5.9
"GQ",1
"ER",2.8
"EE",0.6
"ET",4.2
"FJ",6.8
"FI",0
"FR",3.1
"GA",1.4
"GM",1.5
"GE",4.2
"DE",2.8
"GH",1.5
"GR",4.3
"GD",3.4
"GT",6.8
"GN",1.2
"GW",1.1
"GY",2.6
"HT",6.1
"HN",5.3
"HU",2.9
"IS",1.4
"IN",8.2
"ID",7.5
"IR",7
"IQ",3.5
"IE",1.9
"IL",3.1
"IT",3.4
"JM",5.1
"JP",8.4
"JO",3
"KZ",3.6
"KE",4.2
"KI",1.5
"KP",3.4
"KR",4.2
"KW",1.9
"KG",5.4
"LA",4.7
"LV",1
"LB",4.7
"LS",2
"LR",0.9
"LY",4.5
"LI",1.9
"LT",1.4
"LU",0.7
"MK",2.8
"MG",5.6
"MW",3.3
"MY",3.4
"MV",0.3
"ML",2.8
"MT",0
"MH",0.6
"MR",3.9
"MU",5.7
"MX",7.5
"FM",1.4
"MD",3.8
"MN",2.8
"ME",2.4
"MA",2.9
"MZ",5.6
"MM",9.1
"NA",2.7
"NR",1.1
"NP",6.8
"NL",2
"NZ",6.9
"NI",5.3
"NE",3.1
"NG",2.4
"NO",0.2
"OM",3.4
"PK",7.1
"PW",2.3
"PS",2.4
"PA",3.2
"PG",3.7
"PY",2.8
"PE",7.7
"PH",9.3
"PL",2.3
"PT",2.9
"QA",1
"RO",4.8
"RU",4.7
"RW",2.9
"KN",5.2
"LC",4.8
"VC",1.7
"WS",2.3
"ST",0
"SA",1.9
"SN",2.8
"RS",4.4
"SC",3
"SL",1.2
"SG",0
"SK",2.7
"SI",2.7
"SB",4.7
"SO",5.6
"ZA",3.4
"SS",2.9
"ES",4.1
"LK",6.4
"SD",4.2
"SR",1.1
"SZ",1.7
"SE",0.9
"CH",2.2
"SY",4.4
"TJ",5.5
"TZ",4.1
"TH",5.9
"TL",4.9
"TG",1.2
"TO",2.8
"TT",2.4
"TN",2.4
"TR",6.7
"TM",4
"TV",0.3
"UG",3.2
"UA",3
"AE",2.9
"GB",2.1
"US",7.6
"UY",1.7
"UZ",5.9
"VU",5.4
"VE",4.1
"VN",7.7
"YE",2.1
"ZM",2
"ZW",2.3
