"district_id","2011","2012","2013","2014","2015","2016"
"d314",40,63,62.9,67,33.4,34.5
"d301",23,20,17.8,14.6,34.1,65.8
"d322",31,25,31.8,40.7,59.5,49.6
"d323",,10,17,24,27.6,28.7
"d315",15,20,21,24.7,25.7,22.9
"d324",6,6,6.2,8.9,15.7,19.5
"d216",8,16,10.8,11.9,23,34.2
"d316",21,31,30,33.3,32.9,34.6
"d302",25,24,20.4,26.2,34.3,28
"d303",31,25,28.2,39.2,43.8,34.3
"d217",43,36,35.7,37.4,32.9,28.8
"d218",32,37,21.5,16.8,19,16.8
"d201",16,15,18.4,21.2,29,39.1
"d420",34,29,23.8,21.3,25,43
"d117",34,33,29.8,28.7,33.7,31.6
"d219",20,16,20.3,19.7,23.7,23.5
"d118",49,32,19,22.5,21.4,25.6
"d220",18,19,25.6,36.5,34.8,32.3
"d225",,26,19.6,25.2,15.7,21.4
"d416",46,28,27.7,22.2,21.2,26.3
"d401",39,35,20,18.7,26.6,35.7
"d402",65,50,52.3,45.9,50.6,59.6
"d202",22,26,24.2,27.3,28.4,31.2
"d221",18,20,22.3,27.4,29.6,63.8
"d119",27,109,27.5,31.7,33.7,27.7
"d120",22,13,15.9,10.3,7.8,10
"d226",24,20,27.6,28.7,28,36.6
"d317",43,39,38.6,34.9,37,46.1
"d121",17,16,18.5,19.4,21.8,32.3
"d304",30,46,41.1,49.7,45.2,40.4
"d403",25,24,27.2,37.1,44.1,37.2
"d417",38,111,22.6,27.2,30.2,40.5
"d203",55,25,24.3,31.5,32.5,27.4
"d418",75,66,47.5,39.3,34.8,39.9
"d204",44,39,39.8,36.7,42.3,43.8
"d318",16,,16.5,15.9,48.8,42.4
"d404",50,49,39.4,38.5,42,48.1
"d405",52,47,52.2,45.3,46.6,63.1
"d213",27,21,20.9,22.6,23,25.3
"d101",31,28,39.5,19.5,28.3,34.2
"d222",17,28,26.3,32.6,32.5,36
"d122",,17,37.3,40.4,45.3,34.7
"d102",72,44,,46.7,66.1,54.9
"d205",24,23,33.3,35.2,43.5,57.5
"d413",27,44,52.1,55.9,42.6,49.9
"d414",37,22,36.3,38.8,50.5,49.2
"d206",29,25,18.2,22.5,26.6,33.6
"d406",49,35,33.8,35.8,42.4,47.5
"d207",17,23,20.9,23.8,35.9,30.1
"d112",25,22,30.5,36.9,41.9,28.3
"d407",22,17,33,31.7,22.8,29.2
"d103",55,48,43.3,36.3,41,50.3
"d227",18,12,15.7,25.8,28.1,36.3
"d419",21,43,52.3,55,55.8,47.5
"d421",25,18,16.6,21.8,30.7,35.8
"d408",62,55,39.3,31.9,33.3,32.9
"d305",24,25,30.9,30.2,48,37.9
"d319",22,25,21.9,22.2,31.8,42.6
"d325",24,26,17,17.5,25.5,20.9
"d306",18,22,23.2,22.5,32,37.4
"d208",16,5,47.9,39.5,42.1,43.6
"d228",,8,11.4,14.8,18.1,24
"d123",14,12,21.2,25.9,23.2,28.9
"d422",49,45,54.2,53.9,42.7,49
"d415",34,56,78,51.2,45.7,53.7
"d326",20,,25.6,33.5,74.7,44.8
"d307",29,33,29.7,28.7,32,34.2
"d229",10,14,11.1,14.9,16.8,20.9
"d104",30,28,77.6,42.9,40.8,44.6
"d124",26,20,23,30.4,30.6,32.6
"d114",88,114,47.4,61.5,61.1,50.2
"d223",39,274,14.4,16.3,21.1,18.4
"d320",,37,38.2,38.5,41,44.5
"d105",32,37,37.4,45.2,33.8,34.6
"d409",33,42,34.7,37.1,54.8,42.7
"d214",25,22,22.1,24.1,30,31.7
"d209",41,50,29.2,33.4,35.5,42.7
"d410",45,55,39.8,57.6,49,44.8
"d423",,34,30.8,31.4,38.2,34.5
"d115",25,25,34.7,44.4,40.4,36.6
"d308",21,19,34.7,24.9,35.3,44.1
"d309",15,17,9.8,9.9,38,43.8
"d106",35,38,53.1,54.2,44.4,37.3
"d107",,29,28.6,30.8,29.6,27.9
"d108",25,,24.4,26.8,30.3,30.3
"d311",41,41,31.8,22.2,29.6,47
"d116",22,19,27.8,32.6,32.3,42.9
"d109",39,46,44.1,48.9,44.4,35.6
"d230",32,23,28.5,23.2,33.1,33
"d224",19,18,42.1,28.8,34,34.3
"d327",28,,29.1,25.6,52.2,50.2
"d310",39,40,34.6,40.1,45,46.8
"d231",36,28,36.2,34,36.1,34.8
"d424",,16,18.7,21.3,33.7,37.5
"d411",36,41,28.9,28.6,27.1,34.1
"d328",37,55,54.8,59.7,31.8,27.6
"d329",20,19,17.9,31.3,28.8,30
"d321",32,42,27.4,51.8,51.1,48.3
"d312",19,20,24.1,24.1,37.4,33.9
"d210",18,12,19,25.4,28.8,28
"d110",38,15,43.3,44,42.9,32.5
"d425",35,39,32.7,39.5,44,48
"d412",50,52,50.8,45.9,42.6,47.9
"d111",27,24,25.8,19.4,21.6,22.3
"d232",,45,16.2,20.5,25.7,29.9
"d426",47,28,34.1,33,51.5,39.9
"d215",52,38,21.7,15.3,22.2,27.3
"d211",4,31,27.8,50.4,43.1,35.8
"d212",23,26,19.6,27,53.2,40.6
"d113",32,26,20.4,23,16.4,17
"d313",18,18,18.8,24.5,39.1,33.1
"d330",35,39,39.1,42.5,42.3,45
