"id","entity-name","year","value"
"d220",,2011,18
"d220",,2012,19
"d220",,2013,25.6
"d220",,2014,36.5
"d221",,2011,18
"d221",,2012,20
"d221",,2013,22.3
"d221",,2014,27.4
"d222",,2011,17
"d222",,2012,28
"d222",,2013,26.3
"d222",,2014,32.6
"d223",,2011,39
"d223",,2012,274
"d223",,2013,14.4
"d223",,2014,16.3
"d224",,2011,19
"d224",,2012,18
"d224",,2013,42.1
"d224",,2014,28.8
"d225",,2011,
"d225",,2012,26
"d225",,2013,19.6
"d225",,2014,25.2
"d226",,2011,24
"d226",,2012,20
"d226",,2013,27.6
"d226",,2014,28.7
"d227",,2011,18
"d227",,2012,12
"d227",,2013,15.7
"d227",,2014,25.8
"d228",,2011,
"d228",,2012,8
"d228",,2013,11.4
"d228",,2014,14.8
"d229",,2011,10
"d229",,2012,14
"d229",,2013,11.1
"d229",,2014,14.9
"d230",,2011,32
"d230",,2012,23
"d230",,2013,28.5
"d230",,2014,23.2
"d231",,2011,36
"d231",,2012,28
"d231",,2013,36.2
"d231",,2014,34
"d232",,2011,
"d232",,2012,45
"d232",,2013,16.2
"d232",,2014,20.5
"d301",,2011,23
"d301",,2012,20
"d301",,2013,17.8
"d301",,2014,14.6
"d302",,2011,25
"d302",,2012,24
"d302",,2013,20.4
"d302",,2014,26.2
"d303",,2011,31
"d303",,2012,25
"d303",,2013,28.2
"d303",,2014,39.2
"d304",,2011,30
"d304",,2012,46
"d304",,2013,41.1
"d304",,2014,49.7
"d305",,2011,24
"d305",,2012,25
"d305",,2013,30.9
"d305",,2014,30.2
"d306",,2011,18
"d306",,2012,22
"d306",,2013,23.2
"d306",,2014,22.5
"d307",,2011,29
"d307",,2012,33
"d307",,2013,29.7
"d307",,2014,28.7
"d308",,2011,21
"d308",,2012,19
"d308",,2013,34.7
"d308",,2014,24.9
"d309",,2011,15
"d309",,2012,17
"d309",,2013,9.8
"d309",,2014,9.9
"d310",,2011,39
"d310",,2012,40
"d310",,2013,34.6
"d310",,2014,40.1
"d311",,2011,41
"d311",,2012,41
"d311",,2013,31.8
"d311",,2014,22.2
"d312",,2011,19
"d312",,2012,20
"d312",,2013,24.1
"d312",,2014,24.1
"d313",,2011,18
"d313",,2012,18
"d313",,2013,18.8
"d313",,2014,24.5
"d314",,2011,40
"d314",,2012,63
"d314",,2013,62.9
"d314",,2014,67
"d315",,2011,15
"d315",,2012,20
"d315",,2013,21
"d315",,2014,24.7
"d316",,2011,21
"d316",,2012,31
"d316",,2013,30
"d316",,2014,33.3
"d317",,2011,43
"d317",,2012,39
"d317",,2013,38.6
"d317",,2014,34.9
"d318",,2011,16
"d318",,2012,
"d318",,2013,16.5
"d318",,2014,15.9
"d319",,2011,22
"d319",,2012,25
"d319",,2013,21.9
"d319",,2014,22.2
"d320",,2011,
"d320",,2012,37
"d320",,2013,38.2
"d320",,2014,38.5
"d321",,2011,32
"d321",,2012,42
"d321",,2013,27.4
"d321",,2014,51.8
"d322",,2011,31
"d322",,2012,25
"d322",,2013,31.8
"d322",,2014,40.7
"d323",,2011,
"d323",,2012,10
"d323",,2013,17
"d323",,2014,24
"d324",,2011,6
"d324",,2012,6
"d324",,2013,6.2
"d324",,2014,8.9
"d325",,2011,24
"d325",,2012,26
"d325",,2013,17
"d325",,2014,17.5
"d326",,2011,20
"d326",,2012,
"d326",,2013,25.6
"d326",,2014,33.5
"d327",,2011,28
"d327",,2012,
"d327",,2013,29.1
"d327",,2014,25.6
"d328",,2011,37
"d328",,2012,55
"d328",,2013,54.8
"d328",,2014,59.7
"d329",,2011,20
"d329",,2012,19
"d329",,2013,17.9
"d329",,2014,31.3
"d330",,2011,35
"d330",,2012,39
"d330",,2013,39.1
"d330",,2014,42.5
"d401",,2011,39
"d401",,2012,35
"d401",,2013,20
"d401",,2014,18.7
"d402",,2011,65
"d402",,2012,50
"d402",,2013,52.3
"d402",,2014,45.9
"d403",,2011,25
"d403",,2012,24
"d403",,2013,27.2
"d403",,2014,37.1
"d404",,2011,50
"d404",,2012,49
"d404",,2013,39.4
"d404",,2014,38.5
"d405",,2011,52
"d405",,2012,47
"d405",,2013,52.2
"d405",,2014,45.3
"d406",,2011,49
"d406",,2012,35
"d406",,2013,33.8
"d406",,2014,35.8
"d407",,2011,22
"d407",,2012,17
"d407",,2013,33
"d407",,2014,31.7
"d408",,2011,62
"d408",,2012,55
"d408",,2013,39.3
"d408",,2014,31.9
"d409",,2011,33
"d409",,2012,42
"d409",,2013,34.7
"d409",,2014,37.1
"d410",,2011,45
"d410",,2012,55
"d410",,2013,39.8
"d410",,2014,57.6
"d411",,2011,36
"d411",,2012,41
"d411",,2013,28.9
"d411",,2014,28.6
"d412",,2011,50
"d412",,2012,52
"d412",,2013,50.8
"d412",,2014,45.9
"d413",,2011,27
"d413",,2012,44
"d413",,2013,52.1
"d413",,2014,55.9
"d414",,2011,37
"d414",,2012,22
"d414",,2013,36.3
"d414",,2014,38.8
"d415",,2011,34
"d415",,2012,56
"d415",,2013,78
"d415",,2014,51.2
"d416",,2011,46
"d416",,2012,28
"d416",,2013,27.7
"d416",,2014,22.2
"d417",,2011,38
"d417",,2012,111
"d417",,2013,22.6
"d417",,2014,27.2
"d418",,2011,75
"d418",,2012,66
"d418",,2013,47.5
"d418",,2014,39.3
"d419",,2011,21
"d419",,2012,43
"d419",,2013,52.3
"d419",,2014,55
"d420",,2011,34
"d420",,2012,29
"d420",,2013,23.8
"d420",,2014,21.3
"d421",,2011,25
"d421",,2012,18
"d421",,2013,16.6
"d421",,2014,21.8
"d422",,2011,49
"d422",,2012,45
"d422",,2013,54.2
"d422",,2014,53.9
"d423",,2011,
"d423",,2012,34
"d423",,2013,30.8
"d423",,2014,31.4
"d424",,2011,
"d424",,2012,16
"d424",,2013,18.7
"d424",,2014,21.3
"d425",,2011,35
"d425",,2012,39
"d425",,2013,32.7
"d425",,2014,39.5
"d426",,2011,47
"d426",,2012,28
"d426",,2013,34.1
"d426",,2014,33
