"id","value.2006","value.2007","value.2008","value.2009","value.2010","value.2011","value.2012","value.2013"
"AF",3.225371455,4.309308854,5.058552528,4.831753902,6.14960919,5.78859334,5.222458911,8.290930344
"africa",5.320363861,3.160932217,2.506784429,1.288589346,2.315946629,2.279039326,3.526999124,3.185855548
"AG",27.06620027,80.23526818,64.1815002,9.249514252,1.076635561,0.483627039,22.08571651,3.37857937
"AI",0,0,0,2.111370615,0.00636342,0,0.030378591,0.039954291
"AL",4.264081266,7.777796844,5.278215626,6.416948704,5.267521584,5.352705785,7.230310193,5.681472827
"AM",3.750706219,7.471753641,5.990097622,6.203575444,7.020326965,4.940496037,7.606348785,5.216794143
"america",12.17872884,13.07924304,8.924522807,7.403139151,9.334905836,9.150519136,9.786025832,4.09452335
"AO",10.98806747,7.225766758,9.586287794,9.483860547,7.232266985,9.930520991,8.111085303,4.654894942
"AR",14.73149308,12.42831973,19.05638264,20.49333241,14.59019456,24.21508073,12.88213401,26.94022144
"asia",8.961016125,8.899273391,4.23709289,10.11037405,2.831682936,2.340692801,3.939415713,3.347998494
"AZ",5.382642923,6.727191848,3.769062408,2.790866211,3.04011568,3.780385604,2.663772132,5.007042501
"BA",4.635855387,3.050689871,4.191089007,4.511312651,3.030685161,3.08899891,1.987542578,2.451686446
"BB",19.65035295,20.88739999,8.427784146,3.880733927,2.355989126,,,
"BD",19.93540321,15.07027907,10.17066426,14.53160069,16.01617967,15.73361976,15.51949399,12.38019523
"BF",13.00005821,11.53390187,11.2638651,13.41457295,6.954109222,9.554709605,5.530747139,6.490024683
"BI",6.94110221,4.805749192,5.387521499,4.778299336,4.106130246,5.302380289,4.94213921,4.769729001
"bilateral-unspecified",7.942371929,9.563130034,7.485172045,5.511229465,5.285227928,6.498796449,6.169806904,6.203921066
"BJ",7.902121075,9.190819084,8.109874995,6.816258933,5.769106637,8.852054292,8.869488293,7.824795426
"BO",8.244992427,10.28524592,13.44301803,9.952624198,10.43704517,8.134052005,7.112022674,5.43729437
"BR",10.08366776,9.12517293,10.23773227,11.19621375,6.217993871,5.019405898,4.318513636,3.809365885
"BT",25.88194534,26.93767611,31.13434625,15.47530381,5.52605295,3.61173972,2.244420588,3.189976099
"BW",31.60561612,17.53323713,5.347873744,8.279293899,20.22248269,14.41502675,3.034360457,14.23996428
"BY",6.629994841,7.490875746,14.46873108,14.99665161,6.585601181,6.306189648,7.419054277,17.82275518
"BZ",9.356261282,9.023960972,6.456039479,4.954446143,6.3092211,11.86179319,8.276265718,3.872912234
"CD",3.29424485,5.525050871,4.735907923,5.517001717,4.743526769,4.030574464,4.994726837,5.155090183
"central-asia",0.628640541,2.114128812,3.073804514,4.906083014,9.212636616,10.74440751,6.8254307,4.087689912
"CF",1.337240001,1.403100071,1.321151272,1.917380781,2.860486351,6.354708828,2.300601005,1.502163458
"CG",5.826149865,8.860240008,10.80873212,7.453154705,5.766671552,8.363363409,5.859679836,4.894318045
"CI",3.051572535,5.623516267,2.515114289,2.338755659,6.436191519,1.091580348,2.805053563,2.832418827
"CK",38.04681251,29.25146693,57.28165127,32.97821689,31.53112767,12.52589301,15.63955486,17.40095973
"CL",9.77993346,10.80305868,18.98226531,20.09544706,9.091829021,21.01841887,11.66066941,21.03774773
"CM",6.661575083,9.798449891,4.773075558,3.689236208,4.333753269,5.492220809,4.95117967,2.654849465
"CN",21.33047934,18.01021889,20.14983494,19.01581546,7.106175879,8.833933996,5.490677706,13.06788897
"CO",2.312761602,3.34087314,3.161329359,4.050261996,3.756628178,3.584362883,3.838738956,5.048059595
"CR",7.063218866,3.661754384,7.42158985,5.686122221,4.6708075,8.81410062,14.358181,17.60380541
"CU",6.684887498,8.820796872,8.092269055,10.11189468,4.534594613,8.953300757,4.892345699,4.264052758
"CV",7.355121802,8.235148709,4.670184579,8.085320085,4.577338703,2.165824885,2.310844397,5.065161415
"DJ",19.01831247,13.03803797,11.31774371,7.263361018,13.45742412,10.70565174,7.703238305,9.448468969
"DM",0.597918678,0.320026947,0.915253113,1.0058963,0.389681845,2.648347477,0.271548407,0.254771635
"DO",7.004627005,23.79395218,10.40275162,14.71145984,19.71233805,4.786178178,6.417114175,16.69046
"DZ",9.265483631,11.29603254,14.933371,11.23957036,17.96924642,11.95379589,8.652941396,7.87560436
"east-asia",0.841570369,0.482174829,5.170173619,2.998114484,7.644352002,0.489760427,1.275377068,1.551253983
"EC",11.15873572,9.496574189,11.82940541,22.78627805,12.34783758,10.99588262,17.58752964,13.69746997
"EG",10.69467785,10.24807151,15.93213428,14.18317538,7.631370993,8.247648347,5.111752751,2.677715919
"ER",7.375330856,21.70403165,10.77808114,14.98021074,11.34357392,43.57003435,12.83142012,16.3013016
"ET",10.94526522,12.63855878,7.09839445,14.0088883,7.649582319,8.024359326,8.012400273,8.016002296
"europe",2.596873873,10.91609524,5.702953481,5.920265623,5.118272051,5.552402716,3.316020413,4.553163437
