"id","entity-name","year","direction","flow-type","flow-name","value"
"AT","Austria",2006,"in","official","oda-capital-repay",4602401.57573557
"AT","Austria",2006,"out","commercial","fdi-devcountries",0
"AT","Austria",2006,"out","private","pda-out",0
"AT","Austria",2006,"out","private","remittances-devcountries",0
"AT","Austria",2006,"out","official","dfis-out",0
"AT","Austria",2007,"out","official","oofs-out",91737572.2941095
"AT","Austria",2007,"in","official","oofs-capital-repay",332936479.159177
"AT","Austria",2007,"out","private","remittances-devcountries",0
"AT","Austria",2007,"out","official","oda-out",1695621667.61126
"AT","Austria",2007,"in","official","oda-interest",664765.016623982
"AT","Austria",2007,"in","official","oofs-interest",228457577.379775
"AT","Austria",2007,"out","private","pda-out",0
"AT","Austria",2007,"in","official","oda-capital-repay",3333057.93057302
"AT","Austria",2007,"out","commercial","fdi-devcountries",0
"AT","Austria",2007,"out","official","dfis-out",0
"AT","Austria",2008,"out","private","remittances-devcountries",0
"AT","Austria",2008,"out","official","oofs-out",243418194.491602
"AT","Austria",2008,"out","private","pda-out",0
"AT","Austria",2008,"in","official","oofs-capital-repay",148656078.527499
"AT","Austria",2008,"out","official","oda-out",1518087892.44865
"AT","Austria",2008,"in","official","oda-interest",249668.516667485
"AT","Austria",2008,"in","official","oofs-interest",74530356.8548419
"AT","Austria",2008,"out","commercial","fdi-devcountries",0
"AT","Austria",2008,"out","official","dfis-out",78326013.7778398
"AT","Austria",2008,"in","official","oda-capital-repay",3228472.19828644
"AT","Austria",2009,"out","official","oda-out",1010085012.32845
"AT","Austria",2009,"out","commercial","fdi-devcountries",0
"AT","Austria",2009,"out","private","remittances-devcountries",0
"AT","Austria",2009,"out","official","oofs-out",164951106.870851
"AT","Austria",2009,"out","private","pda-out",0
"AT","Austria",2009,"in","official","oofs-capital-repay",170224994.328068
"AT","Austria",2009,"in","official","oda-interest",183667.722390661
"AT","Austria",2009,"in","official","oofs-interest",71411759.6818927
"AT","Austria",2009,"out","official","dfis-out",84269584.9323636
"AT","Austria",2009,"in","official","oda-capital-repay",8903511.49493776
"AT","Austria",2010,"out","official","oda-out",1105553277.87526
"AT","Austria",2010,"in","official","oda-capital-repay",4123907.99622448
"AT","Austria",2010,"out","commercial","fdi-devcountries",0
"AT","Austria",2010,"out","official","dfis-out",107919146.37536
"AT","Austria",2010,"out","private","pda-out",0
"AT","Austria",2010,"out","private","remittances-devcountries",2697929198.54839
"AT","Austria",2010,"out","official","oofs-out",139320724.004899
"AT","Austria",2010,"in","official","oofs-interest",62532282.6182471
"AT","Austria",2010,"in","official","oofs-capital-repay",163499751.903293
"AT","Austria",2010,"in","official","oda-interest",127449.695247556
"AT","Austria",2011,"in","official","oda-interest",85101.90983555
"AT","Austria",2011,"out","official","oda-out",949499028.417198
"AT","Austria",2011,"in","official","oda-capital-repay",3701933.07784642
"AT","Austria",2011,"out","private","pda-out",0
"AT","Austria",2011,"out","commercial","fdi-devcountries",0
"AT","Austria",2011,"out","official","dfis-out",69220546.0137835
"AT","Austria",2011,"in","official","oofs-interest",43589198.2177687
"AT","Austria",2011,"out","private","remittances-devcountries",2534722023.29159
"AT","Austria",2011,"in","official","oofs-capital-repay",153225988.658908
"AT","Austria",2011,"out","official","oofs-out",205393459.3881
"AT","Austria",2012,"out","official","oofs-out",133363737.680069
"AT","Austria",2012,"in","official","oda-interest",126402.567701643
"AT","Austria",2012,"out","official","oda-out",1005297678.44084
"AT","Austria",2012,"in","official","oda-capital-repay",6934083.71391869
"AT","Austria",2012,"out","commercial","fdi-devcountries",2832800842.45054
"AT","Austria",2012,"in","official","oofs-interest",758415.406209857
"AT","Austria",2012,"out","private","pda-out",0
"AT","Austria",2012,"in","official","oofs-capital-repay",0
"AT","Austria",2012,"out","official","dfis-out",0
"AT","Austria",2012,"out","private","remittances-devcountries",2393399772.17763
"AT","Austria",2013,"in","official","oda-interest",94692.2309016363
"AT","Austria",2013,"in","official","oofs-interest",78172740.8016145
"AT","Austria",2013,"out","official","oda-out",1012655934.03135
"AT","Austria",2013,"out","official","oofs-out",559613867.859416
"AT","Austria",2013,"out","commercial","fdi-devcountries",348540728.974317
"AT","Austria",2013,"out","private","remittances-devcountries",1291081053.41443
"AT","Austria",2013,"in","official","oda-capital-repay",4192283.31355426
"AT","Austria",2013,"out","official","dfis-out",0
"AT","Austria",2013,"out","private","pda-out",152006855.751009
"AT","Austria",2013,"in","official","oofs-capital-repay",163404356.997715
"AT","Austria",2014,"in","official","oda-interest",84774.95
"AT","Austria",2014,"out","official","oda-out",1050556612.885
"AT","Austria",2014,"in","official","oofs-interest",134190268.355
