"di_id","entity_name","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"AU","Australia",1980781082,1893580137,1980259968,1982440806,2021742458,2150742943,2616690550,2837621830,2992124134,2952030238,3300496324,192020000,0,7599705467.75,3655941805,3504652610,3280730000
"AT","Austria",0,0,792010518,676471788,785543932,1717810696,1587715386,1731740611,1548233394,1030711766,1129260805,970982757,0,355640421.59,0,1340204755,6330000
"BE","Belgium",0,1401474777,1644862537,2283642770,1677997846,37040000,3170000,0,2133625407,2363667099,2768986161,0,2120646310,20000,0,71080000,46700000
"BG","Bulgaria",0,0,0,0,0,0,0,0,0,0,38004871,42824109,36210324,0,43687197,40751686,0
"CA","Canada",2684424455,2422130475,3171173280,3188683616,3187728014,0,3721714891,77680000,4256251810,3864502076,4412744066,4297243729,4442491562,33840000,67910000,4191769249,3973990000
"HR","Croatia",0,0,0,0,0,0,0,0,0,0,0,537356294.93,19360514,0,0,51186029,40630000
"CY","Cyprus",0,0,0,0,0,0,0,0,34279074,0,48029371,0,0,0,16614958,18160536,0
"CZ","Czech Republic",33643224,51740564,74376862,125937686,0,153978913,171623164,0,193283766,0,0,0,0,177127269,184545305,0,260240000
"DK","Denmark",2700244044,2711869683,2536600872,6310000,2296369925,3690000,0,95600000,2414034709,32130000,825429720.51,58090000,2488128957,1600000,6980000,2662092434,0
"EE","Estonia",0,0,0,0,0,0,17765071,16713704,0,17588164,18364972,20429534.91,0,26652983,0,34276366,43410000
"FI","Finland",2500000,13210000,3300000,689835304,766593516,1000552526,906352070,0,1037900566,0,0,1253786357,1225096215,48730000,0,1316495971,1.06e+09
"FR","France",7514695466,0,9487873381,225970000,375820000,84320000,0,7630124928.75,10216344528,11898222189,357710000,269880000,0,10949463806,188490000,10951831651,11741800000
"DE","Germany",8548243649,0,0,462010000,392510000,11980301638,10141707368.64,12586150757,13815329107,1065430000,13226488638,1283930000,9083540000,14215758697,16668219585,1287950000,0
"GR","Greece",0,305139206,384407621,0,0,0,0,411357978,525319545,0,400025137,0,0,191622927,202167391,0,0
"HU","Hungary",0,0,0,0,0,100431969,0,0,0,99066417,97657625,112844279,103483597,0,0,0,0
"IS","Iceland",0,0,0,21193987,0,25466220,0,0,0,0,0,0,0,39780782,39044108,44438059,58720000
"IE","Ireland",350925514,415777416,0,0,580762195,0,0,963410725,0,0,0,0,0,0,0,10000,802590000
"IL","Israel",0,133373084,0,0,0,138909053,0,0,0,0,158755163,0,194314007,0,225720515.95,0,350540000
"IT","Italy",2572854266,0,0,366390000,304910000,542420000,3362660000,3881165340,8e+05,0,2836110294,6380000,1300000,1867800000,8563414219.58,4074613431,5158660000
