"di_id","entity_name","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","1960","1961","1962","1963","1964"
"AU","Australia",959610000,975870000,1176250000,1269450000,1.412e+09,1528960000,1435200000,1652080000,1320170000,1590760000,1948580000,1267050000,1336660000,1777660000,1774040000,1680900000,1473700000,2034120000,1800600000,1799360000,2063330000,2029670000,1511690000,2195740000,1861940000,1683850000,1816520000,1849860000,1857500000,1951020000,2052130000,1711260000,1756520000,1870980000,1836820000,1980800000,1893640000,1980220000,1982410000,2021690000,2150710000,2616660000,2837600000,2992150000,2951990000,3300530000,3655640000,3962320000,3764620000,3637360000,3500900000,3019720000,,,,,
"AT","Austria",335190000,310710000,311500000,156740000,132930000,92900000,97160000,122320000,217010000,281930000,325890000,199810000,362720000,446280000,333420000,414110000,592870000,648030000,444170000,541530000,745890000,425560000,349900000,504350000,491990000,244130000,423350000,267500000,278090000,417860000,694610000,613260000,656040000,614820000,686300000,699030000,1016140000,784280000,626400000,751990000,1702750000,1575700000,1705230000,1504460000,1019010000,1123650000,967150000,1019780000,1029010000,1064140000,1333700000,1600150000,0,5610000,64200000,5200000,110810000
"BE","Belgium",833150000,507330000,542280000,628240000,799340000,780060000,883150000,994220000,998560000,1025220000,1200780000,1055050000,994020000,1208970000,1287630000,1143090000,1333460000,1325810000,1349980000,1346910000,1307560000,1186570000,1226090000,1033060000,1236660000,1290120000,1197670000,1140860000,1098060000,935290000,1157680000,1069040000,1022890000,1179160000,1052790000,1287160000,1372680000,1584790000,2242230000,1578850000,2073290000,2020390000,1792090000,2040930000,2294550000,2725610000,2378940000,2080890000,1980100000,2094250000,1928350000,2300160000,751920000,639090000,575070000,650630000,672710000
"CA","Canada",620680000,1112420000,985540000,989810000,1160470000,1686230000,1797480000,2000950000,2026530000,2389750000,2754230000,2430750000,2.778e+09,2984330000,2771420000,2564220000,2634460000,2507050000,2829350000,3264510000,3344830000,3430800000,3476820000,3842670000,3489880000,3540120000,3520270000,3569110000,3586850000,3508290000,3166980000,2686940000,3072520000,2751920000,2703620000,2646990000,2386540000,3125420000,2734670000,3149630000,4109700000,3676290000,3732700000,4221910000,3825230000,4376240000,4260460000,4400740000,3911290000,3527690000,4150200000,3930440000,311380000,302480000,293350000,623860000,748190000
"CZ","Czech Republic",,,,,,,,,,,,,,,,,,,,,,,,,,,,,52830000,59310000,,,,29480000,28090000,33620000,51790000,74410000,125900000,132370000,153930000,171540000,165630000,193300000,177610000,191960000,195670000,186950000,177130000,184550000,202720000,260240000,,,,,
"dac-countries-total","DAC Countries, Total",38530400000,36135460000,38148380000,38908380000,40807650000,39222990000,39923230000,43741630000,37871660000,43907510000,46217240000,44652010000,46291570000,51724260000,52067640000,57841490000,55553780000,62363490000,61998830000,66573140000,67701790000,69258360000,68002830000,73328040000,71165960000,76665020000,79463970000,80463510000,74185060000,74299870000,66601950000,66463990000,6.2062e+10,68175250000,68795130000,71907450000,73810200000,79165470000,82973340000,88039110000,116127450000,109556790000,100674430000,112515850000,114318840000,120598690000,119595240000,115138670000,121504570000,123458190000,130909290000,143426400000,32027840000,38387750000,37820170000,38949040000,36593590000
"DK","Denmark",38460000,96880000,111570000,260810000,465640000,460550000,532060000,587670000,632750000,7.2e+08,731730000,734180000,805410000,1022740000,1081800000,1111240000,1064180000,1161240000,1130380000,1375380000,1321540000,1559440000,1555880000,1580120000,1662410000,1713730000,1767850000,1905420000,1957290000,2040860000,1991910000,2206960000,2275290000,2373030000,2474060000,2671820000,2633290000,2451030000,2143170000,2227200000,2243850000,2310110000,2366610000,2360720000,2435530000,2534740000,2451800000,2376360000,2484390000,2523400000,2562310000,2343670000,10080000,30660000,6280000,6560000,30170000
"EU","European Union",885260000,1072040000,1040880000,1317030000,906420000,1167630000,1376230000,1305600000,1736080000,2509750000,2575510000,1980920000,2012260000,2413560000,3021320000,2427850000,3749820000,3038410000,3141460000,3673200000,3854190000,3172440000,3019310000,4212950000,4518710000,4029280000,5237500000,5833460000,5797240000,6693090000,6313980000,6446780000,6865740000,6697380000,6679580000,7580580000,9240740000,7832870000,8415890000,9111080000,9644820000,10223440000,10397060000,10978160000,11588640000,11361380000,14619170000,15696560000,13640610000,14012380000,13734160000,17106360000,34880000,164570000,503490000,576890000,751760000
"FI","Finland",,,,,,49210000,89500000,125080000,138010000,150340000,164160000,160770000,142340000,150940000,207420000,233380000,302650000,331910000,376140000,433700000,505170000,585180000,669600000,829370000,931820000,946040000,1082770000,823850000,569370000,416900000,447830000,495480000,508750000,531950000,578070000,585390000,611530000,683880000,687770000,756870000,994590000,902890000,947370000,1036140000,1165960000,1262120000,1236160000,1219130000,1251750000,1402690000,1296010000,1059610000,,,,,
"FR","France",4522300000,3343540000,4856500000,3969260000,4389860000,4476690000,4627200000,4729480000,4285090000,4560830000,4524520000,4359570000,4215270000,4405320000,5038580000,5368320000,6347970000,7042230000,7095640000,7920260000,7994090000,7565720000,8317240000,8260480000,9154810000,9397570000,9783640000,10077540000,10150660000,10549280000,9350470000,8344890000,7987140000,7278980000,7444880000,6170420000,6367150000,7746280000,8384990000,8764390000,10169940000,10420890000,8686360000,8886700000,10623660000,11325290000,10755290000,10643500000,9639340000,8983040000,9043760000,9387850000,6548230000,7050830000,6624630000,6000470000,5688440000
"DE","Germany",3741200000,3130380000,3587990000,4483200000,4402020000,3924880000,4283400000,4103160000,4394810000,5160010000,5483180000,5102040000,4891130000,5552610000,7066470000,7029350000,7476190000,7592820000,7798450000,7462950000,7989230000,7434810000,6927190000,7184900000,7860560000,8359990000,9356620000,9043910000,8423800000,7935460000,7581850000,7994110000,7079660000,6803780000,6993080000,7406540000,7465180000,7469310000,7843600000,7836010000,10417250000,10642760000,11302470000,12101230000,10642220000,11938380000,12210220000,11944210000,12469490000,14272370000,18123680000,24421360000,2617540000,3281930000,3316840000,3684260000,3693280000
"GR","Greece",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192120000,194850000,222780000,237330000,335870000,305160000,384420000,406470000,317790000,372090000,393010000,411260000,525320000,458250000,400090000,316260000,264770000,191620000,202160000,235690000,368530000,,,,,
"HU","Hungary",,,,,,,,,,,100330000,192520000,154260000,101370000,65910000,149260000,140600000,183840000,153140000,180620000,196800000,167760000,80260000,122210000,40420000,18330000,16280000,490000,,,,,,,,,,,25650000,72980000,100440000,152340000,87320000,82200000,99080000,97690000,112870000,103540000,108320000,122420000,155750000,199110000,,,,,
"IS","Iceland",,,,,,,,,,,,,,,,,,,,,,,,,,2850000,11310000,6550000,10300000,9310000,,,11300000,9920000,10320000,12300000,15830000,18200000,21200000,22740000,25460000,39770000,40630000,51700000,45270000,35520000,29130000,31090000,39780000,39040000,44420000,58720000,,,,,
