"id","dfis-out.2000","fdi-out.2000","oda-capital-repay.2000","oda-interest.2000","oda-out.2000","oofs-capital-repay.2000","oofs-interest.2000","oofs-out.2000","remittances-devcountries.2000","dfis-out.2001","fdi-out.2001","oda-capital-repay.2001","oda-interest.2001","oda-out.2001","oofs-capital-repay.2001","oofs-interest.2001","oofs-out.2001","remittances-devcountries.2001","dfis-out.2002","fdi-out.2002","oda-capital-repay.2002","oda-interest.2002","oda-out.2002","oofs-capital-repay.2002","oofs-interest.2002","oofs-out.2002","remittances-devcountries.2002","dfis-out.2003","fdi-out.2003","oda-capital-repay.2003","oda-interest.2003","oda-out.2003","oofs-capital-repay.2003","oofs-interest.2003","oofs-out.2003","remittances-devcountries.2003","dfis-out.2004","fdi-out.2004","oda-capital-repay.2004","oda-interest.2004","oda-out.2004","oofs-capital-repay.2004","oofs-interest.2004","oofs-out.2004","remittances-devcountries.2004","dfis-out.2005","fdi-out.2005","oda-capital-repay.2005","oda-interest.2005","oda-out.2005","oofs-capital-repay.2005","oofs-interest.2005","oofs-out.2005","remittances-devcountries.2005","dfis-out.2006","fdi-out.2006","oda-capital-repay.2006","oda-interest.2006","oda-out.2006","oofs-capital-repay.2006","oofs-interest.2006","oofs-out.2006","remittances-devcountries.2006","dfis-out.2007","fdi-out.2007","oda-capital-repay.2007","oda-interest.2007","oda-out.2007","oofs-capital-repay.2007","oofs-interest.2007","oofs-out.2007","remittances-devcountries.2007","dfis-out.2008","fdi-out.2008","oda-capital-repay.2008","oda-interest.2008","oda-out.2008","oofs-capital-repay.2008","oofs-interest.2008","oofs-out.2008","remittances-devcountries.2008","dfis-out.2009","fdi-out.2009","oda-capital-repay.2009","oda-interest.2009","oda-out.2009","oofs-capital-repay.2009","oofs-interest.2009","oofs-out.2009","remittances-devcountries.2009","dfis-out.2010","fdi-out.2010","oda-capital-repay.2010","oda-interest.2010","oda-out.2010","oofs-capital-repay.2010","oofs-interest.2010","oofs-out.2010","remittances-devcountries.2010","dfis-out.2011","fdi-out.2011","oda-capital-repay.2011","oda-interest.2011","oda-out.2011","oofs-capital-repay.2011","oofs-interest.2011","oofs-out.2011","remittances-devcountries.2011","dfis-out.2012","fdi-out.2012","oda-capital-repay.2012","oda-interest.2012","oda-out.2012","oofs-capital-repay.2012","oofs-interest.2012","oofs-out.2012","remittances-devcountries.2012","dfis-out.2013","fdi-out.2013","oda-capital-repay.2013","oda-interest.2013","oda-out.2013","oofs-capital-repay.2013","oofs-interest.2013","oofs-out.2013","remittances-devcountries.2013"
"AT",,234191274.6,1480000,2330000,751360000,147080000,132300000,270870000,,,-594723082.3,11830000,2850000,1103840000,4.17e+08,138210000,188140000,,,53273375.58,6260000,3130000,846440000,309940000,214560000,251160000,,,129648180.2,50950000,2440000,724440000,157350000,129920000,216560000,,,364818777.8,33090000,1560000,841850000,437860000,125450000,164270000,,,1823335702,14010000,1020000,1854650000,296310000,79300000,659210000,,,1688367618,10110000,5e+06,1713880000,678370000,122100000,169470000,,,5009644221,26950000,730000,1876020000,740140000,252990000,101590000,,86704560,625594273.1,43770000,270000,1676800000,171780000,82520000,269460000,,93902431,1558415288,9930000,210000,1122640000,226400000,79580000,183810000,,119453783,3280552159,4550000,140000,1222150000,309740000,69210000,154200000,2986289828,76539560,3400972730,4260000,90000,1049970000,198670000,48210000,227120000,2802730108,,1906171000,7680000,140000,1113480000,99230000,840000,147710000,2650863619,,,4730000,1e+05,1117840000,186820000,86290000,617750000,
"BE",,0,38190000,3380000,1497030000,107650000,0,92130000,,,0,31140000,4050000,1587620000,59170000,0,71700000,,,2495641164,63980000,4510000,1855340000,52580000,0,229050000,,,-58699084.55,45160000,3850000,2579050000,62150000,0,1367570000,,,-213278574.9,96540000,4440000,1878080000,142210000,0,29210000,,,2795388454,53660000,1700000,2387590000,83910000,0,548810000,,32455317,5775979741,49100000,3600000,2322840000,533120000,0,33950000,,33563450,6390712429,65510000,2990000,2074920000,198100000,0,31850000,,57124203,10475840557,49230000,2490000,2332710000,181780000,0,49930000,,65397137,2413229703,47620000,2390000,2604350000,37870000,0,126160000,,111916483,139064506,48120000,0,3080730000,34610000,0,19360000,1039998034,114839875,4566964607,199220000,2870000,2844980000,24030000,0,9990000,1070888442,374116600,-2894604000,44320000,20000,2359230000,91810000,0,146760000,1137730177,,,55620000,-20000,2246250000,114230000,0,187040000,
"CH",,2115764312,4850000,4850000,1803750000,0,0,15190000,,,2073721387,10950000,0,1820910000,0,0,12800000,,,-1437401653,7500000,0,1724940000,0,0,5870000,,,1063922167,8220000,0,2045020000,0,0,90000,,,2219984788,14580000,0,2234110000,0,0,0,,,7861264702,9570000,0,2554150000,0,0,0,,,11668117127,15060000,0,2342330000,0,0,24370000,,,9735955108,1.5e+07,0,2239270000,0,0,0,,,12284559426,13630000,0,2405850000,0,0,0,,,4839703429,11680000,0,2704250000,0,0,0,,,18511844264,17790000,0,2588080000,0,0,0,962016113.3,39487321,11479801430,26620000,0,2916780000,0,0,0,893987433.7,,15094455000,25900000,0,3081510000,0,0,0,982308542.7,,,25220000,0,3185020000,0,0,0,
"DE",,8380915152,1217070000,712140000,9198840000,2506660000,1644010000,1783150000,,,1756990213,1389800000,576680000,9446180000,2024440000,1042770000,954360000,,,-52748780.24,2022500000,511530000,10076760000,2405390000,811410000,8017480000,,,1964217704,1540820000,498760000,10008670000,3085730000,724930000,-1362510000,,,9427672794,1588420000,423820000,10049520000,2216220000,650690000,1035860000,,,13239969324,1687570000,325700000,12935170000,4300940000,226850000,12171020000,,1557850986,9228086424,1777970000,348270000,13269400000,6434690000,457530000,126600000,,1456620947,16690583949,1386960000,325730000,13598940000,3939740000,572840000,1430370000,,2591949239,8371053746,1853140000,460690000,14935480000,2986810000,970200000,2554590000,,3270345966,11064963151,1209920000,294600000,12781490000,1378310000,402810000,1557360000,,4053806047,17291917021,1396640000,291410000,14340770000,1714720000,447270000,1308280000,6466668846,,21269726214,1.41e+09,302810000,14629300000,1774110000,579740000,1389870000,6667992601,3068814079,15417734000,1630150000,335240000,14569650000,2134130000,478370000,1288400000,7231197629,,,1889680000,313830000,15376850000,1507130000,380300000,1160050000,
"DK",76099499,1185151733,32600000,0,3102620000,2.1e+07,5700000,16200000,,86372623,3415464895,90270000,0,3116670000,19540000,7080000,12200000,,89192227,189027195.8,98350000,15750000,2916550000,20750000,3270000,15110000,,99649281,118337355.8,199010000,6460000,2659320000,13770000,7240000,71490000,,85869351,245947622,78850000,14720000,2629800000,33160000,6460000,58910000,,54444861,263259172.1,79330000,4220000,2650060000,41520000,7160000,31560000,,77854216,642364962.7,92860000,10210000,2738220000,146790000,12500000,55470000,,54362663,684467848.8,109620000,2280000,2823640000,153920000,15930000,30830000,,67445160,-962423818,61080000,640000,2765980000,123440000,12540000,48340000,,51948378,1012195707,35510000,810000,2822200000,30470000,14420000,36750000,,70810398,999730311.6,77360000,0,2948380000,73200000,5850000,39450000,934956488.6,71720472,964355759.5,67690000,0,2840610000,33200000,8550000,43160000,968858980,77474980,1362758000,119780000,0,2812370000,31590000,8770000,37110000,1033827428,,,167370000,0,2959070000,36760000,7340000,44530000,
"ES",,38727517771,364910000,15620000,2624270000,0,0,6210000,,,14471379996,214740000,0,3458920000,0,0,273290000,,143938836,8090877887,270990000,1820000,3183030000,0,0,92490000,,195652606,6171180129,347830000,45710000,3018930000,9930000,2570000,109320000,,186743329,14335452851,294090000,23240000,3195060000,0,0,29750000,,43489416,8380960820,569650000,152510000,4011730000,0,0,76150000,,84803336,12869860645,375350000,5700000,4510720000,0,0,0,,177208340,20774986596,290480000,13920000,5238830000,0,0,6060000,,143429039,22201348522,544940000,34530000,6673840000,0,0,0,,185180245,13285432904,369470000,5830000,6451810000,0,0,3210000,,181449945,32401910020,356730000,57380000,6130110000,0,0,0,8588189603,204567149,19523307372,280900000,51010000,4138010000,0,0,3780000,8893063249,291681400,-44988000,85930000,35490000,2123280000,0,0,2480000,9508151510,,,220310000,5293150000,2501590000,0,0,13930000,
"FI",27707852,639268998.4,11250000,1970000,634020000,0,2660000,3610000,,25265413,348604513.2,13920000,2010000,666470000,5560000,3390000,14090000,,11160750,-90498123.65,8920000,990000,736540000,2010000,3510000,7210000,,29507297,410766727.9,2120000,750000,740540000,18510000,3290000,27800000,,44571661,929195153.2,10450000,690000,823970000,20880000,2190000,17560000,,10425616,368509561.8,6490000,330000,1080550000,0,0,0,,23624348,496068895.2,3850000,0,979630000,0,0,0,,14754620,1020345650,0,1e+05,1021580000,0,5850000,100380000,,20075113,411873319.9,1850000,0,1120760000,15380000,0,36790000,,37996902,1376116368,0,40000,1263950000,9220000,4650000,142950000,,39313866,2228048987,0,20000,1368130000,7780000,5700000,52090000,163256760.1,14149963,-1283519676,19050000,20000,1356520000,28300000,7800000,1068330000,168353734.3,28910981,-919281000,6450000,0,1322430000,4840000,3270000,14210000,184682728.4,,,0,0,1366540000,53200000,6930000,23790000,
"FR",,7553381442,1359010000,0,8447640000,583640000,0,607950000,,,12335662487,1377550000,0,8690520000,708030000,0,640380000,,,5027275874,1775140000,0,10659520000,401560000,0,1430030000,,,125677761.4,2313150000,796170000,11919380000,1893870000,258860000,5609830000,,,2687532757,1321720000,430470000,11358910000,741230000,87460000,485370000,,371804147,10870947300,1493610000,0,13144710000,3811710000,96600000,2197030000,,435712218,8899619335,1646230000,417800000,13588130000,2988290000,1241230000,350870000,,386224007,9753316711,1444190000,477180000,11396040000,1413600000,472810000,226300000,,447812456,22698700679,1.338e+09,507350000,11503220000,1109630000,395060000,896490000,,895398880,12086697370,1342980000,406480000,13419820000,645030000,4.13e+08,927170000,,911317527,11659519997,1365310000,407110000,14253900000,1373510000,436350000,801790000,7979155145,767387845,7411653468,1104920000,306120000,13303380000,1265600000,348810000,1199310000,7865014015,1105115413,8616968000,1478490000,336730000,13506690000,1800650000,580400000,1272330000,8357118253,,,1420860000,0,12242060000,797150000,683900000,1437130000,
"GB",391555183,6023509931,68550000,0,6337790000,348040000,0,247930000,,203132594,6614651498,171860000,0,6706780000,321860000,0,354330000,,288845215,13441674633,143780000,2450000,6752580000,245660000,0,240540000,,407830043,12349441028,203730000,67830000,7754120000,233010000,0,292910000,,295487511,18195092630,296310000,2100000,8593650000,234570000,0,71840000,,414216988,12783279836,359310000,0,11538090000,1.57e+08,0,54360000,,805999193,10032180805,554620000,1490000,12971530000,197250000,43270000,10910000,,1519075582,13506454865,1588200000,19470000,10410770000,55560000,0,16940000,,297861070,8863828655,457730000,0,11500390000,35890000,5260000,14380000,,,13085708787,225800000,0,12501440000,22500000,0,8360000,,,22662990412,367790000,0,14301950000,49460000,0,29150000,13762323060,,32282218968,342690000,0,14244170000,59910000,0,19990000,14395570540,11944891,13830427000,317830000,0,14209290000,27720000,0,63740000,15331655720,,,412370000,0,18205400000,1950000,0,187200000,
"JP",,4536193748,3216050000,2596490000,18777030000,11206170000,0,5506300000,,,7551647863,3650690000,2726220000,16590750000,10488180000,0,9340220000,,,5566514428,4052950000,2320440000,16821500000,11352050000,15870000,9018720000,,,8909416534,5300290000,2630060000,16804070000,14821500000,0,11539770000,,,10531209483,8884640000,2940870000,19813830000,10408380000,30700000,7951620000,,,17480024171,6940790000,2681930000,23523240000,11896240000,23290000,1.0098e+10,,,18127741235,8007930000,2985220000,23050240000,12578020000,0,16268670000,,,23130270643,8123980000,2961870000,18745300000,12344820000,480700000,12028220000,,,30494194150,9668460000,2762120000,21457550000,9969440000,349290000,6800700000,,8025102238,20940431526,7778070000,2637040000,18320720000,6353700000,0,13828490000,,4503874926,22354178521,8350440000,2268230000,20177700000,6355730000,0,9754570000,7141150638,5586536183,37286181217,9069270000,2536490000,19792490000,6662720000,0,9897090000,7563952213,8682204198,28541718000,8057640000,2388150000,18662120000,6030350000,838360000,12236270000,7739170007,,,13453060000,5418470000,27688090000,6845420000,1001780000,8695310000,
"NL",,3615184105,161020000,62450000,5665650000,166710000,0,233110000,,,5075902542,288760000,64750000,5744040000,4.51e+08,0,522880000,,,4455808170,224310000,63880000,5478070000,0,0,360110000,,647503441,3619914200,180810000,46520000,5284330000,602060000,0,1757170000,,699943062,2092558439,634980000,51310000,5511460000,0,0,174930000,,684030999,6620425653,38530000,11210000,5827930000,0,0,172540000,,993824240,6169301250,146250000,37830000,6150230000,0,0,378200000,,1017537611,8132900507,168030000,58230000,6339410000,0,0,0,,1168125666,383997833.6,109230000,28390000,6553650000,0,0,0,,871957329,2245719886,110590000,25370000,6238920000,0,0,0,,987073218,11873213895,110360000,0,6432340000,0,0,0,1965222507,1143827804,3366775293,210530000,0,6142520000,0,0,0,2015617541,1095005472,4700511000,106450000,17320000,5629290000,0,0,0,2202688326,,,174810000,0,5350790000,0,0,0,
