country-id,admin1-id,admin2-id,admin2-name,latitude,longitude,geonameid,modification date
UG,C,36,Kalangala District,-0.57478,32.38108,443338,28/04/2012
UG,C,37,Kampala District,0.33508,32.58313,443339,28/04/2012
UG,C,42,Kiboga District,0.85,31.93283,443344,28/04/2012
UG,C,56,Mubende District,0.5,31.5,443358,28/04/2012
UG,C,61,Rakai District,-0.75773,31.5099,443363,28/04/2012
UG,C,70,Luwero District,0.82,32.614,443350,14/05/2012
UG,C,71,Masaka District,-0.36667,31.7,8643206,14/12/2013
UG,C,73,Nakasongola District,1.38903,32.41608,443786,28/04/2012
UG,C,74,Sembabule District,-0.00825,31.35513,443787,28/04/2012
UG,C,83,Kayunga District,1,32.86667,448218,28/04/2012
UG,C,89,Mpigi District,0.07285,32.19902,233709,28/04/2012
UG,C,90,Mukono District,0.3,32.775,443359,15/05/2012
UG,C,96,Wakiso District,0.23763,32.47836,448224,28/04/2012
UG,C,D5,Lyantonde District,-0.24059,31.19294,7056290,28/04/2012
UG,C,D8,Mityana District,0.43213,32.06697,7056293,28/04/2012
UG,C,D9,Nakaseke District,1.04063,32.18968,7056294,28/04/2012
UG,C,E7,Buikwe District,0.3012,33.05184,8030577,28/04/2012
UG,C,E8,Bukomansimbi District,-0.12855,31.62527,8030579,15/12/2013
UG,C,F1,Butambala District,0.13805,32.21826,7910136,28/04/2012
UG,C,F2,Buvuma District,-0.36744,33.20071,8030576,15/12/2013
UG,C,F4,Gomba District,0.20018,31.75023,8030578,15/12/2013
UG,C,F5,Kalungu District,-0.16342,31.79718,7910134,28/04/2012
UG,C,G1,Kyankwanzi District,1.12372,31.64605,8030582,21/12/2013
UG,C,G5,Lwengo District,-0.42603,31.45137,8030580,28/04/2012
UG,E,33,Jinja District,0.511,33.315,443335,15/05/2012
UG,E,38,Kamuli District,0.95,33.11667,443340,28/04/2012
UG,E,39,Kapchorwa District,1.3333,34.42,443341,28/04/2012
UG,E,46,Kumi District,1.5,33.95,443348,14/05/2012
UG,E,60,Pallisa District,1.22593,33.77977,443362,28/04/2012
UG,E,66,Bugiri District,0.5333,33.79,443783,28/04/2012
UG,E,67,Busia District,0.41762,34.00421,443784,02/11/2013
