"id","value.2000","value.2001","value.2002","value.2003","value.2004","value.2005","value.2006","value.2007","value.2008","value.2009","value.2010","value.2011","value.2012","value.2013","value.2014"
"AD",,,,,,2539759285.92747,,,,,,,,,
"AE",,147345524839.37,145739841516.254,157330482128.756,173171537455.723,183503340844.184,202769784444.693,211771500836.17,214257305342.202,203789168237.765,204610422852.171,212683987401.213,222099677518.798,,
"AF",,,,,,6286220881.04141,,,,,,,,,
"AG",,,,,,955333834.980048,,,,,,,,,
"AL",,,,,,8540853031.50753,,,,,,,,,
"AM",2828432004.62074,3108008658.92397,3541572255.761,4025951335.32056,4430765211.3501,5106441712.73133,5811191149.64327,6653016964.68017,7144507270.00414,6018419857.38355,6203505158.14028,6401059430.70363,6893582141.66235,7190394806.11054,
"AO",14316684596.5176,16152732059.2752,19373649525.7032,20769953376.5773,23719057312.7109,24229563986.26,28191730949.8286,36021012021.1493,36586296545.1327,46193558101.5628,45004097559.321,45181641019.2666,46719107725.2822,52082388168.6022,
"AR",196532100812.781,187512451440.164,159236683384.428,175483797166.621,193749250672.635,215600634560.458,235892074028.049,,,,,,,,
"AS",,,,,,,,,,,,,,,
"AT",285993740075.824,288959243642.998,296232059649.045,299353577104.111,307583956274.929,313651818136.597,326062562550.52,336302138787.092,344634446635.599,329091931595.084,338296390613.696,347157637507.68,351871956559.797,349191289641.762,
"AU",574113676753.505,585569519532.945,608590272280.995,626797032011.456,652427126676.463,667562020748.76,685925836986.425,707303015351.665,736027553250.564,752824924121.743,764751332041.486,780207921004.061,817674765395.664,843326312935.183,
"AW",,,,,,,,,,,,,,,
"AZ",6926065349.40071,7589359834.30699,8356981986.46998,9286506471.88509,9962302498.54303,11598940366.2495,15090633814.6246,17887172113.8764,21218810730.655,25377033217.3484,27274087436.5892,26664063050.6827,27162776958.6619,29749349656.5939,
"BA",,,,,,11371764481.465,,,,,,,,,
"BB",,,,,,3716500000,,,,,,,,,
"BD",48008549549.9144,50432974376.1068,53208329421.8934,56475262323.8291,59890886405.8441,63355284552.8455,67920568851.4615,73263625007.9101,78435244515.8445,82582504781.0429,87334379450.7532,92757653785.6984,99261236185.4399,104846152322.369,
"BE",364175725354.17,364863937601.56,369984809650.44,373745802627.158,384488747881.746,390446948216.684,401020022717.913,413806684205.821,420005286048.358,399993420614.291,419778060523.296,423345349780.076,426562804015.532,416338413455.028,
"BF",3975440893.18774,4208485863.28761,4437301503.5167,4782334550.45766,4995122041.08074,5442137191.39029,5830090759.58777,6040802727.34432,6390918511.40694,6578565292.72581,7100544369.96466,7401803817.46932,8106287267.7686,,
"BG",22204909381.437,23617724425.8864,25119853591.9277,26355494841.8533,27967701184.0072,29384093005.527,30444993867.9255,30953383153.2948,33624230742.0117,32394388031.1529,32687419878.477,32806454873.1276,33432166078.7382,33769788998.32,
"BH",,,,,,15555842444.9184,,,,,,,,,
"BI",1018901677.05231,1010107956.6132,1052422328.72481,1033324951.61549,1075348527.83436,1099554387.10035,1169987005.68742,1228416076.12346,1292726567.58827,1327989362.01867,1382610924.00482,1438843593.09262,1502581481.08023,1576802642.33597,
"BJ",3545401808.14199,3767221806.2636,3919271468.81554,4065241862.91946,4198669350.20795,4340195011.34959,4493819025.61134,4722380018.70956,4958797581.042,5075442610.56953,5193207774.84596,5392436400.3924,5661011344.88615,5976005825.76944,
"BM",,,,,,,,,,,,,,,
"BN",8602106665.41959,8838152033.94234,9180373874.77002,9446967804.116,9494610557.86131,9531402829.84859,9950567279.59559,10036385240.0534,9841183143.85435,9669585025.11521,,,,,
"BO",7996149043.82746,8137861248.43094,8337967860.56048,8460096367.4934,8744451571.37998,9172840034.59816,9647086421.05054,10063196426.2663,10734770797.1122,11032104046.2659,11400117021.9516,11916604655.7098,12348495331.29,13166113209.3053,
"BR",747832479591.865,752070291422.006,771698383491.159,782720713382.381,829285123475.885,856883319638.455,894259904588.213,952785779142.748,998685584453.562,999510385359.809,1076264807017.45,1104436357068.79,1119810465626.76,1143762955078.96,
"BS",6972237747.8961,7146124943.96594,7332963612.61355,7285196382.15834,7374495023.24457,7576221900,7779897536.45163,7874313996.94396,7776012738.0819,7376905988.24334,7432927137.91799,7536922465.53415,7594964693.70532,7662697316.16502,
"BT",559071221.20959,605317518.098819,660477781.781974,705847101.263649,747013904.612545,807300290.249433,871635082.777922,1018204393.83163,1053880171.91356,1107074282.15243,1216778878.29093,1303201876.38901,1347146307.97053,1394353549.96797,
"BW",7801380620.6538,8120001917.32566,7696003417.46041,8352780059.29494,8471897376.41498,9095641015.55939,9896883989.02536,10850235627.9486,11475392656.7909,10904177321.944,11640482578.7356,12764605481.3811,13432909418.4524,14086543134.7283,
"BY",20958524353.9602,21939296395.9256,23095485564.8528,24807673931.7943,27639771656.5328,30265574653.4065,33101867530.4529,35701073229.8405,39125712999.9889,38796098883.2071,41872027187.4496,44636834824.5925,44606292906.8892,44116890547.7897,
"BZ",917450678.709062,976240583.742044,1014247235.84359,1117069791.10816,1188653520.93296,999776450,1045817619.76915,1030381636.52432,1068791949.68676,1138210616.67451,1139398018.50187,1199121855.81911,1232539224.32435,1254962676.86844,
"CA",1000524172612.37,1015467571904.28,1047134201413.85,1067673210912.1,1104248036856.42,1140229252686.86,1175549409072.03,1200468038335.14,1213718580435.41,1178479566354.25,1215678682086.19,1247437228727.46,1269453951314.42,1299425622044.09,
